component,roi,loading,explained_variance_ratio
1,Left-Lateral-Ventricle,0.021943877194415727,0.5187537601046133
1,Left-Inf-Lat-Vent,0.008697527450159281,0.5187537601046133
1,Left-Cerebellum-White-Matter,0.12439414261589299,0.5187537601046133
1,Left-Cerebellum-Cortex,0.1323701477697193,0.5187537601046133
1,Left-Thalamus,0.14845632195598196,0.5187537601046133
1,Left-Caudate,0.09766816488498752,0.5187537601046133
1,Left-Putamen,0.13033424547253694,0.5187537601046133
1,Left-Pallidum,0.12734545923311102,0.5187537601046133
1,3rd-Ventricle,0.03390971932205184,0.5187537601046133
1,4th-Ventricle,0.049399230163658284,0.5187537601046133
1,Brain-Stem,0.14028750016077418,0.5187537601046133
1,Left-Hippocampus,0.11474292731017595,0.5187537601046133
1,Left-Amygdala,0.11645271011186022,0.5187537601046133
1,CSF,0.10332800026812462,0.5187537601046133
1,Left-Accumbens-area,0.09933977922073337,0.5187537601046133
1,Left-VentralDC,0.14662928831020206,0.5187537601046133
1,Left-vessel,0.14939750353044037,0.5187537601046133
1,Left-choroid-plexus,0.1493975035304404,0.5187537601046133
1,Right-Lateral-Ventricle,0.020412508147848278,0.5187537601046133
1,Right-Inf-Lat-Vent,0.001268552060465239,0.5187537601046133
1,Right-Cerebellum-White-Matter,0.12333140253470626,0.5187537601046133
1,Right-Cerebellum-Cortex,0.13046647796741234,0.5187537601046133
1,Right-Thalamus,0.1497334034406022,0.5187537601046133
1,Right-Caudate,0.10247766360866754,0.5187537601046133
1,Right-Putamen,0.13213904608039054,0.5187537601046133
1,Right-Pallidum,0.13322206934590755,0.5187537601046133
1,Right-Hippocampus,0.11545230734635209,0.5187537601046133
1,Right-Amygdala,0.11659367433071657,0.5187537601046133
1,Right-Accumbens-area,0.09805743654699926,0.5187537601046133
1,Right-VentralDC,0.14593647886461428,0.5187537601046133
1,Right-vessel,0.14939750353044037,0.5187537601046133
1,Right-choroid-plexus,0.14939750353044037,0.5187537601046133
1,5th-Ventricle,0.14939750353044037,0.5187537601046133
1,WM-hypointensities,0.01939798547555918,0.5187537601046133
1,Left-WM-hypointensities,0.1493975035304404,0.5187537601046133
1,Right-WM-hypointensities,0.14939750353044037,0.5187537601046133
1,non-WM-hypointensities,0.14939750353044037,0.5187537601046133
1,Left-non-WM-hypointensities,0.14939750353044037,0.5187537601046133
1,Right-non-WM-hypointensities,0.14939750353044037,0.5187537601046133
1,Optic-Chiasm,0.14939750353044037,0.5187537601046133
1,CC_Posterior,0.07738918662583187,0.5187537601046133
1,CC_Mid_Posterior,0.07287651821623484,0.5187537601046133
1,CC_Central,0.06751559612393104,0.5187537601046133
1,CC_Mid_Anterior,0.07950740750797061,0.5187537601046133
1,CC_Anterior,0.08996169890692733,0.5187537601046133
1,BrainSegVol,0.15955620805683884,0.5187537601046133
1,lhCortexVol,0.1502536643639963,0.5187537601046133
1,rhCortexVol,0.14958085207023952,0.5187537601046133
1,CortexVol,0.15067479796384706,0.5187537601046133
1,lhCerebralWhiteMatterVol,0.14568932775890592,0.5187537601046133
1,rhCerebralWhiteMatterVol,0.14479957283768868,0.5187537601046133
1,CerebralWhiteMatterVol,0.14564667393600905,0.5187537601046133
1,SubCortGrayVol,0.1607147505001419,0.5187537601046133
1,TotalGrayVol,0.15898244618791751,0.5187537601046133
1,SupraTentorialVol,0.1567696429255289,0.5187537601046133
1,SupraTentorialVolNotVent,0.15928639022967866,0.5187537601046133
1,MaskVol,0.15905242026652086,0.5187537601046133
1,BrainSegVol-to-eTIV,0.14680800523893076,0.5187537601046133
1,MaskVol-to-eTIV,0.14468514770307306,0.5187537601046133
1,lhSurfaceHoles,0.00880388675986655,0.5187537601046133
1,rhSurfaceHoles,0.010821548773331333,0.5187537601046133
1,SurfaceHoles,0.010047031941353606,0.5187537601046133
1,EstimatedTotalIntraCranialVol,0.15449894731666688,0.5187537601046133
1,SegmentedTotalIntracranialVol,0.1591215123107802,0.5187537601046133
2,Left-Lateral-Ventricle,0.31038289210941694,0.11148271221172627
2,Left-Inf-Lat-Vent,0.29990786599720076,0.11148271221172627
2,Left-Cerebellum-White-Matter,-0.005634172980257313,0.11148271221172627
2,Left-Cerebellum-Cortex,0.026057232544549613,0.11148271221172627
2,Left-Thalamus,-0.02771502484422958,0.11148271221172627
2,Left-Caudate,0.1518129493080272,0.11148271221172627
2,Left-Putamen,-0.031973454129535776,0.11148271221172627
2,Left-Pallidum,0.01550825435712395,0.11148271221172627
2,3rd-Ventricle,0.276789404078312,0.11148271221172627
2,4th-Ventricle,0.14936018390360925,0.11148271221172627
2,Brain-Stem,-0.026107145480273184,0.11148271221172627
2,Left-Hippocampus,-0.17136464359623954,0.11148271221172627
2,Left-Amygdala,-0.1444476571842895,0.11148271221172627
2,CSF,0.14072409460581553,0.11148271221172627
2,Left-Accumbens-area,-0.17821091617468188,0.11148271221172627
2,Left-VentralDC,-0.0185949354547916,0.11148271221172627
2,Left-vessel,0.05397488898997382,0.11148271221172627
2,Left-choroid-plexus,0.0539748889899738,0.11148271221172627
2,Right-Lateral-Ventricle,0.3141388422040028,0.11148271221172627
2,Right-Inf-Lat-Vent,0.2973715693711683,0.11148271221172627
2,Right-Cerebellum-White-Matter,0.005865957696256315,0.11148271221172627
2,Right-Cerebellum-Cortex,0.031817514721519266,0.11148271221172627
2,Right-Thalamus,-0.019234455577362874,0.11148271221172627
2,Right-Caudate,0.13525468661261197,0.11148271221172627
2,Right-Putamen,-0.030356198832900513,0.11148271221172627
2,Right-Pallidum,0.0043899678440997075,0.11148271221172627
2,Right-Hippocampus,-0.17516849256778594,0.11148271221172627
2,Right-Amygdala,-0.14605819394651057,0.11148271221172627
2,Right-Accumbens-area,-0.1811173531395336,0.11148271221172627
2,Right-VentralDC,-0.012568862664326177,0.11148271221172627
2,Right-vessel,0.053974888989973824,0.11148271221172627
2,Right-choroid-plexus,0.053974888989973824,0.11148271221172627
2,5th-Ventricle,0.053974888989973824,0.11148271221172627
2,WM-hypointensities,0.038883940054126286,0.11148271221172627
2,Left-WM-hypointensities,0.0539748889899738,0.11148271221172627
2,Right-WM-hypointensities,0.05397488898997386,0.11148271221172627
2,non-WM-hypointensities,0.05397488898997385,0.11148271221172627
2,Left-non-WM-hypointensities,0.05397488898997385,0.11148271221172627
2,Right-non-WM-hypointensities,0.05397488898997385,0.11148271221172627
