roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-0.27429477068967273,0.024579132697221135,-11.159660272336783,1.1438809322687737e-27,1291,3.1922136850569953e-16,1.0,9.15104745815019e-27,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,-0.43719731143831386,0.021934189297491496,-19.932230250621295,3.025421427148654e-77,1291,1.4997900503069505e-16,1.0,1.9362697133751386e-75,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,0.030404832979826425,0.026595117281468086,1.1432486895259157,0.2531481292561921,1291,1.2383587571341793e-16,1.0,0.4050370068099074,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,0.07885574291569458,0.02518490529208026,3.131071647924436,0.001780943396514836,1291,7.760381544707524e-16,1.0,0.003561886793029672,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.0879421898336025,0.02537735352454039,3.46538064926907,0.0005469149725834477,1291,6.879770872967662e-17,1.0,0.0012069847670807122,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,-0.0032267393098350805,0.027177653395007367,-0.11872766434013925,0.9055096610157176,1291,-3.6600381044187963e-16,1.0,0.9198828302381893,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,0.14986138731977255,0.026156676587030015,5.729374174167159,1.2540871916934814e-08,1291,4.017786189813115e-16,0.9999999999999999,3.6482536485628553e-08,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.01941272087825583,0.02545697302024731,0.7625698806694668,0.4458597985824615,1291,1.100763339674826e-17,1.0,0.6636052816111054,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,-0.21539124804329832,0.023322392197770127,-9.235384012789737,1.029738640708056e-19,1291,-7.705343377723781e-17,1.0,4.393551533687705e-19,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.0001399483857827226,0.027175032954658018,-0.005149888355838564,0.9958918004844959,1291,-8.255725047561195e-17,1.0,0.9958918004844959,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.056989390430636166,0.025614573845288653,2.2248814590807005,0.02626216204475439,1291,-1.3181640992606042e-15,0.9999999999999999,0.048022239167550884,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,0.3822139507339502,0.023526943863049224,16.245796859924717,3.999726260857081e-54,1291,1.981374011414687e-16,1.0,8.532749356495106e-53,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,0.3676667883927552,0.02398938842893075,15.32622598871074,8.007351839629685e-49,1291,-5.118549529487941e-16,0.9999999999999998,1.0249410354725998e-47,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,-0.17163689567904,0.021121032993667768,-8.126349489179717,1.0296081216258736e-15,1291,-4.953435028536717e-16,1.0,4.1184324865034944e-15,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,0.25602325568214146,0.02591361668656625,9.879873534398046,3.079014361116807e-22,1291,2.4216793472846173e-16,1.0,1.7914265373770516e-21,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,0.054538489452759284,0.024975177514072543,2.1837077803362543,0.029163928813383488,1291,2.1492404207150978e-15,1.0,0.0518469845571262,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,-0.015363949199138421,0.02798899425580639,-0.5489282343880981,0.5831499923522298,1291,2.201526679349652e-17,1.0,0.666457134116834,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,-0.015363949199138421,0.02798899425580639,-0.5489282343880981,0.5831499923522298,1291,2.201526679349652e-17,1.0,0.666457134116834,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,-0.2632756611856748,0.024361773899016875,-10.806916699785123,4.065970185720224e-26,1291,2.9445419336301597e-16,1.0,2.8913565765121593e-25,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,-0.38347458775532733,0.0228377863027656,-16.79123285731461,2.3037050233879055e-57,1291,-1.8712976774472042e-16,0.9999999999999998,7.3718560748412975e-56,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,0.028463104127871744,0.026628250736578894,1.0689062683630335,0.28531250213722054,1291,-3.7425953548944084e-16,1.0,0.4453658569946857,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,0.0794150561944153,0.025141872138868405,3.1586771166353422,0.0016217638529950255,1291,-6.604580038048956e-17,1.0000000000000002,0.00334815763198973,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,0.07751016668070598,0.025266438590725818,3.0677123886053534,0.002202108814104814,1291,-4.513129692666786e-16,1.0,0.004270756487960851,RH,thalamus,thalamus,,,fs8_subcortical_volume,
