roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Left-Lateral-Ventricle,0.5646120821861003,0.5646120821861003,0.5646120821861003,184,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Inf-Lat-Vent,1.0272467504337752,1.0272467504337752,1.0272467504337752,184,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Cerebellum-White-Matter,0.06083289161725202,0.06083289161725202,0.06083289161725202,184,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Left-Cerebellum-Cortex,-0.01872078733303436,-0.01872078733303436,-0.01872078733303436,184,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Left-Thalamus,0.035834974078751365,0.035834974078751365,0.035834974078751365,184,LH,thalamus,thalamus,,,fs8_subcortical_volume,,MCI
Left-Caudate,0.29482376942186067,0.29482376942186067,0.29482376942186067,184,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-Putamen,-0.14420807028870514,-0.14420807028870514,-0.14420807028870514,184,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-Pallidum,0.017885486589504927,0.017885486589504927,0.017885486589504927,184,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
3rd-Ventricle,0.29361792444029755,0.29361792444029755,0.29361792444029755,184,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
4th-Ventricle,0.04225886795322519,0.04225886795322519,0.04225886795322519,184,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Brain-Stem,0.17268791539240505,0.17268791539240505,0.17268791539240505,184,,brainstem,brainstem,,,fs8_subcortical_volume,,MCI
Left-Hippocampus,-0.5342881058927671,-0.5342881058927671,-0.5342881058927671,184,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
Left-Amygdala,-0.6144686224920958,-0.6144686224920958,-0.6144686224920958,184,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
CSF,0.3230060907245786,0.3230060907245786,0.3230060907245786,184,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Left-Accumbens-area,-0.2359897018714594,-0.2359897018714594,-0.2359897018714594,184,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Left-VentralDC,0.029150822403851463,0.029150822403851463,0.029150822403851463,184,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,MCI
Left-vessel,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,LH,vessel,vessel,,,fs8_subcortical_volume,,MCI
Left-choroid-plexus,0.06328203406076975,0.06328203406076975,0.06328203406076975,184,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Lateral-Ventricle,0.628111001616748,0.628111001616748,0.628111001616748,184,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Inf-Lat-Vent,0.9776075833582749,0.9776075833582749,0.9776075833582749,184,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,MCI
Right-Cerebellum-White-Matter,0.0240828152422347,0.0240828152422347,0.0240828152422347,184,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Right-Cerebellum-Cortex,-0.054092131615727186,-0.054092131615727186,-0.054092131615727186,184,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,MCI
Right-Thalamus,0.032506238125981024,0.032506238125981024,0.032506238125981024,184,RH,thalamus,thalamus,,,fs8_subcortical_volume,,MCI
Right-Caudate,0.28840262177097736,0.28840262177097736,0.28840262177097736,184,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Putamen,-0.15141036515439377,-0.15141036515439377,-0.15141036515439377,184,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Pallidum,0.015524003598125774,0.015524003598125774,0.015524003598125774,184,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,MCI
Right-Hippocampus,-0.5566293833554056,-0.5566293833554056,-0.5566293833554056,184,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,MCI
