roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.03371868372491109,0.02574840977210488,-1.3095443184006255,0.19058249450087958,1298,0.0,1.0000000000000002,0.43255802122671544,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.004644344030438924,0.02638398219119669,-0.1760289253071343,0.8602987611396526,1298,1.3959044500679935e-16,0.9999999999999999,0.9726620952454665,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.061120825117565,0.026637940373107797,-2.294502662798556,0.021921153314675233,1298,9.511309733306425e-16,1.0,0.1029784411526604,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.054035261572354776,0.026248826472117195,-2.058578185571599,0.039734490166603804,1298,1.1960985189798296e-15,1.0,0.14993428098493292,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.0029946961363834512,0.026023932039558054,-0.11507469862092017,0.9084037676365868,1298,-6.568962117967028e-16,1.0,0.9834686998746053,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.03306330680511313,0.026157848640124957,-1.2639918236393306,0.20646060485172538,1298,-8.484909402374077e-16,1.0,0.4452025450013254,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.007080105778842549,0.026196920380840885,-0.2702648126541081,0.7869996308032408,1298,7.390082382712907e-17,0.9999999999999998,0.9467938980133226,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.026581708528451875,0.02594328279908434,1.024608517523082,0.30573944390785035,1298,7.978551905780786e-16,1.0,0.5826355440508091,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.05366170860151309,0.026113022950930154,2.0549788012805177,0.04008144145141771,1298,5.528876449288915e-16,0.9999999999999999,0.14993428098493292,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.029921914310940073,0.02606746874054013,-1.1478642061016653,0.2512367908160362,1298,-6.897410223865379e-16,1.0,0.5074983174483932,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,0.0316751164123768,0.025943580041571962,1.220923109363497,0.22233754972186454,1298,3.900321257542923e-17,1.0,0.45365843478602663,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,-0.007595432302355334,0.02630598118218343,-0.2887340430205882,0.772831154872355,1298,-9.196546965153839e-16,1.0,0.9467938980133226,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,-0.11032528213259289,0.02611141362400752,-4.22517461985118,2.5548676300970843e-05,1298,1.0886686176755772e-15,0.9999999999999999,0.0004300693843996759,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.004227430192387971,0.02640592305380181,0.16009401314146918,0.8728320035525534,1298,-7.6637891376282e-17,1.0,0.9740998050697005,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,0.02361741395621196,0.02614910702183524,0.9031824274722176,0.36659718012901255,1298,-4.2424547011870386e-16,0.9999999999999999,0.6362907888389796,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,0.02706894922193054,0.0262457641572121,1.0313644921819598,0.3025626510515944,1298,-3.010774304068221e-16,1.0,0.5820729096421149,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,0.021263041639190766,0.026041311889837535,0.8165119226381425,0.4143576943364079,1298,-1.3644281732527347e-15,1.0,0.6752447859525362,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,0.08724858231632451,0.026120620507863946,3.3402185943499014,0.0008609773338078481,1298,1.6696112049832864e-16,0.9999999999999999,0.008695871071459266,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,0.08435334967501326,0.026148196072236844,3.2259720495432735,0.0012868673603419537,1298,1.300107085847641e-15,1.0,0.01181578212677612,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,0.1156068049725632,0.02615598064572521,4.419899469204468,1.0700904351151508e-05,1298,5.309911045356681e-16,0.9999999999999999,0.0002128673997575315,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,0.026317575926136705,0.026098383222189707,1.0083987081529493,0.3134516144568278,1298,4.9540922639668e-16,0.9999999999999999,0.5917497768250394,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,-0.10856173285819,0.026399558370807256,-4.112255642057938,4.165127126876847e-05,1298,-4.105601323729393e-18,1.0000000000000002,0.0006471966766377871,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,-0.04616204824689754,0.026257696856127426,-1.7580387381205251,0.07897731733034813,1298,8.238573322950314e-16,1.0,0.24730189842186953,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,-0.019934298322132393,0.02636953983406435,-0.7559592790611056,0.44981120168560473,1298,4.132971999220922e-16,1.0,0.6936020056526119,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,0.02055560788464672,0.026310056102420182,0.781283316334543,0.4347787935984233,1298,-1.2385230659917e-15,0.9999999999999999,0.6835264491248577,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,0.08613786169133777,0.026176592027044917,3.29064461876254,0.0010265126058145392,1298,-9.579736422035249e-17,1.0,0.00987407363688271,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,0.05913393136719319,0.02598231570723414,2.275929983820834,0.023013033906210737,1298,7.376397044967142e-16,0.9999999999999999,0.10565074656942203,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,0.1202461279604231,0.025756732101881313,4.66853199717988,3.3491859414300223e-06,1298,-1.6696112049832864e-16,1.0,9.664793716698065e-05,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,-0.001392845518514263,0.026665451793965216,-0.05223408661050642,0.9583502349152575,1298,9.16917628966231e-16,1.0,0.992273586836122,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_1,0.07215610896923581,0.025966666181397584,2.7787975732105403,0.0055349610254246204,1298,1.0099779256374305e-15,0.9999999999999999,0.03443391306435277,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
