roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.2588402969810045,0.08572557901554032,-3.019405642440537,0.0025911667879118063,1104,5.824648332091401e-16,1.0,0.0038474567376757104,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.7473190318425564,0.0832469383579587,-8.977135334744839,1.1777704683213561e-18,1104,5.293672102922848e-16,1.0,4.7581926920182784e-17,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.6170494105708298,0.08380574187603472,-7.362853627422904,3.52228479818788e-13,1104,9.654113257610056e-16,1.0000000000000002,2.387211971010579e-12,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.6242875251670232,0.08361193302755608,-7.466488365497734,1.6727319336138466e-13,1104,-1.3274405729213829e-15,1.0,1.2514512984814703e-12,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.633299607815802,0.08416239877255946,-7.524733337594516,1.0963345525445274e-13,1104,1.2550347234893074e-15,1.0,8.51767613899979e-13,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.400548004217263,0.08462528058515141,-4.733195582308584,2.4983122969009076e-06,1104,8.688701931849051e-16,1.0,5.8006791261377395e-06,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.33000299527754734,0.08530502694228916,-3.8685058443367244,0.00011593957262131652,1104,-4.440892098500626e-16,1.0,0.0002188765763505228,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,-0.39418374895286595,0.08509600918808381,-4.632223681390506,4.0499513356112016e-06,1104,-1.1617116286657435e-15,0.9999999999999999,9.089890775482919e-06,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,-0.16076790659355056,0.08622988857181482,-1.8644104643560828,0.06253051503007989,1104,1.0362081563168128e-15,1.0,0.07301250887905282,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.14729396067922804,0.08591995982396779,-1.7143159864250737,0.08675265590700186,1104,-6.693518525276306e-16,1.0,0.09789964521348812,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,-0.23528843546869554,0.08620623047276292,-2.7293669399340637,0.0064469315587069856,1104,6.822240035377773e-16,0.9999999999999999,0.00891972722506035,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,-0.6543768560573536,0.08408699017840945,-7.7821415021389875,1.637775226533938e-14,1104,2.9605947323337506e-16,1.0,1.6541529787992774e-13,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,-0.6575784555849464,0.08315870463675999,-7.907512009203019,6.359293218605521e-15,1104,5.599385689413833e-16,1.0,6.760932790306922e-14,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,-0.8155149729350757,0.08199546035914042,-9.945855165189842,2.2427314516766964e-22,1104,-4.1512687007723246e-16,1.0,1.5101058441289756e-20,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
