roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.053932725982555885,0.08125188901075842,-0.66377196443291,0.5069721526274009,1131,2.19885019908077e-16,0.9999999999999998,0.8691996457233787,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.09930760612667089,0.08097936078359888,-1.2263323044997918,0.2203300363134645,1131,-1.0397420227081927e-15,0.9999999999999999,0.689278861419479,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.14862993677333425,0.08112389952077805,-1.832135013865625,0.06719531208909851,1131,7.947272862391925e-16,1.0,0.537524406633975,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.006371547955443851,0.08011076195279922,-0.07953423235692014,0.9366218366408006,1131,1.083719026689808e-15,1.0,0.9849773540327913,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.12034204931586592,0.08104128591036615,-1.4849474309794082,0.1378376391079685,1131,-3.612396755632693e-16,0.9999999999999999,0.622202324931708,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.039086823976331786,0.08075500243134852,-0.4840173710546328,0.6284676613002639,1131,-1.6334315764600004e-16,1.0,0.950988702753674,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.09241858815715721,0.08070286953582222,-1.145171029093763,0.25238165855587524,1131,-6.282429140230771e-17,1.0,0.689278861419479,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,-0.07168374228430936,0.0811144336211802,-0.8837359651561649,0.37702740690445324,1131,-5.025943312184617e-16,1.0,0.785149857677315,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,-0.041084120982958286,0.08133011821234662,-0.5051526038077412,0.6135505117060122,1131,-2.6386202388969237e-16,1.0000000000000002,0.946085521867286,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.035983831424299034,0.08108360360966697,-0.4437867808333195,0.6572820109750757,1131,-1.7653625884048466e-15,0.9999999999999999,0.965096023970719,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,-0.11113055550707053,0.08153949808625638,-1.3629045814031295,0.17318507113660223,1131,-1.8941523857795774e-15,1.0,0.6478404512887713,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,-0.09057574972980229,0.08146065274417005,-1.1118957027542917,0.26642033837244183,1131,1.7276680135634619e-15,1.0,0.689278861419479,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,-0.29886839738989646,0.08045176446372751,-3.7148768505213368,0.00021327669603153296,1131,1.978965179172693e-16,0.9999999999999999,0.010770473149592414,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.0156703155690083,0.08050981395246315,0.19463857633879025,0.8457110120394664,1131,-4.303463961058078e-16,1.0000000000000002,0.9849773540327913,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,-0.1027478817869031,0.08145536215326965,-1.2614010799383422,0.20742563859896845,1131,3.42392388142577e-16,0.9999999999999999,0.689278861419479,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,-0.03738582367951711,0.08125295261625623,-0.4601164939332598,0.6455214393831066,1131,1.0491656664185388e-15,1.0,0.965096023970719,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,-0.019282716731070855,0.08143421196800349,-0.23678889087362046,0.8128636397968663,1131,-4.711821855173079e-16,1.0,0.9849773540327913,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,-0.09207574273690874,0.08039502599097884,-1.1452915351658772,0.2523317741229105,1131,-6.627962742943463e-16,0.9999999999999999,0.689278861419479,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,-0.08966422830469131,0.08117357105557872,-1.1045987892204363,0.26956945570365765,1131,-3.643808901333847e-16,0.9999999999999999,0.689278861419479,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,-0.015606364232537662,0.08125031111068239,-0.19207759354026419,0.8477160590036623,1131,8.669752213518464e-16,1.0,0.9849773540327913,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,-0.10399884327791421,0.08144388255362843,-1.2769386725815042,0.20188715977490926,1131,1.947553033471539e-16,0.9999999999999999,0.689278861419479,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,-0.31158421715032486,0.08062222645302686,-3.864743394699773,0.00011755767562639379,1131,8.921049379127694e-16,1.0000000000000002,0.010770473149592414,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,-0.17861123953546706,0.08112913711423542,-2.2015671050953016,0.027898166091273113,1131,-1.262768257186385e-15,1.0,0.376435357447068,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,-0.19196348587823675,0.08140042308448073,-2.358261524992433,0.01853094658506672,1131,-4.39770039816154e-17,1.0,0.34029556456213433,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,-0.0029019218838510705,0.08135534686245126,-0.03566971312601487,0.9715520428112011,1131,1.5391951393565389e-16,1.0,0.9849773540327913,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,-0.143363614786951,0.08150899741764103,-1.758868582966066,0.07887142929842417,1131,3.9736364311959625e-16,1.0,0.5493850429751704,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,-0.14802086237336673,0.08137760030098849,-1.818938649282937,0.06918630976476907,1131,-9.423643710346157e-16,0.9999999999999999,0.537524406633975,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,-0.09096203505234549,0.0807615551509992,-1.1263036587430064,0.2602769926731829,1131,2.19885019908077e-17,1.0,0.689278861419479,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,-0.07210301262808057,0.0812945960890811,-0.8869348775541173,0.3753033564937641,1131,-4.7118218551730784e-17,1.0,0.785149857677315,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_1,-0.03428647938947311,0.08139308364382115,-0.42124561270478317,0.6736561355439178,1131,1.5015005645151542e-15,0.9999999999999999,0.965096023970719,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_2,-0.11829589302105163,0.08092932373982839,-1.4617185409994193,0.14409736581847946,1131,2.2302623447819236e-16,1.0000000000000002,0.622202324931708,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FrMed,-0.17794427777168714,0.08085462837728892,-2.200792723223616,0.02795312060250505,1131,-9.926238041564618e-16,1.0,0.376435357447068,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_IPL_1,-0.12284286318644332,0.080536004742807,-1.5253160816549558,0.1274610913831736,1131,-3.706633192736155e-16,1.0,0.622202324931708,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_1,0.011493119603305891,0.08153332156260712,0.14096223952412698,0.8879249859830185,1131,-1.068012953839231e-16,1.0,0.9849773540327913,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_2,-0.01636234551315735,0.08157458413109572,-0.2005814150012948,0.8410621137731574,1131,5.340064769196155e-16,1.0,0.9849773540327913,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_PFCv,-0.06750510946444946,0.08053433363179635,-0.8382152855834555,0.4020876964206912,1131,1.696255867862308e-16,0.9999999999999999,0.7913810692735063,LH,ContB,prefrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_Temp,-0.011605853674700501,0.08117083924759173,-0.14298057999991465,0.8863310996275218,1131,-1.3570046942898464e-15,1.0,0.9849773540327913,LH,ContB,temporal,ContB,temporal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_1,-0.13131663067614233,0.0815335307279982,-1.6105843755770148,0.10755061180120358,1131,7.727387842483848e-16,1.0,0.622202324931708,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_2,-0.15358769554917273,0.08148987279045888,-1.8847458007954494,0.059721528760792356,1131,-1.1999439657840773e-15,1.0,0.537524406633975,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_3,-0.08490163865846782,0.08044794167365692,-1.0553612297860604,0.29148653286333703,1131,1.1402608889518848e-15,1.0,0.7005631544575763,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PFCl_1,0.004503378348013867,0.08147812285985166,0.055271012511665336,0.955932360619058,1131,-1.8281868798071543e-15,1.0,0.9849773540327913,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PFCl_2,-0.05286711507326027,0.08143710811945214,-0.6491772153268835,0.5163562251822051,1131,-1.539195139356539e-15,1.0,0.8691996457233787,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_PrCv,0.008294758517839704,0.08150283395257543,0.10177263925161459,0.9189552632373068,1131,-3.706633192736155e-16,1.0,0.9849773540327913,LH,ContA,precentral,ContA,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_TempOcc,-0.08406820773255272,0.08157580713866704,-1.0305531833678208,0.30297170534904866,1131,4.648997563770771e-16,0.9999999999999999,0.7005631544575763,LH,ContA,temporo_occipital,ContA,temporal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_pCun,-0.017563426413538995,0.08117295247952416,-0.21637042730421024,0.8287382075758357,1131,1.3098864757381158e-15,1.0,0.9849773540327913,LH,ContA,precuneus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_Language_PFCv,0.009245617236047556,0.08127005560721444,0.11376413079784839,0.9094450536355074,1131,-3.5809846099315396e-16,1.0,0.9849773540327913,LH,Language,prefrontal,Language,frontal,fs8_thickness_kong200_17,Language
lh_17networks_LH_Language_Temp_1,-0.02246218866275733,0.08160795061233056,-0.275245101662477,0.7831784365144956,1131,5.717010517610001e-16,1.0,0.9849773540327913,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language
