roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,0.10110791954786386,0.02767882406898439,3.652897944503384,0.00026972243703687036,1291,-4.2929770247318214e-16,1.0,0.0003681346775773501,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,0.2866724458288748,0.026719774903408846,10.728849582946966,8.848757060195975e-26,1291,2.917022850138289e-16,0.9999999999999999,5.958163087198623e-24,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,0.23218663296041725,0.027000026510087868,8.599496481000367,2.2922510911384272e-17,1291,5.861564783768448e-16,0.9999999999999999,1.2862075566943397e-16,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,0.24243698078029247,0.02686390854769721,9.024635426741517,6.407417005565852e-19,1291,5.723969366309095e-16,1.0,5.392909313017925e-18,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,0.25266846225197526,0.026992036037027007,9.360852286406661,3.408982704641281e-20,1291,2.201526679349652e-16,0.9999999999999999,4.590763375583592e-19,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,0.165097240890402,0.027355759638293377,6.035191238458396,2.073543398100929e-09,1291,-2.5317556812521e-16,1.0,4.4090080675409225e-09,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,0.12726176793034205,0.027530437479829487,4.622584295058222,4.171303275612735e-06,1291,3.549961770451314e-16,1.0,6.795187594143326e-06,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.16773283511304157,0.027432879061807042,6.11429936810988,1.2841133434335827e-09,1291,-5.861564783768448e-16,1.0,2.850449399709711e-09,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.07295318245001048,0.02785257628545722,2.619261561383886,0.008915692331901185,1291,2.4767175142683586e-16,0.9999999999999999,0.010410230352855718,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,0.09591995273786935,0.027691429762159152,3.4638858867787943,0.0005499344641938123,1291,4.0453052733049853e-16,1.0,0.0007260572664519613,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
