roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.049589330987687315,-0.049589330987687315,-0.049589330987687315,184,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,,MCI
lh_17networks_LH_DefaultC_IPL,-0.09333220570402392,-0.09333220570402392,-0.09333220570402392,184,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultC_PHC,-0.14733127692187392,-0.14733127692187392,-0.14733127692187392,184,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_IPL_1,-0.004972282701325931,-0.004972282701325931,-0.004972282701325931,184,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_IPL_2,-0.1119365938990903,-0.1119365938990903,-0.1119365938990903,184,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCd_1,-0.028401002915357607,-0.028401002915357607,-0.028401002915357607,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCd_2,-0.08785607620128877,-0.08785607620128877,-0.08785607620128877,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCl,-0.06409716133415744,-0.06409716133415744,-0.06409716133415744,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCm,-0.045571787077359364,-0.045571787077359364,-0.045571787077359364,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCv_1,-0.03380998488881757,-0.03380998488881757,-0.03380998488881757,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_PFCv_2,-0.10316332370773539,-0.10316332370773539,-0.10316332370773539,184,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_Temp,-0.07980533012957697,-0.07980533012957697,-0.07980533012957697,184,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultB_TempPole,-0.2869164511079879,-0.2869164511079879,-0.2869164511079879,184,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_IPL_1,0.029782071503060864,0.029782071503060864,0.029782071503060864,184,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PCC,-0.0964740042474293,-0.0964740042474293,-0.0964740042474293,184,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_1,-0.03203837513889036,-0.03203837513889036,-0.03203837513889036,184,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_2,-0.00990591094741641,-0.00990591094741641,-0.00990591094741641,184,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCd_3,-0.09393515738410078,-0.09393515738410078,-0.09393515738410078,184,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCm_1,-0.09063139613357689,-0.09063139613357689,-0.09063139613357689,184,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_PFCm_2,-0.016241180822839166,-0.016241180822839166,-0.016241180822839166,184,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_RSC,-0.10525319278745161,-0.10525319278745161,-0.10525319278745161,184,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_TempPole,-0.3036260343058032,-0.3036260343058032,-0.3036260343058032,184,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_Temp_1,-0.17048297209975521,-0.17048297209975521,-0.17048297209975521,184,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_Temp_2,-0.1810657234602063,-0.1810657234602063,-0.1810657234602063,184,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_DefaultA_pCun,-0.0023373306254173528,-0.0023373306254173528,-0.0023373306254173528,184,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default,MCI
lh_17networks_LH_ContC_PCC,-0.1477978751683124,-0.1477978751683124,-0.1477978751683124,184,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_PFCl,-0.1413200849863626,-0.1413200849863626,-0.1413200849863626,184,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_PFCm,-0.09467011615247559,-0.09467011615247559,-0.09467011615247559,184,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContC_pCun,-0.06863445722408143,-0.06863445722408143,-0.06863445722408143,184,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FPole_1,-0.03373966537903934,-0.03373966537903934,-0.03373966537903934,184,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FPole_2,-0.1104030232606457,-0.1104030232606457,-0.1104030232606457,184,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_FrMed,-0.16945997202448912,-0.16945997202448912,-0.16945997202448912,184,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_IPL_1,-0.11713554321165694,-0.11713554321165694,-0.11713554321165694,184,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_OFC_1,0.009818610757058168,0.009818610757058168,0.009818610757058168,184,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_OFC_2,-0.015688192743257882,-0.015688192743257882,-0.015688192743257882,184,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_PFCv,-0.07180841368178698,-0.07180841368178698,-0.07180841368178698,184,LH,ContB,prefrontal,ContB,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContB_Temp,-0.0009568260334763691,-0.0009568260334763691,-0.0009568260334763691,184,LH,ContB,temporal,ContB,temporal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_IPS_1,-0.11863706559696924,-0.11863706559696924,-0.11863706559696924,184,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_IPS_2,-0.1425933519750858,-0.1425933519750858,-0.1425933519750858,184,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_IPS_3,-0.07492461669453826,-0.07492461669453826,-0.07492461669453826,184,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_PFCl_1,0.0059846274849703705,0.0059846274849703705,0.0059846274849703705,184,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_PFCl_2,-0.05195883284783376,-0.05195883284783376,-0.05195883284783376,184,LH,ContA,prefrontal,ContA,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_PrCv,0.013230827726547828,0.013230827726547828,0.013230827726547828,184,LH,ContA,precentral,ContA,frontal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_TempOcc,-0.07413886101916238,-0.07413886101916238,-0.07413886101916238,184,LH,ContA,temporo_occipital,ContA,temporal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_ContA_pCun,-0.01952558251545215,-0.01952558251545215,-0.01952558251545215,184,LH,ContA,precuneus,ContA,parietal,fs8_thickness_kong200_17,Cont,MCI
lh_17networks_LH_Language_PFCv,0.013479485681406174,0.013479485681406174,0.013479485681406174,184,LH,Language,prefrontal,Language,frontal,fs8_thickness_kong200_17,Language,MCI
lh_17networks_LH_Language_Temp_1,-0.023043731299368174,-0.023043731299368174,-0.023043731299368174,184,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language,MCI
lh_17networks_LH_Language_Temp_2,0.05788830046082278,0.05788830046082278,0.05788830046082278,184,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language,MCI
lh_17networks_LH_Language_Temp_3,-0.10878740194809018,-0.10878740194809018,-0.10878740194809018,184,LH,Language,temporal,Language,temporal,fs8_thickness_kong200_17,Language,MCI
lh_17networks_LH_SalVenAttnB_FrMed,-0.10800457395826192,-0.10800457395826192,-0.10800457395826192,184,LH,SalVenAttnB,medial_frontal,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnB_Ins,-0.0705965507663822,-0.0705965507663822,-0.0705965507663822,184,LH,SalVenAttnB,insula,SalVenAttnB,insula,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnB_PFCl,0.0005357986399685061,0.0005357986399685061,0.0005357986399685061,184,LH,SalVenAttnB,prefrontal,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnB_PrCv,-0.010024388790241583,-0.010024388790241583,-0.010024388790241583,184,LH,SalVenAttnB,precentral,SalVenAttnB,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnB_Temp,-0.008357874389055268,-0.008357874389055268,-0.008357874389055268,184,LH,SalVenAttnB,temporal,SalVenAttnB,temporal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_FrMed_1,-0.06923666652573822,-0.06923666652573822,-0.06923666652573822,184,LH,SalVenAttnA,medial_frontal,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_FrMed_2,-0.0913515819459503,-0.0913515819459503,-0.0913515819459503,184,LH,SalVenAttnA,medial_frontal,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_IPL,-0.003162737732547817,-0.003162737732547817,-0.003162737732547817,184,LH,SalVenAttnA,inferior_parietal,SalVenAttnA,parietal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_Ins,-0.18582128437137105,-0.18582128437137105,-0.18582128437137105,184,LH,SalVenAttnA,insula,SalVenAttnA,insula,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_Oper,-0.008515082312328781,-0.008515082312328781,-0.008515082312328781,184,LH,SalVenAttnA,opercular,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_PrCd,-0.14200000920842068,-0.14200000920842068,-0.14200000920842068,184,LH,SalVenAttnA,precentral,SalVenAttnA,frontal,fs8_thickness_kong200_17,SalVentAttn,MCI
lh_17networks_LH_SalVenAttnA_SPL,0.012764965831126686,0.012764965831126686,0.012764965831126686,184,LH,SalVenAttnA,superior_parietal,SalVenAttnA,parietal,fs8_thickness_kong200_17,SalVentAttn,MCI
