roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.03388440969362892,0.02574833918113822,-1.3159842836951101,0.1884123958675644,1298,2.1896540393223427e-16,1.0000000000000002,0.4276326288230113,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.044216322451263085,0.025434470609968306,-1.7384408399651838,0.08237102066013964,1298,3.6266145026276297e-17,1.0,0.2446903849021795,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.11876732698218402,0.026236066463015885,-4.526872469606158,6.537004822930371e-06,1298,3.06551565505128e-16,0.9999999999999999,0.00012004317947563046,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.006967548368790655,0.0259247887148637,0.26876008307816546,0.7881571545614733,1298,-4.091915985983628e-16,0.9999999999999999,0.9202759839388301,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.024362625479353917,0.026202040376274615,0.9297987916015026,0.3526486901018362,1298,-8.594392104340195e-16,1.0,0.6212545398405179,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.0758914420735036,0.026054090029750333,-2.912841783644932,0.003643042820179455,1298,1.5135983546815693e-15,1.0,0.024529821655874997,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.03963849686925082,0.026262223103788573,1.509335166051978,0.1314572738182217,1298,9.004952236713135e-16,1.0000000000000002,0.33120396353978804,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.0061179378460956835,0.02602343493888695,0.23509340179199859,0.8141734364853257,1298,9.470253720069132e-16,1.0,0.930776061410623,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.012305121274245226,0.026439218542201628,-0.46541168584858494,0.6417149827306132,1298,-4.653014833559978e-16,1.0000000000000002,0.8547619109657583,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.0007778814605546025,0.026180446441583637,-0.029712306942140478,0.9763010784885429,1298,5.665729826746562e-16,1.0,0.9871949891332901,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.04968167011838154,0.026221752811213046,1.8946738792052251,0.05835838386279461,1298,-2.4907314697291647e-16,1.0,0.1998032803438053,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.011529114354723369,0.026010877447736665,0.4432420389465398,0.6576647672996347,1298,-1.4082212540391816e-15,0.9999999999999998,0.8626511882761443,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.06683277492590925,0.026697677294297256,-2.5033179549362905,0.012425912683772732,1298,-3.284481058983514e-17,1.0,0.06783876654384033,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.05247220653236642,0.025802995570217195,2.0335703422331264,0.042198626727883395,1298,4.324566727661627e-16,1.0,0.16605285804990355,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,0.045558920330615385,0.02590502327128242,1.7586905772488042,0.07886642709505758,1298,-2.5728434962037525e-16,0.9999999999999999,0.23777639213733776,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,-0.041514599035500616,0.02631642739591981,-1.577516522700083,0.11492114049543238,1298,2.479783199532553e-15,0.9999999999999999,0.30544829447470184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
