roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.2593845084088039,0.08572289585319921,-3.0258486467022867,0.0025370387743081026,1104,-3.9260060580947566e-16,0.9999999999999999,0.003634622924895296,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.2232264368356679,0.08540091770571723,-2.6138646144867344,0.009074822914706395,1104,3.958186435620123e-16,0.9999999999999999,0.012302780058863703,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.4999917752022804,0.08381183741135799,-5.965646269610629,3.2819272897745716e-09,1104,8.881784197001252e-16,0.9999999999999999,9.749254596095051e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.4645412284803242,0.08515581199898141,-5.455191108809823,6.041655497596151e-08,1104,-5.985550219718235e-16,1.0,1.605808434887398e-07,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.39323477434696014,0.08555343475774224,-4.596364546443578,4.797277470786569e-06,1104,-1.0716065715947163e-15,1.0,1.04198930010633e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.5324622485710013,0.08372154996852832,-6.359918668146476,2.9552357797074124e-10,1104,8.91396457452662e-16,1.0000000000000002,1.1087157387014258e-09,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.5227077697929695,0.08495384494177953,-6.152844172635047,1.0644091790081779e-09,1104,-1.9308226515220113e-16,1.0,3.4128675263436813e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.4109119029885333,0.08535747211680746,-4.814012092886499,1.685925359855245e-06,1104,-1.238944534726624e-15,1.0,3.826482277424263e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.26242773313604223,0.08607397446738507,-3.0488627341761787,0.0023520434236922417,1104,1.8664618964712776e-16,1.0,0.003418077493423258,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.1869965405645197,0.0861217593198012,-2.1713042330003267,0.030121591014307385,1104,1.1488394776555967e-15,1.0,0.03779230673844778,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,-0.22387521789142564,0.08587789181171909,-2.606901650336916,0.009260262955370201,1104,6.85442041290314e-16,1.0,0.012470487446565204,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-0.4781679871785919,0.08518007690711638,-5.613613001312555,2.507920761778971e-08,1104,-3.604202282841088e-16,1.0,7.036111026102114e-08,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.4103293965696474,0.08505301921205352,-4.8243954226553365,1.6021642583265242e-06,1104,-3.089316242435218e-16,1.0,3.6776952293404305e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,-0.13947615125865478,0.08642683528897412,-1.61380606836183,0.10685656483780559,1104,8.431258911646116e-16,1.0,0.11925428783003718,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,-0.04195643489156338,0.08653855160595281,-0.48482940970180605,0.6278939766569669,1104,2.9605947323337506e-16,1.0,0.6405787034581177,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
