roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.055501864915578666,0.0812495798876964,-0.6831034079473843,0.4946820257917429,1131,-1.1308372452415388e-16,0.9999999999999998,0.8327303518737508,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.04845461489456209,0.08084251166672152,-0.5993704784225331,0.5490464346071833,1131,1.6648437221611543e-16,0.9999999999999999,0.866149523042185,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.040900188831531195,0.08054656328426782,-0.5077831649649008,0.6117048655122277,1131,6.282429140230771e-16,1.0,0.8871333295725884,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.026961514065335854,0.08153613455128558,-0.33066951497899716,0.7409556500727994,1131,1.1968027512139618e-15,1.0000000000000002,0.923410025215128,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.0708522336517645,0.08146648236353261,0.8697102366049938,0.3846441308821448,1131,-1.5046417790852696e-15,1.0,0.7692882617642895,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.10734481943758914,0.08074828043532113,-1.3293759180862268,0.18399324722711585,1131,4.020754649747693e-16,0.9999999999999999,0.6636899274978107,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.03479271360300595,0.08151495737652716,-0.4268261276552513,0.6695875689614628,1131,1.4763708479542312e-16,0.9999999999999998,0.923410025215128,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.060765296283212686,0.08147344058950622,0.7458295101267548,0.4559260779814933,1131,4.272051815356924e-16,1.0,0.820013093897685,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.0031237452078472,0.08161137342555212,-0.03827585637554252,0.9694745252807262,1131,2.7014445302992316e-16,0.9999999999999999,0.9854612677592263,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.09554743076000836,0.0814593196319133,1.172946584770833,0.2410652970392826,1131,-6.785023471449232e-16,1.0,0.7161057353225747,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
