roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.10174046257107344,0.027676828845883416,3.67601588814992,0.00024666136293750586,1291,-2.889503766646418e-17,1.0,0.00034127120077654923,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.08720312527331621,0.02755237962522262,3.164994329327793,0.0015872307957748185,1291,-9.769274639614081e-17,1.0,0.002003878879665708,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.24117859869675196,0.026716420664834546,9.027354439519025,6.259499383261358e-19,1291,-1.0457251726910847e-16,0.9999999999999999,5.4974733713860625e-18,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.21922845982573438,0.0272547913907609,8.043666769728079,1.9635878994839367e-15,1291,-3.0270991841057717e-16,1.0,7.777348150897161e-15,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.17738571127851394,0.02751226651186081,6.4475135555277205,1.6048233114150838e-10,1291,-2.0088930949065576e-16,1.0,3.8138153988923164e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.1993913256450891,0.027046636015339597,7.372130328222837,2.9963330703008024e-13,1291,1.6814160013532967e-15,1.0,8.52477859437693e-13,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.2167176187821402,0.027301024200452592,7.938076505516136,4.440741171795135e-15,1291,-6.907289956459533e-16,0.9999999999999999,1.630963121277486e-14,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.20565060290312764,0.027354291381076107,7.5180380306030585,1.03857137783611e-13,1291,-4.23793885774808e-16,1.0,3.0404553380129597e-13,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.1184989821871288,0.027760425831442035,4.2686298440319455,2.1111553410351624e-05,1291,-1.7612213434797217e-16,1.0,3.1127983860518455e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.10535181057179208,0.027779099589472108,3.792484714361258,0.0001560679563896834,1291,1.695175543099232e-15,1.0000000000000002,0.0002174188082118348,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.15669754655966575,0.02751838970654614,5.694284739429727,1.5334751907687165e-08,1291,7.705343377723782e-16,1.0,2.978480658993084e-08,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.21192801523362848,0.027314104819046576,7.758922235878936,1.7352401870664494e-14,1291,-1.1255305148175095e-15,1.0,5.4458287019862806e-14,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,0.17340406060978755,0.027365082118564185,6.336690672386181,3.2401965961853115e-10,1291,-7.154961707886369e-17,0.9999999999999998,7.437724004879919e-10,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.08357067153528787,0.02790184309717295,2.995166707956843,0.002795424094981692,1291,2.8619846831545476e-16,1.0,0.003401660645700613,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,0.061789477205041875,0.027948722343855415,2.2108158092109145,0.027224046006007228,1291,-9.68671738913847e-16,0.9999999999999999,0.030382636979079888,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,0.14281322805679708,0.027379598123639798,5.216045444198497,2.1283621432684174e-07,1291,2.641832015219582e-16,1.0,3.9084468449110935e-07,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,0.20706652584715135,0.027312070507999556,7.581502317318004,6.513314438917303e-14,1291,-2.545515222998035e-17,0.9999999999999998,1.9348375245019048e-13,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,0.1642801542978492,0.027545393782679145,5.963979153608993,3.1766679677750655e-09,1291,1.0071984558024658e-15,1.0,6.559634066398925e-09,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,0.1660620103610346,0.02752507209025861,6.033118090172253,2.0995890103183236e-09,1291,-2.449198430776488e-16,1.0,4.51188276685427e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,0.07474186862683378,0.027907085176722503,2.678239886162547,0.0074953153155356165,1291,1.2603740239276758e-15,1.0,0.008701458009989624,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,0.09628864500367565,0.027822205329235412,3.4608559553148037,0.0005561028275485324,1291,5.723969366309095e-16,1.0,0.0007342011187242061,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,0.07981505354121846,0.027836188149214,2.8673126188605735,0.004207252468075539,1291,-9.68671738913847e-16,1.0,0.004999205873830934,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,0.2297331665708817,0.027066490587671414,8.487733783836884,5.726740674710588e-17,1291,1.0925076146272647e-15,1.0,2.892004040728847e-16,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,0.23543314031199658,0.02714905451868598,8.671872537953547,1.2599413396453923e-17,1291,5.448778531390388e-16,1.0,7.485533841422625e-17,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_12,0.12307181916981876,0.027559229460432266,4.465720616264587,8.679952993153019e-06,1291,-2.366641180300876e-16,0.9999999999999999,1.3183086500879021e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_12,0.1537707086214636,0.0275906900909226,5.573282441096119,3.042256905705755e-08,1291,-5.641412115833484e-16,1.0,5.797508442948702e-08,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_13,0.16189692655738827,0.02756226354739918,5.87386178493548,5.414825920781235e-09,1291,-1.6704083679565485e-15,1.0000000000000002,1.0937948359978095e-08,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_13,0.07629540500075079,0.02785773350610358,2.738751341132422,0.006252463378300039,1291,3.852671688861891e-16,1.0,0.007300564175818543,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_14,0.21352539010318036,0.02731549581484417,7.817005832533466,1.1188172334437504e-14,1291,2.724389265695194e-16,1.0,3.896570364752372e-14,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_14,0.16830015157435937,0.027519349400043674,6.115702414610582,1.273181880931636e-09,1291,-6.632099121540826e-16,1.0000000000000002,2.8261839554746203e-09,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_1,0.1683397162147332,0.027040012336947767,6.225578380550958,6.482682235720848e-10,1291,3.770114438386279e-16,0.9999999999999999,1.4713503501299002e-09,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_Vis_15,0.2569830427501813,0.027070157845214434,9.493222914310111,1.0474713251437356e-20,1291,-2.731269036568162e-16,0.9999999999999998,1.5113514834216758e-19,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_SomMot_2,0.1358182611581466,0.027396135320133415,4.957570094141483,8.090657427327253e-07,1291,9.30145022025228e-16,1.0,1.3850108477289027e-06,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_1,0.11967573975676117,0.027321338995388175,4.380302875234715,1.2814560642037177e-05,1291,2.641832015219582e-16,1.0,1.931747201262321e-05,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_3,0.14200644709241925,0.02760342041877831,5.144523574905007,3.0985408875984535e-07,1291,5.834045700276578e-16,1.0,5.538984595529979e-07,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
RH_SomMot_2,0.14307314853856687,0.02748849108134993,5.204838203565036,2.2580723230947108e-07,1291,4.430572442191175e-16,1.0,4.1092847681543387e-07,RH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
LH_SomMot_4,0.07307890437433201,0.027934222266233783,2.6161066407303575,0.00899804729223937,1291,-3.2472518520407366e-16,1.0,0.010386317445899159,LH,SomMot,unknown_subregion,SomMot,unknown,fs8_thickness_schaefer200_7,SomMot
