roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.051009636530793295,-0.051009636530793295,-0.051009636530793295,184,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,MCI
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.03971205759782149,-0.03971205759782149,-0.03971205759782149,184,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,MCI
LH_Vis_1,-0.03201295429006154,-0.03201295429006154,-0.03201295429006154,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_1,-0.02357709407556574,-0.02357709407556574,-0.02357709407556574,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_2,0.07443624575220607,0.07443624575220607,0.07443624575220607,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_2,-0.10005136511287649,-0.10005136511287649,-0.10005136511287649,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_3,-0.030366457103435045,-0.030366457103435045,-0.030366457103435045,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_3,0.0699753230937289,0.0699753230937289,0.0699753230937289,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_4,-0.0016367519886665727,-0.0016367519886665727,-0.0016367519886665727,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_4,0.09523221902081083,0.09523221902081083,0.09523221902081083,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_5,-0.03881050536752588,-0.03881050536752588,-0.03881050536752588,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_5,-0.12256307726518685,-0.12256307726518685,-0.12256307726518685,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_6,-0.08292580984162241,-0.08292580984162241,-0.08292580984162241,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_6,0.09104557898247555,0.09104557898247555,0.09104557898247555,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_7,0.08757584624608503,0.08757584624608503,0.08757584624608503,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_7,-0.1153300270529167,-0.1153300270529167,-0.1153300270529167,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_8,-0.007820253826174805,-0.007820253826174805,-0.007820253826174805,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_8,-0.018328494232545553,-0.018328494232545553,-0.018328494232545553,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
LH_Vis_9,0.022913822733996086,0.022913822733996086,0.022913822733996086,184,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
RH_Vis_9,0.05314036339300245,0.05314036339300245,0.05314036339300245,184,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,MCI
