roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.09371816723111516,0.02686366376390903,-3.4886591812180234,0.0005017400784051841,1298,7.143746303289142e-16,1.0,0.005375786554341259,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.06111324476478719,0.026948479451565522,-2.26778081763856,0.02350685683058304,1298,6.555276780221264e-16,0.9999999999999998,0.10282106438511121,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.0167097244401989,0.02704133154402092,-0.6179327527935129,0.536728403196236,1298,-4.618801489195567e-16,1.0,0.819905568267003,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.020089178830092383,0.026928000600409303,-0.7460330652914138,0.45578294386517026,1298,-7.171116978780672e-16,1.0,0.7512905668107203,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.07863878856845707,0.026452222481921975,-2.9728613020021486,0.003004951943367465,1298,-1.1632537083899945e-16,1.0,0.01802971166020479,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.009974198389688441,0.02659408455708246,0.37505327052260357,0.7076823109536247,1298,-4.721441522288801e-16,1.0,0.8887208329579862,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.005461264159961607,0.02672125290450996,-0.20437904537926307,0.8380894435615684,1298,-1.833835257932462e-16,0.9999999999999999,0.9263028763529071,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.004346520857875055,0.026652498269718605,0.1630811796286047,0.8704799821548668,1298,-7.253229005255259e-17,0.9999999999999998,0.9326571237373573,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.016046861851159964,0.026874813860249456,-0.5970966695659568,0.5505472995637606,1298,-2.2170247148138718e-16,1.0,0.8254043341756602,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.0009771136915824319,0.026628487264802363,0.036694299674844263,0.9707344134966994,1298,-3.051830317305515e-16,1.0,0.9905453198945913,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.016629404503848838,0.02657133042694403,0.6258401155173692,0.5315301831127397,1298,-1.389061781195111e-15,0.9999999999999998,0.819905568267003,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.02891164384818508,0.026422294997739126,1.09421395267364,0.27406479138847195,1298,-8.621762779831724e-16,1.0000000000000002,0.5242086845159375,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.03175292085421806,0.026515471150956146,1.1975242934000458,0.23132157970224673,1298,1.2864217481018763e-16,0.9999999999999997,0.46264315940449346,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,0.06509990360938628,0.027166340707273112,2.396344222832978,0.01670077968590603,1298,3.749782542339512e-16,1.0,0.08350389842953015,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,-0.004427181695545068,0.02679220384401956,-0.16524141579839782,0.8687797784440158,1298,-1.1988355865289826e-15,1.0,0.9326571237373573,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,0.0144559205551745,0.026680424970083737,0.5418174774721038,0.5880375296134206,1298,-3.106571668288574e-16,1.0,0.8511152461537949,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,0.008113642491669848,0.02651110671757298,0.30604691754688956,0.7596181539276897,1298,2.1212273505935193e-16,0.9999999999999999,0.8887208329579862,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,-0.011946809840779407,0.027579883864352853,-0.4331711438502728,0.6649626338021786,1298,2.5728434962037525e-16,1.0,0.8793193093599098,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,0.03204835057308274,0.027693551684650392,1.1572495625704111,0.24738398644739637,1298,-1.1221976951527006e-16,1.0,0.4882578679882823,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,-0.03248337784795849,0.026595823498614106,-1.2213713874906404,0.22216790906314984,1298,1.833835257932462e-16,1.0,0.4503403562090875,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,0.034866089142100154,0.02670753039413537,1.3054778419256727,0.1919622471409306,1298,3.763467880085276e-16,1.0,0.41730923291506655,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,0.015653183172518875,0.026674174744210993,0.5868291455170899,0.5574208226691193,1298,1.6696112049832864e-16,1.0,0.8254043341756602,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,0.054532211460279284,0.026580045696502665,2.051622186167065,0.040407306745502906,1298,1.0209261958340422e-15,1.0000000000000002,0.15541271825193426,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,0.04823119367924114,0.026666279915867477,1.8086959947698478,0.07073027512846305,1298,-1.601184516254463e-16,0.9999999999999999,0.2306422015058578,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
