roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.6173535623909953,0.0837888184354986,-7.367970737840631,3.395851709865893e-13,1104,-6.049910974768969e-16,1.0,1.2734443911997099e-11,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.4773868414813818,0.08493968971633847,-5.620303571577029,2.4153153765827793e-08,1104,5.108634932151988e-16,1.0,1.1687009886690868e-07,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.604874644025947,0.08449071405874839,-7.159066540795991,1.483310764833038e-12,1104,4.2639000221111087e-16,0.9999999999999999,2.224966147249557e-11,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.4919317602759935,0.08509583966079673,-5.780914345952735,9.672457082642277e-09,1104,-5.390213235498949e-16,0.9999999999999999,5.0029950427460056e-08,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.38089951407077405,0.08521202669577807,-4.470020592640665,8.63151602861451e-06,1104,1.4963875549295588e-15,1.0,3.010993963470178e-05,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,-0.5203147801057331,0.08514811699909378,-6.110702132276991,1.3751989097821906e-09,1104,9.975917032863725e-17,1.0,8.968688542057766e-09,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.5157471380894343,0.08509932131282302,-6.060531742592405,1.8618001386982108e-09,1104,-4.296080399636475e-16,0.9999999999999999,1.1170800832189264e-08,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,-0.5591211130634618,0.0847771567648932,-6.595185948663445,6.585250834909512e-11,1104,-5.985550219718235e-16,0.9999999999999999,7.598366347972513e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.5627399587958023,0.08482492593160317,-6.634134396410273,5.112280002167062e-11,1104,-3.282398507587419e-16,1.0,6.390350002708827e-10,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,-0.2497812128661209,0.08619379062718303,-2.8979026336886395,0.0038312461498111404,1104,-8.366898156595382e-16,1.0,0.007561670032521988,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,-0.3284093253728843,0.0857396069456586,-3.8303106005726004,0.0001352202326995627,1104,-2.220446049250313e-16,1.0000000000000002,0.00034970749836093807,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,-0.25891300768215453,0.08608693263779417,-3.0075761761836275,0.0026933078702278696,1104,3.829464925518656e-16,0.9999999999999999,0.005690087049777189,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,-0.1505388648351489,0.08642187625477937,-1.741906926335954,0.08180449901397506,1104,-5.293672102922848e-16,1.0000000000000002,0.10955959689371661,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,-0.14872032844065544,0.08640743281490197,-1.7211520305115104,0.08550467692820506,1104,-6.387804938785321e-16,1.0,0.11350178353301556,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,-0.6086628768058344,0.08429131307485654,-7.2209443014050505,9.62181519839722e-13,1104,-6.918781167953874e-16,1.0,2.06181754251369e-11,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,-0.5226337027865725,0.08504515120044928,-6.145367436113295,1.1140302994067488e-09,1104,-4.022547190670857e-17,1.0,7.957359281476776e-09,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,-0.34577862480736193,0.08570524405118733,-4.034509540639616,5.8501185948165605e-05,1104,-1.0040277787914458e-15,0.9999999999999998,0.00017550355784449684,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,-0.3430797616582293,0.0858428568582046,-3.996602329124823,6.854247880262676e-05,1104,1.4481169886415086e-16,0.9999999999999999,0.0001898185559651203,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,-0.02997579075485668,0.08660224643278573,-0.3461317920675611,0.7293099235067793,1104,3.322623979494128e-16,1.0,0.7544585415587373,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,-0.4726720453924622,0.08502405213456854,-5.55927450557589,3.399226422389925e-08,1104,1.769920763895177e-16,1.0,1.5451029192681476e-07,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,-0.5537355299237786,0.08465013116723438,-6.5414609793081295,9.317692917799506e-11,1104,-5.792467954566034e-16,0.9999999999999999,9.983242411928042e-10,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,-0.6264319138831378,0.08428733586433403,-7.432100059389953,2.1437470584639151e-13,1104,-1.0941328358624732e-16,1.0,1.0718735292319576e-11,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
