roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.29819419066928066,0.08083700847858363,-3.688832581530798,0.00023604428017143892,1131,5.654186226207694e-16,1.0,0.03540664202571584,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.21567001671128794,0.08116449376222916,-2.657196598097338,0.007990843209444501,1131,-1.947553033471539e-16,1.0,0.23972529628333503,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.23658091728433178,0.0813896771133528,-2.9067681022353913,0.0037233788183450842,1131,1.492076920804808e-16,0.9999999999999999,0.18616894091725422,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.16593907170687575,0.08149451487302846,-2.036199270164564,0.041963986805828905,1131,8.465573266460964e-16,1.0,0.6993997800971484,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.024836912981608873,0.08114711795466452,-0.30607264444665583,0.7596059155427132,1131,9.423643710346156e-18,1.0,0.9989240564195772,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,-0.06176056754304934,0.08163936279046634,-0.7565047721105143,0.4495048601466356,1131,-1.5140654227956158e-15,1.0,0.9989240564195772,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.03392973746762541,0.08162917042552122,-0.4156570168575098,0.6777401968924506,1131,3.0940963515636544e-16,1.0,0.9989240564195772,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,-0.04569436070843434,0.08155640438395048,-0.5602792454325826,0.5754004327004705,1131,-8.512691485012695e-16,1.0,0.9989240564195772,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.09304744599101511,0.08153285712793534,-1.1412263628270982,0.2540183854946481,1131,1.507782993655385e-16,1.0,0.9989240564195772,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.02116992105593246,0.08160496341682949,0.25941952755739567,0.7953589849604487,1131,-5.340064769196155e-16,0.9999999999999999,0.9989240564195772,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.011803768543959068,0.08139774696906742,0.14501345532874158,0.8847262003802254,1131,5.183004040690386e-16,0.9999999999999998,0.9989240564195772,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.05413472942797901,0.08154213322565282,0.6638865980875326,0.5068988027480875,1131,5.62277408050654e-16,1.0,0.9989240564195772,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
