roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,0.22250772800557694,0.027068434860311658,8.220191863838524,4.913790519623457e-16,1291,-2.11896942887404e-16,1.0,1.0529551113478836e-14,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,0.1715098459577401,0.027448211246730643,6.2484889968255635,5.623972477913884e-10,1291,-3.481164061721637e-16,1.0000000000000002,2.1089896792177063e-09,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,0.22314397572279968,0.027263483319554346,8.184719945992844,6.504712260279473e-16,1291,-3.426125894737896e-16,1.0,1.0841187100465786e-14,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,0.1788228899178754,0.027489165762787166,6.505213416114389,1.108363508691211e-10,1291,6.288110577892444e-16,1.0,4.4933655757751803e-10,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,0.1716516627103009,0.027360171964335007,6.273778649273666,4.804938898746512e-10,1291,5.999160201227802e-16,0.9999999999999999,1.8480534225948124e-09,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.21715422330439585,0.027337004196291745,7.943599881871941,4.256165158869631e-15,1291,1.1558015066585673e-15,1.0,4.910959798695728e-14,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,0.21364521291994557,0.027339781629534515,7.814444746301475,1.1407478296851692e-14,1291,4.526889234412721e-16,0.9999999999999999,1.0065422026633847e-13,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.2138925805460593,0.02733299823982022,7.825434248718781,1.0495366430981336e-14,1291,1.3209160076097912e-15,1.0,9.839406029045003e-14,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,0.22563339912904679,0.027241719559921707,8.282641579682103,2.9912068004679606e-16,1291,4.898396861552976e-16,0.9999999999999998,7.478017001169902e-15,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.1289999245942932,0.02775294110497767,4.648153293243441,3.6937849362777507e-06,1291,-4.017786189813115e-16,1.0,9.390978651553603e-06,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.17387690260841393,0.02752297602387616,6.317518223958625,3.6549466058191595e-10,1291,-4.843358694569235e-16,0.9999999999999998,1.442742081244405e-09,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.14133604553257634,0.027702426456881233,5.101937397165031,3.8665195372574765e-07,1291,-2.015772865779525e-15,1.0000000000000002,1.1153421742088875e-06,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.09487646548778865,0.027867416292989472,3.404566268013029,0.0006831041248856994,1291,-2.256564846333393e-16,1.0,0.0011777657325615506,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
