roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_lh_L_TP1_A,-0.28439506566008677,-0.28439506566008677,-0.28439506566008677,184,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP2_1_A,-0.20260875538301185,-0.20260875538301185,-0.20260875538301185,184,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP2_2_A,-0.2308138320641351,-0.2308138320641351,-0.2308138320641351,184,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_TP3_A,-0.15779786538747767,-0.15779786538747767,-0.15779786538747767,184,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T1_A,-0.023463928951851898,-0.023463928951851898,-0.023463928951851898,184,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T2_1_A,-0.057870038401209356,-0.057870038401209356,-0.057870038401209356,184,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T2_2_A,-0.030453613550673258,-0.030453613550673258,-0.030453613550673258,184,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T3_1_A,-0.037266934033820934,-0.037266934033820934,-0.037266934033820934,184,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_T3_2_A,-0.0862936446539346,-0.0862936446539346,-0.0862936446539346,184,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,MCI
lh_lh_L_O1_A,0.02204871208940837,0.02204871208940837,0.02204871208940837,184,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O2_1_A,0.014365910628468825,0.014365910628468825,0.014365910628468825,184,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O2_2_A,0.05563556621544288,0.05563556621544288,0.05563556621544288,184,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O3_A,0.03667742214287788,0.03667742214287788,0.03667742214287788,184,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_O4_A,0.0030125670590043373,0.0030125670590043373,0.0030125670590043373,184,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,MCI
lh_lh_L_AN1_A,0.037870001802988724,0.037870001802988724,0.037870001802988724,184,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,,MCI
lh_lh_L_AN2_A,-0.03581089079296975,-0.03581089079296975,-0.03581089079296975,184,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,,MCI
lh_lh_L_SM1_A,0.0054536037394629835,0.0054536037394629835,0.0054536037394629835,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_SM2_A,0.06680933053374791,0.06680933053374791,0.06680933053374791,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_SM2_B,0.1562301140698206,0.1562301140698206,0.1562301140698206,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_SM3_A,0.003114334343276546,0.003114334343276546,0.003114334343276546,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_SM4_A,-0.05259534807121804,-0.05259534807121804,-0.05259534807121804,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_SM5_A,-0.03967519794377806,-0.03967519794377806,-0.03967519794377806,184,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,MCI
lh_lh_L_P1_A,-0.057760147445843624,-0.057760147445843624,-0.057760147445843624,184,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,MCI
lh_lh_L_P2_A,-0.02521756312708735,-0.02521756312708735,-0.02521756312708735,184,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,MCI
lh_lh_L_P3_A,-0.049992072674519175,-0.049992072674519175,-0.049992072674519175,184,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,MCI
lh_lh_L_P4_A,-0.05246967366997655,-0.05246967366997655,-0.05246967366997655,184,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,MCI
lh_lh_L_S_A,-0.029278429053325183,-0.029278429053325183,-0.029278429053325183,184,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,,MCI
lh_lh_L_M1_A,0.03206209529826691,0.03206209529826691,0.03206209529826691,184,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,,MCI
lh_lh_L_M2_A,-0.01206964366372364,-0.01206964366372364,-0.01206964366372364,184,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,,MCI
lh_lh_L_SF1_A,-0.04182315331462431,-0.04182315331462431,-0.04182315331462431,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF2_A,-0.05568655063825458,-0.05568655063825458,-0.05568655063825458,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF3_A,-0.03273622458032386,-0.03273622458032386,-0.03273622458032386,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF4_A,-0.04732377265638429,-0.04732377265638429,-0.04732377265638429,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF5_A,0.011804365296406147,0.011804365296406147,0.011804365296406147,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF6_A,-0.008918031538410353,-0.008918031538410353,-0.008918031538410353,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF7_A,-0.01746642626160216,-0.01746642626160216,-0.01746642626160216,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_SF8_A,0.021911432568369322,0.021911432568369322,0.021911432568369322,184,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,,MCI
lh_lh_L_MF1_A,-0.05114857317845585,-0.05114857317845585,-0.05114857317845585,184,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,,MCI
