roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.30283871793772427,0.06259532900487558,-4.83804019808149,2.3968023752638375e-06,235,-2.222808225898452e-16,1.0,4.793604750527675e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,-0.12809291800062958,0.06595614335327811,-1.9420922978247968,0.053341640494553914,235,2.6267404327301574e-16,1.0,0.05580356236353333,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.20292645915051355,0.06186061869990531,-3.2803819847799898,0.0011968959493877636,235,-1.58738270754916e-16,1.0,0.0014278758694450512,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.2664275899507735,0.06148500063299821,-4.33321277072225,2.1930800654505367e-05,235,-3.17476541509832e-16,0.9999999999999999,3.637303523186256e-05,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.3587379782957116,0.05960392957607607,-6.018696767934282,6.844838853058135e-09,235,2.721227498655703e-16,1.0,4.6544904200795314e-08,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.31487669191855616,0.056660219621125094,-5.557279763899081,7.526631070038527e-08,235,2.2676895822130855e-16,1.0,3.0106524280154106e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.27845978620132256,0.061984886783493405,-4.492381944230258,1.1132264617555327e-05,235,-5.725916195088041e-16,1.0,1.9920894578783215e-05,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.2972239288727256,0.05781361388357823,-5.141071607653834,5.819326402972243e-07,235,1.0204603119958886e-16,1.0,1.4132649835789733e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.16238944774625264,0.0573284802815471,-2.832613858744178,0.0050248014542971795,235,-5.026711907239007e-16,1.0000000000000002,0.005511072562777552,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.35430363645627744,0.059243919131694855,-5.98042198505954,8.392825215601134e-09,235,-1.5117930548087238e-16,1.0,5.1882919514625196e-08,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.17041029240960243,0.061399882655045264,-2.7754172327493807,0.005964632491505442,235,-3.57161109198561e-16,1.0,0.006438016022577303,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,-0.309748125124906,0.060143189778672064,-5.15017787158919,5.571536711510706e-07,235,-1.0582551383661067e-16,0.9999999999999999,1.403201838454548e-06,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-0.3458890826403019,0.05701842155185886,-6.066268992131115,5.306090323709975e-09,235,-5.064506733609225e-16,1.0,4.009046022358648e-08,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-0.33653760499374696,0.058217479410513376,-5.780696938469176,2.3968436220219828e-08,235,2.040920623991777e-16,1.0,1.2537335869038063e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-0.33035983311884654,0.062419632146893715,-5.2925629606627975,2.8011269263290446e-07,235,-1.209434443846979e-16,1.0,7.326024268860579e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,-0.27848054251856413,0.05971295725666578,-4.663653506919174,5.257274582124548e-06,235,4.1952257270942087e-16,1.0,9.6620181509316e-06,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,-0.26791096967383476,0.062090918381072814,-4.314817314016443,2.3689927816724826e-05,235,0.0,1.0,3.835512122707829e-05,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,-0.4213506705588143,0.05981318748421308,-7.044444348832344,2.119964861108635e-11,235,-1.8141516657704685e-16,1.0,6.471541904595879e-10,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,-0.3515168821747892,0.060008302127880796,-5.857804165591763,1.6031056641284953e-08,235,-5.2912756918305335e-17,1.0,9.084265430061474e-08,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,-0.15788868570324238,0.06457690060247762,-2.444971564602849,0.015234774142603422,235,3.576335445281887e-16,1.0,0.016186947526516136,LH,occipital,occipital,,occipital,fs8_cortical_volume,
