roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,-0.4243285836003407,0.13195243638589024,-3.215769221262476,0.0014878920616069496,235,-2.222808225898452e-16,1.0,0.005987609725860279,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,0.08086264994660622,0.14202836545892217,0.5693415514944692,0.5696799717568832,235,2.6267404327301574e-16,1.0,0.5959728935302778,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,-0.13956833162108878,0.13298494825032353,-1.0495047255902454,0.29504740005846836,235,-1.58738270754916e-16,1.0,0.3519863719995763,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,-0.14016764643773869,0.13217082648804673,-1.0605036690938388,0.2900278864274073,235,-3.17476541509832e-16,0.9999999999999999,0.3519863719995763,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,-0.6074093353408705,0.12203581142409774,-4.977304024553966,1.2639086846150808e-06,235,2.721227498655703e-16,1.0,2.8648596851275164e-05,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,-0.3098322650578704,0.12037536694040706,-2.5738842832458886,0.010684127380832957,235,2.2676895822130855e-16,1.0,0.029060826475865643,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,-0.49098911171119614,0.1295878930007868,-3.7888501799177727,0.0001933001926724848,235,-5.725916195088041e-16,1.0,0.0013144413101728967,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,-0.6266190488505071,0.11753096842818866,-5.33152289333318,2.323301402178019e-07,235,1.0204603119958886e-16,1.0,7.899224767405265e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,-0.2331407921875913,0.12257649877110684,-1.9020023783102715,0.05842028419631376,235,-5.026711907239007e-16,1.0000000000000002,0.10736700879322529,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,-0.21039729102997545,0.12690825743755219,-1.6578691984129226,0.09870710385717782,235,-1.5117930548087238e-16,1.0,0.15981150148304982,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,-0.20621104750812574,0.13160963511692583,-1.5668385321858984,0.11852720669908957,235,-3.57161109198561e-16,1.0,0.17910777901195757,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,-0.20918356552721162,0.1288660505855606,-1.6232635715666959,0.10590284144205889,235,-1.0582551383661067e-16,0.9999999999999999,0.16747426088511638,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,-0.2639379267430532,0.12162978608780753,-2.170010613621485,0.031030327523209517,235,-5.064506733609225e-16,1.0,0.06394128095691658,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,-0.5648960327347614,0.11979518540079007,-4.715515325969317,4.180864649586046e-06,235,2.040920623991777e-16,1.0,7.107469904296279e-05,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,-0.39326870941134784,0.13198432321841694,-2.9796622797431715,0.0031952982682723584,235,-1.209434443846979e-16,1.0,0.011435804328553704,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,-0.11687583398233585,0.12844403060477733,-0.9099358952847186,0.36380889422991214,235,4.1952257270942087e-16,1.0,0.40786527267720346,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,-0.20258200683017336,0.13313080715983608,-1.5216763959596111,0.12946379864242738,235,0.0,1.0,0.19078394529288778,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,-0.3119921300643332,0.12723866234972603,-2.4520230274568346,0.014950308736009433,235,-1.8141516657704685e-16,1.0,0.035055896346504876,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,-0.20302878393926338,0.1286166076495982,-1.5785580699841888,0.11581177334980435,235,-5.2912756918305335e-17,1.0,0.1789818315406067,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,-0.06922737276624921,0.13908140572524832,-0.49774714603479114,0.6191378254202895,235,3.576335445281887e-16,1.0,0.6378995777057528,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,-0.241923647052256,0.13100420993441356,-1.8466860505732874,0.06607730944405983,235,7.181017010341438e-16,0.9999999999999999,0.11779409028907037,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,-0.12524318387882444,0.13034389209989272,-0.9608673015751347,0.33762793878755915,235,2.867682450840298e-16,0.9999999999999998,0.3891305057212546,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,-0.14420766720319278,0.1211261667317523,-1.190557507879838,0.2350546593900557,235,5.291275691830533e-16,1.0,0.30157956299101485,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,-0.5301391476065249,0.12099399354306195,-4.381532769375428,1.7916945434780803e-05,235,6.562126728529117e-16,1.0,0.00020305871492751575,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,-0.1238039706275356,0.13714466296014924,-0.9027253992633304,0.3676160812032008,235,-3.7794826370218096e-18,1.0,0.40786527267720346,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,-0.3358597430178762,0.12574521008953915,-2.6709545658138483,0.008103858287573472,235,2.834611977766357e-18,1.0,0.023714108784601243,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,-0.2555480266033945,0.11922244120483715,-2.1434557455868157,0.033126021797216236,235,1.894465671807182e-16,1.0,0.06625204359443247,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,-0.38140539652258915,0.13061981038980644,-2.919965933072232,0.0038487281614991656,235,1.3606137493278514e-16,0.9999999999999999,0.013085675749097164,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,-0.40711861821995987,0.11989699926894717,-3.3955697031810694,0.0008066471369984257,235,4.799942949017698e-16,0.9999999999999999,0.004219385024299457,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,-0.47455919804001007,0.12764500804408763,-3.7178045997388387,0.00025247575840369444,235,2.38107406132374e-16,1.0,0.0014306959642876019,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,-0.20468188229293072,0.13723919045886798,-1.4914244364788498,0.1372203433402027,235,-3.477124026060065e-16,1.0,0.19439548639862048,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,-0.14858928597804008,0.12922116692148758,-1.1498834867225756,0.25138609000893125,235,-2.8535093909514663e-16,1.0,0.31656026149272826,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,-0.34300353572009484,0.13565374709627678,-2.5285223818893616,0.012124887533842462,235,9.92114192218225e-17,1.0,0.03171124431928029,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,-0.1854979091112195,0.12943029579030385,-1.4331877090951985,0.15316210121012006,235,-6.614094614788166e-17,0.9999999999999998,0.20380588739922623,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,-0.40204623073262147,0.1250938320940109,-3.2139572671374754,0.0014969024314650697,235,-7.558965274043619e-17,0.9999999999999999,0.005987609725860279,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,0.20606824856914793,0.13627390170343695,1.5121622408493107,0.13186537395243714,235,1.927536144881123e-16,1.0,0.19078394529288778,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,-0.05781164644818821,0.1339724635007578,-0.4315188728903324,0.6664953378771161,235,-2.6834326722854847e-16,0.9999999999999999,0.6764430294872223,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,-0.23547436716664258,0.12821158237111765,-1.8366076044911845,0.06755837531284918,235,-3.7605852238367005e-16,0.9999999999999999,0.11779409028907037,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_entorhinal,-0.6546649410806491,0.1169413674134789,-5.598232307015003,6.142462213747931e-08,235,-6.425120482937076e-17,1.0,4.176874305348593e-06,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_fusiform,-0.38839848066957333,0.11840720449366049,-3.2801929775343033,0.0011983888193566581,235,8.598322999224617e-17,1.0,0.0058207456940180535,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_inferiorparietal,-0.3877271093748744,0.1204628050737269,-3.2186458644855036,0.00147369052975483,235,2.6267404327301574e-16,1.0,0.005987609725860279,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_inferiortemporal,-0.4526228238862193,0.1210472498387803,-3.739224348252901,0.00023303976643880277,235,-1.9653309712513408e-16,1.0,0.0014306959642876019,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_isthmuscingulate,-0.3886589611361548,0.12340526684053575,-3.14945197305379,0.0018526294116227367,235,-2.4944585404343944e-16,0.9999999999999999,0.006998822221685894,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_lateraloccipital,-0.286294897714875,0.12506593157127815,-2.289151762738108,0.022977816165808365,235,-3.9684567688729e-16,0.9999999999999999,0.05040295158951512,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_lateralorbitofrontal,-0.2421050761912577,0.12608484541194118,-1.9201758577746453,0.0560725278758844,235,3.250355067838756e-16,1.0,0.10591477487667052,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_lingual,-0.13362907241140748,0.1302817805011035,-1.0256927092754586,0.3061139769175783,235,-1.98422838443645e-16,0.9999999999999999,0.35889224879991943,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_medialorbitofrontal,-0.1746768571680891,0.12251249941268172,-1.425788046162477,0.15528531339818144,235,6.651889441158384e-16,0.9999999999999999,0.20380588739922623,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_middletemporal,-0.5568350666999246,0.12052546024408667,-4.620061732784335,6.389497384443946e-06,235,4.535379164426171e-16,0.9999999999999999,8.689716442843767e-05,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_parahippocampal,-0.551437574560952,0.13129266215545118,-4.20006392975753,3.817421127339341e-05,235,-1.8519464921406866e-16,0.9999999999999999,0.00032646863615655387,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_paracentral,-0.05179448863266614,0.1315493725695968,-0.3937266109366202,0.6941476508471314,235,1.0582551383661067e-16,0.9999999999999999,0.6941476508471314,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsopercularis,-0.1123680391233639,0.1309320650234385,-0.8582163513822884,0.3916664679322962,235,-5.669223955532714e-17,1.0,0.4227511082443832,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsorbitalis,-0.1969452248772758,0.1353162728407284,-1.4554437595919205,0.1469099771884414,235,-4.913327428128353e-16,1.0,0.20380588739922623,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parstriangularis,-0.2253863230249032,0.13078876209137313,-1.7232850852081714,0.08618091994886552,235,3.0235861096174476e-17,0.9999999999999999,0.1429342086956794,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_pericalcarine,-0.07868450875948887,0.1356958133947522,-0.5798595165982613,0.5625769405451906,235,-4.913327428128352e-17,0.9999999999999999,0.5959728935302778,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_postcentral,-0.144279167645802,0.13214751799871977,-1.0918038403657326,0.27606168407217957,235,5.593634302792278e-16,1.0,0.3413126275801493,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_posteriorcingulate,-0.22212436374609862,0.12649586196233328,-1.7559812653179174,0.08042263247893734,235,3.477124026060065e-16,1.0,0.1367184752141935,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_precentral,-0.18225660847805822,0.12800468172525167,-1.4238276758443296,0.15585156095234945,235,5.423557584126297e-16,1.0,0.20380588739922623,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_precuneus,-0.5082064560908305,0.12104262478231807,-4.198574320449381,3.8408074841947515e-05,235,2.6456378459152665e-16,1.0,0.00032646863615655387,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_rostralanteriorcingulate,-0.12311006075069572,0.1375976377286097,-0.8947105690397934,0.3718771603821561,235,2.003125797621559e-16,1.0,0.40786527267720346,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_rostralmiddlefrontal,-0.3474584416080172,0.12529295025990583,-2.7731683298003165,0.006006656842487339,235,2.8724068041365754e-16,0.9999999999999999,0.018566030240415414,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_superiorfrontal,-0.2756871192403038,0.12142925798860577,-2.270351674768306,0.02411228226457123,235,2.9857912832472294e-16,1.0,0.05123859981221386,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_superiorparietal,-0.35068310445702805,0.13184766713215862,-2.659759645997512,0.008369685453388674,235,4.76214812264748e-16,1.0,0.023714108784601243,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_superiortemporal,-0.4747552822729598,0.12336814326909852,-3.8482810042572586,0.00015413430683422228,235,-1.549587881178942e-16,1.0,0.0011645703183030128,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_supramarginal,-0.3197730668384363,0.13034778393754878,-2.4532297917058834,0.014901550138199765,235,-4.3086102062048626e-16,0.9999999999999999,0.035055896346504876,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_frontalpole,-0.3250021407638606,0.13652124914471434,-2.38059747328677,0.01810028723683218,235,4.2991614996123083e-17,1.0,0.0410273177368196,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_temporalpole,-0.38548240639878384,0.13499165828689744,-2.85560168154627,0.004688380593012213,235,-2.3243818217684127e-16,0.9999999999999999,0.015181422872610975,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_transversetemporal,-0.33570480392875923,0.13481521358478168,-2.4901106855988733,0.013477830961764184,235,1.1338447911065428e-17,1.0,0.033944166866665355,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_insula,-0.2703420768017788,0.1275587488880474,-2.1193534677817034,0.03513259971511655,235,-3.136970588728102e-16,1.0,0.06825762230365501,RH,insula,insula,,insula,fs8_cortical_volume,
