roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_bankssts,0.2852515420136303,0.06297256034979673,4.529775197786619,9.485890242470472e-06,235,-2.222808225898452e-16,1.0,5.293425455519571e-05,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_caudalanteriorcingulate,0.038194485115165315,0.06920438050361194,0.5519084895669553,0.5815469050906105,235,2.6267404327301574e-16,1.0,0.5902267096442017,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_caudalmiddlefrontal,0.1540467012404681,0.06415093899315956,2.4013163900359147,0.017131217304338975,235,-1.58738270754916e-16,1.0,0.026229731248838945,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_cuneus,0.11612917937855093,0.06409999714231895,1.811687746579979,0.0713387655824996,235,-3.17476541509832e-16,0.9999999999999999,0.0851058957826311,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_entorhinal,0.3213532076610639,0.058884266213047064,5.457369656240384,1.2473632856177055e-07,235,2.721227498655703e-16,1.0,1.4136783903667327e-06,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_fusiform,0.25306362262633886,0.057101840939273646,4.431794465181351,1.4467907758448917e-05,235,2.2676895822130855e-16,1.0,7.027269482675189e-05,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_inferiorparietal,0.2587452556576286,0.06280446776625066,4.119854285218081,5.291327437998861e-05,235,-5.725916195088041e-16,1.0,0.00017133822180186788,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_inferiortemporal,0.3617220445435213,0.05581871919867152,6.48029997349223,5.506835725708554e-10,235,1.0204603119958886e-16,1.0,3.744648293481817e-08,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_isthmuscingulate,0.13996626086773514,0.05947988568946705,2.3531696344958,0.01945730195679497,235,-5.026711907239007e-16,1.0000000000000002,0.028594191725873613,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_lateraloccipital,0.2391696634272794,0.06017038927431888,3.974873127991522,9.429716534911264e-05,235,-1.5117930548087238e-16,1.0,0.0002888078297892904,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_lateralorbitofrontal,0.10255239194656052,0.06411074573255231,1.5996131502567972,0.11105715586616412,235,-3.57161109198561e-16,1.0,0.1279980779474434,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_lingual,0.14441969715134645,0.06242476139912882,2.313500186696139,0.02157807682090026,235,-1.0582551383661067e-16,0.9999999999999999,0.030568942162942033,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_medialorbitofrontal,0.18045298730283504,0.05867171013818587,3.075638785333259,0.0023547782833005368,235,-5.064506733609225e-16,1.0,0.005165320105304403,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_middletemporal,0.3475006219520041,0.056667811496879154,6.132240027853235,3.740514159083879e-09,235,2.040920623991777e-16,1.0,1.271774814088519e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_parahippocampal,0.20920676121642315,0.06406880955093233,3.2653449109291084,0.0012600418810772935,235,-1.209434443846979e-16,1.0,0.0029896058894536876,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_paracentral,0.05222967479339439,0.06260054070482476,0.834332646417045,0.40495927592676295,235,4.1952257270942087e-16,1.0,0.43026923067218564,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsopercularis,0.13264447889414716,0.06460254666849707,2.0532391636943035,0.041180738871415275,235,0.0,1.0,0.05185722672696738,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parsorbitalis,0.1792414648966258,0.06167827955126221,2.9060710869481072,0.004017389566978579,235,-1.8141516657704685e-16,1.0,0.008034779133957158,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_parstriangularis,0.14614674104017958,0.06226397658433664,2.3472118078135216,0.01976363251641264,235,-5.2912756918305335e-17,1.0,0.028594191725873613,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_pericalcarine,0.03302434784571864,0.06776708807491005,0.4873213352359685,0.6264947695488022,235,3.576335445281887e-16,1.0,0.6264947695488022,LH,occipital,occipital,,occipital,fs8_cortical_volume,
lh_postcentral,0.14075124289265856,0.06362824391328195,2.212087498194771,0.027944178574432984,235,7.181017010341438e-16,0.9999999999999999,0.03877967638900904,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_posteriorcingulate,0.1775990319885917,0.06254888485355704,2.839363681773009,0.004925064630313912,235,2.867682450840298e-16,0.9999999999999998,0.009302899857259612,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_precentral,0.12353299015713481,0.05863562266507444,2.106790796147129,0.03621926899441369,235,5.291275691830533e-16,1.0,0.04736365945423328,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_precuneus,0.28301386953322455,0.058457386512261025,4.841370550732103,2.366454632723625e-06,235,6.562126728529117e-16,1.0,1.9717573208521875e-05,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_rostralanteriorcingulate,0.10065652695311626,0.0666103527599259,1.5111243640444014,0.1321294445872351,235,-3.7794826370218096e-18,1.0,0.1497467038655331,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
lh_rostralmiddlefrontal,0.25688319886531935,0.05986027333981677,4.291380318413121,2.6169306860088137e-05,235,2.834611977766357e-18,1.0,0.00011863419109906623,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorfrontal,0.23900001370263818,0.05651062238978866,4.229293601725132,3.385137710511785e-05,235,1.894465671807182e-16,1.0,0.00014225631960536596,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_superiorparietal,0.23185430110654506,0.0629827724712524,3.6812336454761767,0.00028923984252665304,235,1.3606137493278514e-16,0.9999999999999999,0.0007867323716724962,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_superiortemporal,0.3185297924145839,0.05605917975041412,5.682027347398547,4.0060038522159206e-08,235,4.799942949017698e-16,0.9999999999999999,8.789751131329196e-07,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_supramarginal,0.28401119406557895,0.061235266890302543,4.638033089238582,5.902054521507699e-06,235,2.38107406132374e-16,1.0,3.64854279511385e-05,LH,parietal,parietal,,parietal,fs8_cortical_volume,
lh_frontalpole,0.21426556517400214,0.06568837011721014,3.261849316578876,0.0012749789822670138,235,-3.477124026060065e-16,1.0,0.0029896058894536876,LH,frontal,frontal,,frontal,fs8_cortical_volume,
lh_temporalpole,0.07377538823315595,0.06295435436908076,1.1718869802180008,0.24245491333251243,235,-2.8535093909514663e-16,1.0,0.2659182920421104,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_transversetemporal,0.2373084332880016,0.06515521448640421,3.6422017049382935,0.00033401648292434214,235,9.92114192218225e-17,1.0,0.0008735815707252026,LH,temporal,temporal,,temporal,fs8_cortical_volume,
lh_insula,0.18153590160087285,0.06220289370160754,2.9184478534345315,0.0038668349504533024,235,-6.614094614788166e-17,0.9999999999999998,0.007968023534267411,LH,insula,insula,,insula,fs8_cortical_volume,
rh_bankssts,0.2523738542754139,0.060040473453097945,4.203395472431805,3.76560846014204e-05,235,-7.558965274043619e-17,0.9999999999999999,0.00014225631960536596,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_caudalanteriorcingulate,0.045473168761755244,0.06665949852772768,0.6821708798610333,0.495817319110336,235,1.927536144881123e-16,1.0,0.5108420863561037,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_caudalmiddlefrontal,0.13389350969012204,0.06470317694414521,2.0693498528782466,0.03963050786332089,235,-2.6834326722854847e-16,0.9999999999999999,0.05084668933407208,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_cuneus,0.14894609944051657,0.062154658919198344,2.396378679097056,0.017357910385261067,235,-3.7605852238367005e-16,0.9999999999999999,0.026229731248838945,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_entorhinal,0.2628166396294378,0.05821140128029053,4.514865367421131,1.0119783959081533e-05,235,-6.425120482937076e-17,1.0,5.293425455519571e-05,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_fusiform,0.27730272365137393,0.05612289654692346,4.940990945104295,1.4963254019750697e-06,235,8.598322999224617e-17,1.0,1.4535732476329249e-05,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_inferiorparietal,0.26991078092882514,0.057300932123106,4.71040820678005,4.277530286277247e-06,235,2.6267404327301574e-16,1.0,2.9087205946685278e-05,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_inferiortemporal,0.32071982056634374,0.05694488319936502,5.632109551326993,5.1704418419583506e-08,235,-1.9653309712513408e-16,1.0,8.789751131329196e-07,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_isthmuscingulate,0.1337671654331421,0.06077370846779082,2.2010696534017953,0.028725396386201644,235,-2.4944585404343944e-16,0.9999999999999999,0.039066539085234234,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_lateraloccipital,0.2476650496012461,0.05942389278663542,4.167768855037827,4.3562625308056346e-05,235,-3.9684567688729e-16,0.9999999999999999,0.00014811292604739157,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_lateralorbitofrontal,0.11765412463481909,0.061435745523540836,1.9150760462365772,0.056723229632322035,235,3.250355067838756e-16,1.0,0.07013053845450724,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_lingual,0.07865063360387879,0.06341137117391846,1.2403238117681383,0.21611945628224788,235,-1.98422838443645e-16,0.9999999999999999,0.24092004962611238,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_medialorbitofrontal,0.09815724486406377,0.05960544480889977,1.646783195373584,0.10096822591972726,235,6.651889441158384e-16,0.9999999999999999,0.11837654073347334,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_middletemporal,0.31716727996886634,0.05771681306378179,5.4952320326205575,1.0323973361306662e-07,235,4.535379164426171e-16,0.9999999999999999,1.404060377137706e-06,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_parahippocampal,0.25468530056539984,0.06421904717276168,3.96588413839662,9.768500125226e-05,235,-1.8519464921406866e-16,0.9999999999999999,0.0002888078297892904,RH,temporal,temporal,,temporal,fs8_cortical_volume,
rh_paracentral,0.16516097184737807,0.0631856487841943,2.6139000710663365,0.009542478335002701,235,1.0582551383661067e-16,0.9999999999999999,0.017076013862636415,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsopercularis,0.049433502705843256,0.06381378948924472,0.7746523612137916,0.4393407311489257,235,-5.669223955532714e-17,1.0,0.4596179956634915,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parsorbitalis,0.13945272360205466,0.06559259302412983,2.1260437676362876,0.03456540604659489,235,-4.913327428128353e-16,1.0,0.04608720806212652,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_parstriangularis,0.15673912176916627,0.06329697813859936,2.4762496785543164,0.013998065769319671,235,3.0235861096174476e-17,0.9999999999999999,0.02321630420277409,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_pericalcarine,0.05738739714826094,0.06605600675648485,0.8687687913049195,0.3858792444471122,235,-4.913327428128352e-17,0.9999999999999999,0.4165045813079941,RH,occipital,occipital,,occipital,fs8_cortical_volume,
rh_postcentral,0.12053934197846433,0.06406259558698509,1.8815869209481895,0.0611551266574071,235,5.593634302792278e-16,1.0,0.07425979665542291,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_posteriorcingulate,0.21235716659825907,0.06044451553541526,3.513257815323809,0.00053281017378012,235,3.477124026060065e-16,1.0,0.0013418922895203022,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
rh_precentral,0.15522055320000328,0.06180107681337973,2.511615674088037,0.01270469981267539,235,5.423557584126297e-16,1.0,0.021597989681548163,RH,frontal,frontal,,frontal,fs8_cortical_volume,
rh_precuneus,0.24653551287775152,0.05899611268381904,4.178843345137369,4.1637841817175675e-05,235,2.6456378459152665e-16,1.0,0.00014811292604739157,RH,parietal,parietal,,parietal,fs8_cortical_volume,
rh_rostralanteriorcingulate,0.16122129187716897,0.06631250228291344,2.4312352320734307,0.015812721250819877,235,2.003125797621559e-16,1.0,0.025006163838505853,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,
