roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_bankssts,-0.49339526573023096,-0.49339526573023096,-0.49339526573023096,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_caudalanteriorcingulate,0.06636495475327381,0.06636495475327381,0.06636495475327381,100,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,impaired_like
lh_caudalmiddlefrontal,-0.16422400914456856,-0.16422400914456856,-0.16422400914456856,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_cuneus,-0.19440197865748898,-0.19440197865748898,-0.19440197865748898,100,LH,occipital,occipital,,occipital,fs8_cortical_volume,,impaired_like
lh_entorhinal,-0.6957253118642771,-0.6957253118642771,-0.6957253118642771,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_fusiform,-0.3615911129079004,-0.3615911129079004,-0.3615911129079004,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_inferiorparietal,-0.5278068859626593,-0.5278068859626593,-0.5278068859626593,100,LH,parietal,parietal,,parietal,fs8_cortical_volume,,impaired_like
lh_inferiortemporal,-0.7508391410437134,-0.7508391410437134,-0.7508391410437134,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_isthmuscingulate,-0.2524285618648937,-0.2524285618648937,-0.2524285618648937,100,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,impaired_like
lh_lateraloccipital,-0.32012327052010925,-0.32012327052010925,-0.32012327052010925,100,LH,occipital,occipital,,occipital,fs8_cortical_volume,,impaired_like
lh_lateralorbitofrontal,-0.24440545599113744,-0.24440545599113744,-0.24440545599113744,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_lingual,-0.2876480547537825,-0.2876480547537825,-0.2876480547537825,100,LH,occipital,occipital,,occipital,fs8_cortical_volume,,impaired_like
lh_medialorbitofrontal,-0.27706575255507704,-0.27706575255507704,-0.27706575255507704,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_middletemporal,-0.6877309206185717,-0.6877309206185717,-0.6877309206185717,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_parahippocampal,-0.37441412498927235,-0.37441412498927235,-0.37441412498927235,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_paracentral,-0.16019955900389654,-0.16019955900389654,-0.16019955900389654,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_parsopercularis,-0.2204845853431793,-0.2204845853431793,-0.2204845853431793,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_parsorbitalis,-0.3441241300722403,-0.3441241300722403,-0.3441241300722403,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_parstriangularis,-0.18263173105124078,-0.18263173105124078,-0.18263173105124078,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_pericalcarine,-0.11823406837772805,-0.11823406837772805,-0.11823406837772805,100,LH,occipital,occipital,,occipital,fs8_cortical_volume,,impaired_like
lh_postcentral,-0.2623393243104211,-0.2623393243104211,-0.2623393243104211,100,LH,parietal,parietal,,parietal,fs8_cortical_volume,,impaired_like
lh_posteriorcingulate,-0.1191240778964815,-0.1191240778964815,-0.1191240778964815,100,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,impaired_like
lh_precentral,-0.2084379487516027,-0.2084379487516027,-0.2084379487516027,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_precuneus,-0.6785811455725098,-0.6785811455725098,-0.6785811455725098,100,LH,parietal,parietal,,parietal,fs8_cortical_volume,,impaired_like
lh_rostralanteriorcingulate,-0.15236183562744926,-0.15236183562744926,-0.15236183562744926,100,LH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,impaired_like
lh_rostralmiddlefrontal,-0.41960261183288483,-0.41960261183288483,-0.41960261183288483,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_superiorfrontal,-0.29423906956187507,-0.29423906956187507,-0.29423906956187507,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_superiorparietal,-0.5144767206354005,-0.5144767206354005,-0.5144767206354005,100,LH,parietal,parietal,,parietal,fs8_cortical_volume,,impaired_like
lh_superiortemporal,-0.49240312027563055,-0.49240312027563055,-0.49240312027563055,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_supramarginal,-0.4952284827479312,-0.4952284827479312,-0.4952284827479312,100,LH,parietal,parietal,,parietal,fs8_cortical_volume,,impaired_like
lh_frontalpole,-0.17613948181175448,-0.17613948181175448,-0.17613948181175448,100,LH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
lh_temporalpole,-0.17985054888952923,-0.17985054888952923,-0.17985054888952923,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_transversetemporal,-0.3419158050098845,-0.3419158050098845,-0.3419158050098845,100,LH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
lh_insula,-0.21073141819778535,-0.21073141819778535,-0.21073141819778535,100,LH,insula,insula,,insula,fs8_cortical_volume,,impaired_like
rh_bankssts,-0.4561534456104047,-0.4561534456104047,-0.4561534456104047,100,RH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
rh_caudalanteriorcingulate,0.24032390563801223,0.24032390563801223,0.24032390563801223,100,RH,cingulate,cingulate,,cingulate,fs8_cortical_volume,,impaired_like
rh_caudalmiddlefrontal,-0.06457741412084929,-0.06457741412084929,-0.06457741412084929,100,RH,frontal,frontal,,frontal,fs8_cortical_volume,,impaired_like
rh_cuneus,-0.30738479628733345,-0.30738479628733345,-0.30738479628733345,100,RH,occipital,occipital,,occipital,fs8_cortical_volume,,impaired_like
rh_entorhinal,-0.8857360905761936,-0.8857360905761936,-0.8857360905761936,100,RH,temporal,temporal,,temporal,fs8_cortical_volume,,impaired_like
