roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.4809034037224883,0.05695968052897227,8.442873963765985,3.4441277072570315e-15,235,8.31486180144798e-17,1.0,2.2817346060577833e-14,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.44922758668080304,0.05809922813928971,7.7320749529374915,3.242252781815807e-13,235,4.0204246551319496e-16,1.0000000000000002,1.2549131472416067e-12,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.22913392660480958,0.06246419129418193,-3.6682445070917242,0.0003031964692039817,235,-1.1395140150620756e-15,0.9999999999999999,0.000382605068281215,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.3560094399043795,0.056232459922365766,-6.331030874265224,1.2550227481391111e-09,235,4.724353296277262e-16,1.0,2.5583156019758803e-09,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.4250403769917863,0.05505254940368985,-7.720630226859182,3.4822094196215416e-13,235,-6.651889441158384e-16,0.9999999999999999,1.2549131472416067e-12,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,-0.029020824329510135,0.06647666457998043,-0.43655656481672833,0.6628407307914346,235,4.322783266093695e-16,1.0,0.7026111746389206,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.28270688501999525,0.06090269765942679,-4.641943557261073,5.78855144651568e-06,235,6.727479093898821e-16,1.0000000000000002,8.29170882879273e-06,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,-0.35879036336717857,0.058348920021421995,-6.149048915309035,3.3957749327551707e-09,235,-1.6483268650711366e-15,1.0,6.6657804235564464e-09,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.5747119188179285,0.049268444132390954,11.664909029268308,5.020196136004615e-25,235,1.7196645998449233e-16,1.0,2.660703952082446e-23,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,0.26615414268115445,0.062162947305976386,4.281556042880325,2.7219208996574927e-05,235,5.475525470385346e-16,1.0,3.606545192046178e-05,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,-0.16645679623961673,0.06071756681755606,-2.741493194873661,0.006594734729914413,235,-1.9303707568588893e-15,1.0,0.007943657742851452,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.5674486844526497,0.05318979482070945,-10.668375134090827,7.290364624827856e-22,235,-4.733802002869817e-16,1.0,1.2879644170529214e-20,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.4515682985619766,0.05515575384632434,-8.187147615099994,1.8101569117969385e-14,235,-7.825891235283284e-16,1.0,9.593831632523774e-14,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.5154038964293789,0.04928647176006078,10.457309643475753,3.3214820798098245e-21,235,-1.7196645998449233e-16,1.0,4.400963755748018e-20,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.39618239801527916,0.06065543126736461,-6.531688749667556,4.096489867777784e-10,235,-4.233020553464427e-16,1.0,9.04641512467594e-10,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-0.27441729296120965,0.05690420910372342,-4.822442790848905,2.5734995106176223e-06,235,-4.1290847809463267e-16,1.0,3.7887631684092773e-06,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.0,0.0,,,235,0.0,0.0,,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.0,0.0,,,235,0.0,0.0,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.46741507264112003,0.05777282896019357,8.090569235638032,3.3641245002358535e-14,235,1.0582551383661067e-16,1.0,1.6208963501136385e-13,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,0.4472362115607109,0.058093040268782634,7.698619481635936,3.9940907690814803e-13,235,9.401463059591751e-17,1.0,1.3230425672582404e-12,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-0.2460039545141147,0.062451212115411374,-3.9391381877343443,0.0001083354900532527,235,-1.1291204378102656e-16,1.0,0.0001400434383615218,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-0.3549673214662441,0.05605037846912671,-6.333004899543449,1.2414138903299865e-09,235,9.032963502482125e-16,1.0,2.5583156019758803e-09,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,-0.38052654924052143,0.055842773087895,-6.814248795302178,8.151574521817726e-11,235,7.558965274043619e-16,1.0,1.87840630285365e-10,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,-0.04819523723140094,0.0666379408814418,-0.7232401931078122,0.47026400993650375,235,6.519607548862621e-16,1.0,0.5302977133326532,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,-0.3576382177732232,0.05886968513597848,-6.075082904675686,5.06081679483216e-09,235,2.040920623991777e-16,1.0,9.579403218789446e-09,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,-0.4038346780208585,0.056971512351517394,-7.0883615574249825,1.6345025965742552e-11,235,-6.273941177456204e-16,1.0,3.9376653462925236e-11,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,-0.5186950923839109,0.054955670721170774,-9.438427110017821,4.284496979355071e-18,235,-4.648763643536825e-16,1.0,3.7846389984303126e-17,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,-0.4264811556681567,0.05671553724412628,-7.5196529274229,1.2082033934185853e-12,235,4.2708153798346445e-16,1.0,3.5574877695102785e-12,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,-0.45806117224460935,0.05912597057253416,-7.747207662031901,2.9499007869557336e-13,235,-3.17476541509832e-16,1.0,1.2549131472416067e-12,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-VentralDC,-0.3041889041865996,0.05594390127412988,-5.437391695227833,1.3726151544970132e-07,235,6.973145465305238e-16,1.0,2.273393849635678e-07,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Right-vessel,0.0,0.0,,,235,0.0,0.0,,RH,vessel,vessel,,,fs8_subcortical_volume,
Right-choroid-plexus,0.0,0.0,,,235,0.0,0.0,,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
5th-Ventricle,0.0,0.0,,,235,0.0,0.0,,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
