roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,0.42478584348611187,0.11950340620529243,3.5545919315168395,0.00045939053040442964,235,8.31486180144798e-17,1.0,0.0018728998547257517,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,0.681609919593955,0.11685236224680896,5.833086353481644,1.8332364335280087e-08,235,4.0204246551319496e-16,1.0000000000000002,1.9432306195396892e-07,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,0.13600176682221468,0.13430457250519076,1.0126369064385974,0.3122977122487708,235,-1.1395140150620756e-15,0.9999999999999999,0.515826734838451,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,-0.04364407270477853,0.12114074153148664,-0.36027575985602384,0.7189715528689793,235,4.724353296277262e-16,1.0,0.8107551553628914,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,-0.313327735350535,0.11681946365312762,-2.682153517507151,0.007845570654208645,235,-6.651889441158384e-16,0.9999999999999999,0.019800725936812296,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,-0.019232840483087533,0.14324446763563253,-0.13426585194207738,0.893309769567501,235,4.322783266093695e-16,1.0,0.8959392599589912,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,-0.18621269737262755,0.13066313899552012,-1.425135648845938,0.15547358176310316,235,6.727479093898821e-16,1.0000000000000002,0.27466999444814894,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.09572321787582011,0.12557714064331085,0.7622662642694836,0.4466820989199791,235,-1.6483268650711366e-15,1.0,0.6215019366527778,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,0.32075997620268076,0.10404015879685591,3.083040048304637,0.002299282478457922,235,1.7196645998449233e-16,1.0,0.007605683263123532,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.09169197958603696,0.13381797184304828,-0.6851992921666767,0.4939081475925642,235,5.475525470385346e-16,1.0,0.6384666298147781,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.08533941804055648,0.13071878284669644,0.65284740403864,0.5145066716131204,235,-1.9303707568588893e-15,1.0,0.6492584189403662,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,-0.6361601944958053,0.10666672808606988,-5.96399838928672,9.205371247699651e-09,235,-4.733802002869817e-16,1.0,1.2197116903202037e-07,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,-0.5858762690609787,0.11240129845709011,-5.2123621088295575,4.1464200973471304e-07,235,-7.825891235283284e-16,1.0,3.6626710859899652e-06,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,0.37073692322704044,0.10335544885943998,3.5870089803512,0.0004085756914112172,235,-1.7196645998449233e-16,1.0,0.0018459208720971365,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,-0.3393041389942173,0.12877690532273792,-2.6348213458295224,0.008990277592286917,235,-4.233020553464427e-16,1.0,0.02165839601778212,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,-0.032001144017872234,0.12260430990063952,-0.26101157490961346,0.7943171374222564,235,-4.1290847809463267e-16,1.0,0.8770585059037415,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.0,0.0,,,235,0.0,0.0,,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.0,0.0,,,235,0.0,0.0,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,0.44412377406514075,0.1210009383639733,3.67041594941361,0.00030104722470062587,235,1.0582551383661067e-16,1.0,0.0015955502909133171,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,0.7469767816206386,0.11508747206638296,6.49051341739246,5.200359290482364e-10,235,9.401463059591751e-17,1.0,9.18730141318551e-09,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,0.1282498085697835,0.13430970169605702,0.9548811958499687,0.3406402965914299,235,-1.1291204378102656e-16,1.0,0.515826734838451,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,-0.048325461006886755,0.12074051282836704,-0.4002423037210512,0.689349551288813,235,9.032963502482125e-16,1.0,0.8021581142451218,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
