component,roi,loading,explained_variance_ratio
1,Left-Lateral-Ventricle,0.04827734538720852,0.3873031218765834
1,Left-Inf-Lat-Vent,-0.010257743753792736,0.3873031218765834
1,Left-Cerebellum-White-Matter,0.1441177915742331,0.3873031218765834
1,Left-Cerebellum-Cortex,0.13448094170189082,0.3873031218765834
1,Left-Thalamus,0.17427915873050273,0.3873031218765834
1,Left-Caudate,0.13300316456207834,0.3873031218765834
1,Left-Putamen,0.1362221861460644,0.3873031218765834
1,Left-Pallidum,0.15705613482895497,0.3873031218765834
1,3rd-Ventricle,0.03567142916938543,0.3873031218765834
1,4th-Ventricle,0.04809223389199504,0.3873031218765834
1,Brain-Stem,0.16759478633834438,0.3873031218765834
1,Left-Hippocampus,0.11602170051518974,0.3873031218765834
1,Left-Amygdala,0.13113260689057776,0.3873031218765834
1,CSF,0.08099119025362797,0.3873031218765834
1,Left-Accumbens-area,0.11175506791198776,0.3873031218765834
1,Left-VentralDC,0.16788974696940476,0.3873031218765834
1,Left-vessel,-0.0,0.3873031218765834
1,Left-choroid-plexus,-0.0,0.3873031218765834
1,Right-Lateral-Ventricle,0.055850199818987235,0.3873031218765834
1,Right-Inf-Lat-Vent,0.0036386066115140126,0.3873031218765834
1,Right-Cerebellum-White-Matter,0.1430571439676253,0.3873031218765834
1,Right-Cerebellum-Cortex,0.1320276622223244,0.3873031218765834
1,Right-Thalamus,0.1716059864727321,0.3873031218765834
1,Right-Caudate,0.130611046903374,0.3873031218765834
1,Right-Putamen,0.1298306183954457,0.3873031218765834
1,Right-Pallidum,0.1547152609057302,0.3873031218765834
1,Right-Hippocampus,0.11233678891017644,0.3873031218765834
1,Right-Amygdala,0.11969327196087687,0.3873031218765834
1,Right-Accumbens-area,0.09487838839550818,0.3873031218765834
1,Right-VentralDC,0.16475196092440778,0.3873031218765834
1,Right-vessel,-0.0,0.3873031218765834
1,Right-choroid-plexus,-0.0,0.3873031218765834
1,5th-Ventricle,-0.0,0.3873031218765834
1,WM-hypointensities,0.03570644541953809,0.3873031218765834
1,Left-WM-hypointensities,-0.0,0.3873031218765834
1,Right-WM-hypointensities,-0.0,0.3873031218765834
1,non-WM-hypointensities,-0.0,0.3873031218765834
1,Left-non-WM-hypointensities,-0.0,0.3873031218765834
1,Right-non-WM-hypointensities,-0.0,0.3873031218765834
1,Optic-Chiasm,-0.0,0.3873031218765834
1,CC_Posterior,0.06976451182182736,0.3873031218765834
1,CC_Mid_Posterior,0.05010201788860135,0.3873031218765834
1,CC_Central,0.04339746589889137,0.3873031218765834
1,CC_Mid_Anterior,0.06619060439650422,0.3873031218765834
1,CC_Anterior,0.08365572893609848,0.3873031218765834
1,BrainSegVol,0.19907965234966357,0.3873031218765834
1,lhCortexVol,0.18592961058418694,0.3873031218765834
1,rhCortexVol,0.18651617289231692,0.3873031218765834
1,CortexVol,0.18821682347873678,0.3873031218765834
1,lhCerebralWhiteMatterVol,0.19498473284917447,0.3873031218765834
1,rhCerebralWhiteMatterVol,0.19462648603231558,0.3873031218765834
1,CerebralWhiteMatterVol,0.19548841316935117,0.3873031218765834
1,SubCortGrayVol,0.19667315072142966,0.3873031218765834
1,TotalGrayVol,0.19917613546636748,0.3873031218765834
1,SupraTentorialVol,0.19476716635754937,0.3873031218765834
1,SupraTentorialVolNotVent,0.20519259568426731,0.3873031218765834
1,MaskVol,0.19751081438197707,0.3873031218765834
1,BrainSegVol-to-eTIV,-0.028948911460585598,0.3873031218765834
1,MaskVol-to-eTIV,-0.09363184858479409,0.3873031218765834
1,lhSurfaceHoles,-0.0029727152929699004,0.3873031218765834
1,rhSurfaceHoles,-0.01646452000537121,0.3873031218765834
1,SurfaceHoles,-0.010688754282016455,0.3873031218765834
1,EstimatedTotalIntraCranialVol,0.1974537610804272,0.3873031218765834
1,SegmentedTotalIntracranialVol,0.19900501360658582,0.3873031218765834
2,Left-Lateral-Ventricle,0.3055906601611194,0.13085761296391016
2,Left-Inf-Lat-Vent,0.2894380698608692,0.13085761296391016
2,Left-Cerebellum-White-Matter,0.062401195920011865,0.13085761296391016
2,Left-Cerebellum-Cortex,0.0131743927539833,0.13085761296391016
2,Left-Thalamus,-0.01055009502545396,0.13085761296391016
2,Left-Caudate,0.09011834298092375,0.13085761296391016
2,Left-Putamen,-0.06091611058100731,0.13085761296391016
2,Left-Pallidum,0.012200863267716893,0.13085761296391016
2,3rd-Ventricle,0.26541102575607534,0.13085761296391016
2,4th-Ventricle,0.1400827810074475,0.13085761296391016
2,Brain-Stem,0.026768029510265592,0.13085761296391016
2,Left-Hippocampus,-0.1670777319419583,0.13085761296391016
2,Left-Amygdala,-0.15330847619408228,0.13085761296391016
2,CSF,0.1487161382839789,0.13085761296391016
2,Left-Accumbens-area,-0.18068901050825062,0.13085761296391016
2,Left-VentralDC,0.016972494304847135,0.13085761296391016
2,Left-vessel,-6.310887241768095e-30,0.13085761296391016
2,Left-choroid-plexus,1.9721522630525295e-31,0.13085761296391016
2,Right-Lateral-Ventricle,0.31061063416441786,0.13085761296391016
