roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
Left-Lateral-Ventricle,-0.21080652295939906,0.05816660266788519,-3.6241848980426883,0.0003568180219117378,235,8.31486180144798e-17,1.0,0.0012165456140829172,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Inf-Lat-Vent,-0.3751555358229659,0.055760082351991105,-6.728030519301586,1.3509298486235527e-10,235,4.0204246551319496e-16,1.0000000000000002,7.159928197704829e-09,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Cerebellum-White-Matter,-0.031177121196748182,0.0655516131882708,-0.4756118069467546,0.6348023620817373,235,-1.1395140150620756e-15,0.9999999999999999,0.7158409614964273,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Cerebellum-Cortex,0.07266480327918748,0.05884613810322132,1.2348270527409462,0.2181548810559514,235,4.724353296277262e-16,1.0,0.3400649616460419,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Left-Thalamus,0.1733236921355061,0.05666094087213433,3.0589624786966105,0.002484373110422941,235,-6.651889441158384e-16,0.9999999999999999,0.006583588742620794,LH,thalamus,thalamus,,,fs8_subcortical_volume,
Left-Caudate,0.054283813803941317,0.06970486834753613,0.778766463388064,0.4369177747808458,235,4.322783266093695e-16,1.0,0.5937600529073033,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Putamen,0.10341481028309726,0.06357973707512621,1.6265372434758842,0.10520467879517119,235,6.727479093898821e-16,1.0000000000000002,0.1858615992048024,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-Pallidum,0.012979279226935564,0.0612570620879345,0.21188216973748775,0.8323866011550904,235,-1.6483268650711366e-15,1.0,0.8823297972243958,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
3rd-Ventricle,-0.1774590566271146,0.05038824213835207,-3.521834640308774,0.0005167253358593541,235,1.7196645998449233e-16,1.0,0.001610967223561516,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
4th-Ventricle,-0.0005920046872383844,0.06526753980824161,-0.009070430553652175,0.992770805236086,235,5.475525470385346e-16,1.0,0.992770805236086,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Brain-Stem,0.03179040234621195,0.06371551194907948,0.4989429006176452,0.6182964753064343,235,-1.9303707568588893e-15,1.0,0.7158409614964273,,brainstem,brainstem,,,fs8_subcortical_volume,
Left-Hippocampus,0.29790670867666696,0.05227754121441126,5.698560065302832,3.680087836618718e-08,235,-4.733802002869817e-16,1.0,3.900893106815841e-07,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Left-Amygdala,0.30647147458666857,0.05427011723768252,5.647149668839663,4.788629151701486e-08,235,-7.825891235283284e-16,1.0,4.092086334615716e-07,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
CSF,-0.21206555881449016,0.049822931412341766,-4.256384616541427,3.0265912205074504e-05,235,-1.7196645998449233e-16,1.0,0.00014582666789717715,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Left-Accumbens-area,0.21667582297691218,0.062061447665724585,3.4913111299622215,0.0005761325523270391,235,-4.233020553464427e-16,1.0,0.0016249859789307464,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Left-VentralDC,0.02862029541104278,0.05971636427854277,0.4792705610399426,0.6322015335938423,235,-4.1290847809463267e-16,1.0,0.7158409614964273,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,
Left-vessel,0.0,0.0,,,235,0.0,0.0,,LH,vessel,vessel,,,fs8_subcortical_volume,
Left-choroid-plexus,0.0,0.0,,,235,0.0,0.0,,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Lateral-Ventricle,-0.2062036051760897,0.05911467875619786,-3.488196324749043,0.0005825421433902676,235,1.0582551383661067e-16,1.0,0.0016249859789307464,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Inf-Lat-Vent,-0.34466185984431896,0.0566023713774543,-6.089177033695866,4.717804529601493e-09,235,9.401463059591751e-17,1.0,1.2502182003443957e-07,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,
Right-Cerebellum-White-Matter,-0.04832726576242559,0.0654927354081241,-0.7379026919744567,0.4613257757443031,235,-1.1291204378102656e-16,1.0,0.6104574638531582,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Cerebellum-Cortex,0.06075329749083938,0.05871319980505495,1.0347468319314592,0.3018738871916768,235,9.032963502482125e-16,1.0,0.44442544503219084,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,
Right-Thalamus,0.138793869708746,0.05791307484000544,2.3965895454901553,0.017348175532406435,235,7.558965274043619e-16,1.0,0.038310554300730874,RH,thalamus,thalamus,,,fs8_subcortical_volume,
Right-Caudate,0.062282654652515375,0.06984540735290667,0.891721546383442,0.37347413263677,235,6.519607548862621e-16,1.0,0.5349764602634813,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Putamen,0.08429194239084815,0.06155941211340476,1.3692778975141207,0.17224798595020036,235,2.040920623991777e-16,1.0,0.27664070470789753,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Pallidum,0.04185230481771445,0.05975314811859141,0.7004200805395332,0.48437291201456634,235,-6.273941177456204e-16,1.0,0.6112324842088575,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
Right-Hippocampus,0.3123477056373495,0.05389942945186716,5.795009498500902,2.2355075518341933e-08,235,-4.648763643536825e-16,1.0,3.900893106815841e-07,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Amygdala,0.3106385549806215,0.05591444194252984,5.555605031342403,7.621286231916365e-08,235,4.2708153798346445e-16,1.0,5.049102128644592e-07,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,
Right-Accumbens-area,0.23000288296168594,0.06019787319227371,3.8207808808635186,0.00017121748099676307,235,-3.17476541509832e-16,1.0,0.0006980404994483418,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,
