roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
Left-Lateral-Ventricle,0.6257693986288568,0.6257693986288568,0.6257693986288568,100,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Left-Inf-Lat-Vent,1.534886711824513,1.534886711824513,1.534886711824513,100,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Left-Cerebellum-White-Matter,0.14346544115765983,0.14346544115765983,0.14346544115765983,100,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,impaired_like
Left-Cerebellum-Cortex,-0.09106814040873747,-0.09106814040873747,-0.09106814040873747,100,LH,cerebellum,cerebellum,,,fs8_subcortical_volume,,impaired_like
Left-Thalamus,-0.40020960872684586,-0.40020960872684586,-0.40020960872684586,100,LH,thalamus,thalamus,,,fs8_subcortical_volume,,impaired_like
Left-Caudate,0.0012388443706263885,0.0012388443706263885,0.0012388443706263885,100,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Left-Putamen,-0.1575817645685086,-0.1575817645685086,-0.1575817645685086,100,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Left-Pallidum,0.09604429722444971,0.09604429722444971,0.09604429722444971,100,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
3rd-Ventricle,0.4236697415618839,0.4236697415618839,0.4236697415618839,100,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
4th-Ventricle,-0.13068556414658583,-0.13068556414658583,-0.13068556414658583,100,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Brain-Stem,0.0795395958242788,0.0795395958242788,0.0795395958242788,100,,brainstem,brainstem,,,fs8_subcortical_volume,,impaired_like
Left-Hippocampus,-0.8895314748042833,-0.8895314748042833,-0.8895314748042833,100,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,impaired_like
Left-Amygdala,-0.9208551801502242,-0.9208551801502242,-0.9208551801502242,100,LH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,impaired_like
CSF,0.5352974849025904,0.5352974849025904,0.5352974849025904,100,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Left-Accumbens-area,-0.34867338682388505,-0.34867338682388505,-0.34867338682388505,100,LH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Left-VentralDC,-0.07565002455982314,-0.07565002455982314,-0.07565002455982314,100,LH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,impaired_like
Left-vessel,,,,100,LH,vessel,vessel,,,fs8_subcortical_volume,,impaired_like
Left-choroid-plexus,,,,100,LH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Right-Lateral-Ventricle,0.6509444019993389,0.6509444019993389,0.6509444019993389,100,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Right-Inf-Lat-Vent,1.9154457505625917,1.9154457505625917,1.9154457505625917,100,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
Right-Cerebellum-White-Matter,0.11864898126634645,0.11864898126634645,0.11864898126634645,100,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,impaired_like
Right-Cerebellum-Cortex,-0.08297461166567746,-0.08297461166567746,-0.08297461166567746,100,RH,cerebellum,cerebellum,,,fs8_subcortical_volume,,impaired_like
Right-Thalamus,-0.29049262737160125,-0.29049262737160125,-0.29049262737160125,100,RH,thalamus,thalamus,,,fs8_subcortical_volume,,impaired_like
Right-Caudate,-0.005502974530742335,-0.005502974530742335,-0.005502974530742335,100,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Right-Putamen,-0.09453884185106391,-0.09453884185106391,-0.09453884185106391,100,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Right-Pallidum,0.024026818934543996,0.024026818934543996,0.024026818934543996,100,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Right-Hippocampus,-1.2054344974406752,-1.2054344974406752,-1.2054344974406752,100,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,impaired_like
Right-Amygdala,-1.35985603331265,-1.35985603331265,-1.35985603331265,100,RH,medial_temporal,medial_temporal,,,fs8_subcortical_volume,,impaired_like
Right-Accumbens-area,-0.42502465011962437,-0.42502465011962437,-0.42502465011962437,100,RH,basal_ganglia,basal_ganglia,,,fs8_subcortical_volume,,impaired_like
Right-VentralDC,-0.15694766808644986,-0.15694766808644986,-0.15694766808644986,100,RH,ventral_diencephalon,ventral_diencephalon,,,fs8_subcortical_volume,,impaired_like
Right-vessel,,,,100,RH,vessel,vessel,,,fs8_subcortical_volume,,impaired_like
Right-choroid-plexus,,,,100,RH,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
5th-Ventricle,,,,100,,ventricle_csf,ventricle_csf,,,fs8_subcortical_volume,,impaired_like
WM-hypointensities,0.12480127973347369,0.12480127973347369,0.12480127973347369,100,,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
Left-WM-hypointensities,,,,100,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
Right-WM-hypointensities,,,,100,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
non-WM-hypointensities,,,,100,,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
Left-non-WM-hypointensities,,,,100,LH,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
Right-non-WM-hypointensities,,,,100,RH,hypointensity,hypointensity,,,fs8_subcortical_volume,,impaired_like
Optic-Chiasm,,,,100,,optic_chiasm,optic_chiasm,,,fs8_subcortical_volume,,impaired_like
CC_Posterior,-0.4019329523102945,-0.4019329523102945,-0.4019329523102945,100,,corpus_callosum,corpus_callosum,,,fs8_subcortical_volume,,impaired_like
