roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.2576560269466417,0.06401070416130748,-4.025202195828786,7.720138905271646e-05,235,6.803068746639257e-16,1.0,9.870051005473876e-05,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.29203093187483553,0.06349653833575683,-4.599163033591456,6.9907919663352945e-06,235,1.6327364991934217e-15,1.0,1.0946821528680074e-05,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.31706645822923624,0.06331475836726848,-5.007781225192964,1.0931290848225238e-06,235,2.3697356134126747e-15,0.9999999999999999,2.2475697314473303e-06,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.4169560861048408,0.06065090379486189,-6.8746887517966995,5.738969166964486e-11,235,1.3757316798759387e-15,1.0,5.520341770127743e-10,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.3244862891019185,0.0627845244638716,-5.168252716298571,5.109671473938873e-07,235,2.2903664780352165e-15,1.0,1.1402206576338877e-06,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.37856092460784835,0.062023888522893485,-6.103469705355843,4.343957434301992e-09,235,-9.826654856256704e-17,1.0,2.089236670783339e-08,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.3608850680798124,0.0626509667430161,-5.760247396661943,2.6649926527806525e-08,235,4.1574309007239905e-15,0.9999999999999999,9.787791197485306e-08,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,-0.35101120607600134,0.0625372399277415,-5.612834952127346,5.679538068020243e-08,235,9.599885898035396e-16,0.9999999999999999,1.8776801807318373e-07,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,-0.37672643393657945,0.06142030360454592,-6.133581435255176,3.692255162896331e-09,235,1.7763568394002505e-15,1.0,1.864588857262647e-08,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.4215977785431048,0.06056214125146363,-6.961408065024714,3.457015563851632e-11,235,8.579425586039507e-16,1.0,3.675353388936998e-10,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
