roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.143382006484232,0.13761181351567103,-1.0419309419819822,0.2985376588416465,235,6.803068746639257e-16,1.0,0.31461921603430987,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,-0.5728956431357367,0.13151032943029828,-4.356278671169909,1.9934985252616874e-05,235,1.6327364991934217e-15,1.0,0.0001438166793224503,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,-0.4542544023379915,0.13310807944837183,-3.412673402099394,0.0007599853179823419,235,2.3697356134126747e-15,0.9999999999999999,0.0019432535978788996,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,-0.5718234382185358,0.1251392562631763,-4.569496857292747,7.977974722600978e-06,235,1.3757316798759387e-15,1.0,8.481846810344197e-05,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,-0.6482232701443508,0.12836477582024958,-5.049853170406062,8.996363426509869e-07,235,2.2903664780352165e-15,1.0,2.271581765193742e-05,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,-0.3867302702777044,0.13119965877646741,-2.9476469213734737,0.0035318732593939747,235,-9.826654856256704e-17,1.0,0.0065453064073172735,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,-0.5321827869825184,0.13036589134946128,-4.082224126830377,6.156884829605176e-05,235,4.1574309007239905e-15,0.9999999999999999,0.000327287035679012,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,-0.44457449037877567,0.13153405030555892,-3.379919415132516,0.0008516754086890116,235,9.599885898035396e-16,0.9999999999999999,0.002144541300219347,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,-0.548322038188404,0.12732014998128596,-4.306639901610221,2.4554285768556214e-05,235,1.7763568394002505e-15,1.0,0.00016533219084161185,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,-0.5625690081955934,0.1251220072340821,-4.496163549735276,1.0972611686290877e-05,235,8.579425586039507e-16,1.0,0.00010074852548321624,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,-0.46727576832274614,0.13210846272450824,-3.5370615832323886,0.0004892857327530432,235,2.1165102767322132e-15,1.0,0.001453466441413452,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,-0.6478755428811199,0.13271743175582212,-4.881616034230549,1.968056889568102e-06,235,-1.6100596033712908e-15,1.0,3.312895764106305e-05,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,-0.6408761828955474,0.1282208423981696,-4.998221591037496,1.1463221861708005e-06,235,-7.9369135377458e-16,1.0,2.3750346053159833e-05,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,-0.4455309839836258,0.13007493189842564,-3.425187140067365,0.0007274571006835422,235,4.535379164426171e-17,0.9999999999999999,0.0018839273633086606,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,-0.5242041066496659,0.12903645806526626,-4.062449593777016,6.664233019343366e-05,235,-1.133844791106543e-15,1.0,0.000345173094848041,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,-0.3604141573610832,0.1317180753553021,-2.7362543552878846,0.00669937503236713,235,1.799033735222381e-15,1.0,0.01156644236357402,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,-0.40638250650177554,0.1330604668208953,-3.054119049866123,0.0025232249881455325,235,-1.9955668323475155e-15,1.0,0.005046449976291065,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
