roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_Background+FreeSurfer_Defined_Medial_Wall,0.07216019310897712,0.06703894936858118,1.0763920644436007,0.28287970378971833,235,6.803068746639257e-16,1.0,0.2960709853135912,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,
lh_17networks_LH_DefaultC_IPL,0.38484098862638877,0.06164952614721446,6.242399782723671,2.0553653280668688e-09,235,1.6327364991934217e-15,1.0,5.189797453368844e-08,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultC_PHC,0.2940851070366176,0.06358577088609625,4.625014416565368,6.251425322665767e-06,235,2.3697356134126747e-15,0.9999999999999999,2.104646525297475e-05,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_1,0.35802268064683096,0.05914250576159873,6.053559551399585,5.7115821907655626e-09,235,1.3757316798759387e-15,1.0,9.614496687788696e-08,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_IPL_2,0.34321161366974406,0.06191381379597026,5.54337703700111,8.106051221272992e-08,235,2.2903664780352165e-15,1.0,7.119227594335411e-07,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_1,0.28170205332740655,0.06241626136115888,4.513279827790317,1.0189540326363142e-05,235,-9.826654856256704e-17,1.0,2.9944184910646175e-05,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCd_2,0.29100966400759387,0.06291898224685606,4.625148939406677,6.247715442568963e-06,235,4.1574309007239905e-15,0.9999999999999999,2.104646525297475e-05,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCl,0.30325035542632994,0.06254179963711917,4.848762862371294,2.2878606692172463e-06,235,9.599885898035396e-16,0.9999999999999999,9.628080316289245e-06,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCm,0.3310550508410408,0.06068087032092466,5.45567407141955,1.257946651724047e-07,235,1.7763568394002505e-15,1.0,9.411304579565091e-07,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_1,0.2470686050776438,0.0614644350688787,4.019700251060179,7.900473906082658e-05,235,8.579425586039507e-16,1.0,0.0001645253328895564,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_PFCv_2,0.1641679384054895,0.06520310777910404,2.5177931543027032,0.012490040726590488,235,2.1165102767322132e-15,1.0,0.015478455378964898,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_Temp,0.35744630122894794,0.06371242195390328,5.610307853114809,5.7771174418317323e-08,235,-1.6100596033712908e-15,1.0,5.557036777381e-07,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultB_TempPole,0.3417834536527507,0.061798304498194664,5.530628330794016,8.643434309133922e-08,235,-7.9369135377458e-16,1.0,7.27489054352105e-07,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_IPL_1,0.36721035072085545,0.060293360026058083,6.090394540330004,4.687015505888817e-09,235,4.535379164426171e-17,0.9999999999999999,8.607064838086737e-08,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PCC,0.32849801382744837,0.061377960790311985,5.35205160936691,2.1006431487046936e-07,235,-1.133844791106543e-15,1.0,1.2858482304192367e-06,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_1,0.3303559475582719,0.06146852062925026,5.37439235850211,1.881913783424394e-07,235,1.799033735222381e-15,1.0,1.209192800925575e-06,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_2,0.2835010265920298,0.06343654362309072,4.469049074874821,1.2332716105622905e-05,235,-1.9955668323475155e-15,1.0,3.5087445821631366e-05,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCd_3,0.27016505437472244,0.062415068483765226,4.328522918227591,2.240389104813518e-05,235,-3.855072289762246e-16,1.0,5.452513243040128e-05,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_1,0.29842088981391773,0.06449200846549635,4.627253777862646,6.189943473332778e-06,235,1.1409313210509587e-15,1.0,2.104646525297475e-05,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_PFCm_2,0.14636438328120233,0.0694607707639537,2.10715172998278,0.03618765046599786,235,5.688121368717823e-16,1.0,0.041533553375747545,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_RSC,0.2961227831296206,0.06423346567486998,4.610101292502305,6.676122491384328e-06,235,2.1467461378283877e-15,1.0,2.2107815463272693e-05,LH,DefaultA,retrosplenial,DefaultA,cingulate,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_TempPole,0.27175585581652234,0.0615343207294405,4.416329823667061,1.5454766193659664e-05,235,9.656578137590723e-16,1.0,4.147569973740716e-05,LH,DefaultA,temporal_pole,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_1,0.4145460616985607,0.06130560550770182,6.761960154630253,1.1115217838992448e-10,235,2.7892581861220953e-15,0.9999999999999999,5.6131850086911865e-09,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_Temp_2,0.3404168643365416,0.06276828693867499,5.423389436597673,1.476968453865859e-07,235,7.558965274043619e-18,0.9999999999999999,1.0287849230375984e-06,LH,DefaultA,temporal,DefaultA,temporal,fs8_thickness_kong200_17,Default
lh_17networks_LH_DefaultA_pCun,0.2943949790199236,0.0661124322121619,4.452944312730448,1.3215719341045524e-05,235,-4.686558469907044e-16,1.0,3.707743481793328e-05,LH,DefaultA,precuneus,DefaultA,parietal,fs8_thickness_kong200_17,Default
lh_17networks_LH_ContC_PCC,0.17718322934258124,0.0689062883726132,2.571365161688243,0.010759929255373385,235,-9.070758328852342e-16,0.9999999999999998,0.013416701911021135,LH,ContC,posterior_cingulate,ContC,cingulate,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCl,0.2754339664376347,0.06306211352994896,4.367661516876178,1.8999793422230804e-05,235,-8.012503190486236e-16,0.9999999999999999,4.920459322167465e-05,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_PFCm,0.20136617859273112,0.06915672120521786,2.9117369227958436,0.003947816046423025,235,1.568485294364051e-15,1.0,0.005615907333644021,LH,ContC,prefrontal,ContC,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContC_pCun,0.09756139691854893,0.06606182647795227,1.4768195510172497,0.1410918892777012,235,6.4723640158998485e-16,1.0,0.15079662240262243,LH,ContC,precuneus,ContC,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_1,0.2341601277997954,0.06523484051749237,3.5894949070505753,0.00040490545861723376,235,7.256606663081874e-16,0.9999999999999999,0.0007573231725989002,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FPole_2,0.2186482052568533,0.0682606211102346,3.2031382325654,0.0015517641319367237,235,-2.4642226793382198e-15,1.0,0.0024681602728442377,LH,ContB,frontal_pole,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_FrMed,0.22890082835861697,0.060417120414326994,3.7886749118274206,0.00019342852645761683,235,3.17476541509832e-16,1.0,0.00037569771485037115,LH,ContB,medial_frontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_IPL_1,0.35911977563793235,0.06116659736027082,5.871174646559452,1.501914694337233e-08,235,2.8648478388625316e-15,0.9999999999999999,2.1670483446865792e-07,LH,ContB,inferior_parietal,ContB,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_1,0.18377215591994275,0.0686557883859248,2.676717582601063,0.007970000968101312,235,1.9955668323475155e-15,0.9999999999999999,0.01052248493827755,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_OFC_2,0.1848619325894406,0.06934291421435748,2.665909483094162,0.008222699349290012,235,-6.047172219234895e-16,0.9999999999999999,0.010785618626990795,LH,ContB,orbitofrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_PFCv,0.11836597226669683,0.06799293340481984,1.7408569735028698,0.0830459122095863,235,1.1943165132988918e-15,1.0,0.09116996883878498,LH,ContB,prefrontal,ContB,frontal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContB_Temp,0.4038559130182361,0.06069867015347866,6.653455701699438,2.0695742183078322e-10,235,-4.535379164426171e-17,1.0,8.361079841963642e-09,LH,ContB,temporal,ContB,temporal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_1,0.37937050725204086,0.06217984420003316,6.101181373687625,4.42268909084116e-09,235,-8.390451454188417e-16,1.0,8.607064838086737e-08,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
lh_17networks_LH_ContA_IPS_2,0.2995533076996445,0.06425944886795974,4.661622733726932,5.3163410809883055e-06,235,-1.3814009038314713e-15,0.9999999999999999,1.9176801756422104e-05,LH,ContA,intraparietal_sulcus,ContA,parietal,fs8_thickness_kong200_17,Cont
