roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_Background+FreeSurfer_Defined_Medial_Wall,-0.1457356529768194,-0.1457356529768194,-0.1457356529768194,100,LH,,unknown_subregion,,unknown,fs8_thickness_kong200_17,,impaired_like
lh_17networks_LH_DefaultC_IPL,-0.664713761666486,-0.664713761666486,-0.664713761666486,100,LH,DefaultC,inferior_parietal,DefaultC,parietal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultC_PHC,-0.508237575678919,-0.508237575678919,-0.508237575678919,100,LH,DefaultC,parahippocampal,DefaultC,temporal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_IPL_1,-0.7283370906574496,-0.7283370906574496,-0.7283370906574496,100,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_IPL_2,-0.7803766593873024,-0.7803766593873024,-0.7803766593873024,100,LH,DefaultB,inferior_parietal,DefaultB,parietal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCd_1,-0.5228066057740205,-0.5228066057740205,-0.5228066057740205,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCd_2,-0.586760641926984,-0.586760641926984,-0.586760641926984,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCl,-0.4943702585898437,-0.4943702585898437,-0.4943702585898437,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCm,-0.5931545733488501,-0.5931545733488501,-0.5931545733488501,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCv_1,-0.7361634487177231,-0.7361634487177231,-0.7361634487177231,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_PFCv_2,-0.4951339930083645,-0.4951339930083645,-0.4951339930083645,100,LH,DefaultB,prefrontal,DefaultB,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_Temp,-0.6772615866584268,-0.6772615866584268,-0.6772615866584268,100,LH,DefaultB,temporal,DefaultB,temporal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultB_TempPole,-0.8659293691670099,-0.8659293691670099,-0.8659293691670099,100,LH,DefaultB,temporal_pole,DefaultB,temporal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_IPL_1,-0.5286646575134515,-0.5286646575134515,-0.5286646575134515,100,LH,DefaultA,inferior_parietal,DefaultA,parietal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PCC,-0.618641776864333,-0.618641776864333,-0.618641776864333,100,LH,DefaultA,posterior_cingulate,DefaultA,cingulate,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PFCd_1,-0.41646639224702603,-0.41646639224702603,-0.41646639224702603,100,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PFCd_2,-0.4423706760828503,-0.4423706760828503,-0.4423706760828503,100,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PFCd_3,-0.5414310651058412,-0.5414310651058412,-0.5414310651058412,100,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PFCm_1,-0.4990885080369574,-0.4990885080369574,-0.4990885080369574,100,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,impaired_like
lh_17networks_LH_DefaultA_PFCm_2,-0.20424297912884978,-0.20424297912884978,-0.20424297912884978,100,LH,DefaultA,prefrontal,DefaultA,frontal,fs8_thickness_kong200_17,Default,impaired_like
