roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.2582482920139293,0.06401219529638906,-4.034360809189388,7.44426405921368e-05,235,1.9653309712513408e-16,1.0,9.57797031822397e-05,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.21311291328685172,0.06426684758654351,-3.3160629669888193,0.0010601635004800123,235,-8.881784197001252e-16,0.9999999999999999,0.00120310689380316,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.4445751791146409,0.06010632504850276,-7.396479135197357,2.565774473449044e-12,235,6.821966159824367e-16,1.0,5.758738262630077e-11,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.14704814540255212,0.06629226216899008,-2.218179627476006,0.027515931550977712,235,-4.554276577611281e-16,1.0,0.029253779859460514,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.31933917783591365,0.06384309356074586,-5.001937719889257,1.1234500315930326e-06,235,-2.351783070886821e-15,1.0000000000000002,2.182085638286467e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.43239325613618174,0.0595704868400539,-7.258514728898437,5.913058131313497e-12,235,8.692810065150162e-17,1.0,1.1944377425253266e-10,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.33765093638175425,0.06327758779428724,-5.33602730684746,2.264624578932972e-07,235,4.034597715020782e-15,0.9999999999999998,5.44588291600548e-07,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.4495993919008754,0.06033011224186274,-7.4523214891170175,1.8252449972998632e-12,235,-2.932878526328924e-15,1.0,5.232596371711596e-11,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.28456570424789746,0.06455800298396522,-4.40790748001572,1.5990913525422433e-05,235,-1.3984085756980696e-16,0.9999999999999999,2.3072603800966655e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.25923156694186394,0.0646017669564872,-4.012762795117825,8.110451753035497e-05,235,-1.4116367649276459e-15,1.0,0.00010303844365491638,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,-0.16223757825982227,0.06624058803764458,-2.4492170596013203,0.015060964118456845,235,-1.7385620130300323e-15,1.0,0.01618252527621427,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,-0.38264814756115767,0.06175532461268679,-6.196196845551806,2.6287513961074718e-09,235,9.373116939814087e-16,1.0,1.2951409317407544e-08,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,-0.2595525102109625,0.06256710736868962,-4.148385967110412,4.707102173838864e-05,235,-5.442454997311406e-16,1.0,6.134417026551294e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,-0.31156704696351345,0.06284751488899258,-4.957507826901884,1.3821757377232002e-06,235,-2.717448016018681e-15,0.9999999999999999,2.5851805464822817e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,-0.30032223789929546,0.06397477575794362,-4.694385159482252,4.58486557713908e-06,235,6.897555812564802e-17,0.9999999999999999,7.408988612947025e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,-0.38091510434259906,0.05997599829170674,-6.351125703484466,1.1230669602409946e-09,235,1.307700992409546e-15,1.0,7.0893601865212785e-09,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,-0.3392532843100216,0.06303946313016613,-5.381601737462759,1.8096442609168458e-07,235,-7.558965274043619e-17,1.0,4.512940008706208e-07,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,-0.28196011337153243,0.06442953856334564,-4.376255358313885,1.8290377582421292e-05,235,1.7196645998449233e-16,1.0,2.601870613837395e-05,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,-0.294445767526118,0.06431593659373405,-4.578115209392818,7.667225741041309e-06,235,-1.7139953758893907e-15,1.0,1.1822745035804156e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,-0.25606058685465827,0.06468445566476735,-3.958610831970417,0.00010039069345822488,235,-1.209434443846979e-16,1.0,0.00012595602533267965,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,-0.3902479857916581,0.06088961978550249,-6.409105314935374,8.140266172490254e-10,235,1.5599814584307518e-15,0.9999999999999999,5.6701164373897635e-09,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,-0.31469926737935205,0.06285256568175242,-5.006943852901723,1.0974248969292989e-06,235,7.766836819079818e-16,1.0,2.1522313512594015e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,-0.2759150563875438,0.06422600441364498,-4.296002202013441,2.5628581089890472e-05,235,-1.94265407542921e-15,0.9999999999999998,3.497954986593159e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,-0.31239364887735765,0.06401038187602293,-4.88035908741195,1.9744337181894027e-06,235,7.558965274043619e-17,1.0,3.498557991879468e-06,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
