roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.14156064453022096,0.13762323249893796,-1.028610082467823,0.30474343909358426,235,1.9653309712513408e-16,1.0,0.3189542730409535,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.26827387843654993,0.13735375625952487,-1.9531601154733351,0.05201338390245787,235,-8.881784197001252e-16,0.9999999999999999,0.06485619474257091,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,-0.4139432646012232,0.12661409724066847,-3.2693299847520025,0.0012432116218456094,235,6.821966159824367e-16,1.0,0.003025647561600158,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,-0.18552839316508182,0.14232793915754913,-1.3035275734563414,0.19369798380660727,235,-4.554276577611281e-16,1.0,0.21149725799424143,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,-0.3147563339171735,0.13600051384491302,-2.3143760638735755,0.021529147700934666,235,-2.351783070886821e-15,1.0000000000000002,0.030411803046075544,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,-0.4145531804610688,0.12542389312144436,-3.3052169737680592,0.0011007909296286502,235,8.692810065150162e-17,1.0,0.002745182318333177,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,-0.28902310608874804,0.13501806831456772,-2.1406253970052096,0.03335642165831919,235,4.034597715020782e-15,0.9999999999999998,0.044039197222094616,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,-0.31672595741923887,0.12831650589221746,-2.4683181264714333,0.014303713412012546,235,-2.932878526328924e-15,1.0,0.020904812501991277,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,-0.2457443891664283,0.13816864927543882,-1.778582843902147,0.07662906318489983,235,-1.3984085756980696e-16,0.9999999999999999,0.08999459746133585,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,-0.4197936269470363,0.1364301547820781,-3.076985638677746,0.002344588375234324,235,-1.4116367649276459e-15,1.0,0.005038370763801419,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
