roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
LH_Background+FreeSurfer_Defined_Medial_Wall,0.07025663115832916,0.0670493092328656,1.047835271715095,0.29581436763451174,235,1.9653309712513408e-16,1.0,0.30801289825861533,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
RH_Background+FreeSurfer_Defined_Medial_Wall,0.15281834937799438,0.066719899180681,2.2904463474106014,0.02290144218742441,235,-8.881784197001252e-16,0.9999999999999999,0.027373321431122668,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,
LH_Vis_1,0.2626530212715868,0.06068529527018635,4.328116392977719,2.2442141762944912e-05,235,6.821966159824367e-16,1.0,6.044416848153163e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_1,0.1359681820811397,0.0690232664100936,1.9698891280122963,0.050051062396863306,235,-4.554276577611281e-16,1.0,0.057120421492465476,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_2,0.20005905634547969,0.06572077964992609,3.044076126472195,0.0026055734285581997,235,-2.351783070886821e-15,1.0000000000000002,0.003786516781070189,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_2,0.27808730304744567,0.059797371016967485,4.650493797938683,5.585323548620282e-06,235,8.692810065150162e-17,1.0,1.8495661587234376e-05,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_3,0.2960059959298893,0.06350617874755977,4.661058211462036,5.329679493215586e-06,235,4.034597715020782e-15,0.9999999999999998,1.8247377247958448e-05,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_3,0.18085503064825062,0.06221050787459592,2.907146024475778,0.004004104388508085,235,-2.932878526328924e-15,1.0,0.005578131630887126,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_4,0.15215176950041656,0.06703563932149892,2.269714603163636,0.02415156711399786,235,-1.3984085756980696e-16,0.9999999999999999,0.028529921386126124,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_4,0.23875724864527237,0.06597585268401795,3.618858096291177,0.00036383518016894217,235,-1.4116367649276459e-15,1.0,0.0006281598837104814,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_5,0.029162488753586936,0.06952225390507971,0.4194698404542973,0.6752643184560093,235,-1.7385620130300323e-15,1.0,0.688906021859161,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_5,0.24476838431668038,0.06279876512215742,3.8976623798342533,0.0001274360020904666,235,9.373116939814087e-16,1.0,0.00025742072422274255,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_6,0.1859719278554559,0.06453722395731666,2.881622673737147,0.004330634699152211,235,-5.442454997311406e-16,1.0,0.005991700063210593,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_6,0.09691734655332283,0.06567612877234255,1.4756860424778346,0.14139586514339028,235,-2.717448016018681e-15,0.9999999999999999,0.15112150666118962,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_7,-0.022189945119767792,0.06715393016428095,-0.3304340500322732,0.7413728139432769,235,6.897555812564802e-17,0.9999999999999999,0.7487865420827098,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_7,0.0985181299768526,0.06263541675159792,1.5728821661322985,0.11712067830497634,235,1.307700992409546e-15,1.0,0.12651538512088353,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_8,0.31854703737542867,0.06276660764734336,5.075103615049544,7.985651189360771e-07,235,-7.558965274043619e-17,1.0,4.608861543573931e-06,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_8,0.2244627220394609,0.06600836519020095,3.4005193340674156,0.0007928756518840555,235,1.7196645998449233e-16,1.0,0.001251256888129525,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_9,0.17110161966279697,0.06657893038355896,2.5699064054812286,0.010804043796392713,235,-1.7139953758893907e-15,1.0,0.013915697678679393,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_9,0.003097113305441379,0.06791468449863639,0.045602999238015515,0.9636662479349123,235,-1.209434443846979e-16,1.0,0.9636662479349123,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_10,0.1289060501168326,0.0633630700643193,2.034403478019313,0.043058459403268426,235,1.5599814584307518e-15,0.9999999999999999,0.04941936817875126,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_10,0.22121740536137158,0.06435932417661544,3.437223870690512,0.0006974011017324264,235,7.766836819079818e-16,1.0,0.001127000180399601,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_11,0.1406534784578305,0.06679282548607585,2.1058171657546096,0.036304679201098256,235,-1.94265407542921e-15,0.9999999999999998,0.04190597256355342,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_11,0.22551275435662238,0.0655416030624731,3.4407573788158277,0.0006888008808197284,235,7.558965274043619e-17,1.0,0.0011264671775986584,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
LH_Vis_12,0.15485024739169226,0.06495733592569267,2.3838762040492507,0.017943786104019036,235,3.250355067838756e-16,1.0,0.02210149264031613,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
RH_Vis_12,0.2767875758418171,0.06279821244496159,4.407570933398826,1.604202733596657e-05,235,6.992042878490348e-17,1.0,4.629270745521781e-05,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis
