roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
LH_Background+FreeSurfer_Defined_Medial_Wall,-0.14360994300870314,-0.14360994300870314,-0.14360994300870314,100,LH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,impaired_like
RH_Background+FreeSurfer_Defined_Medial_Wall,-0.33157593570102,-0.33157593570102,-0.33157593570102,100,RH,,unknown_subregion,,unknown,fs8_thickness_schaefer200_7,,impaired_like
LH_Vis_1,-0.4734511670519531,-0.4734511670519531,-0.4734511670519531,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_1,-0.213711218068845,-0.213711218068845,-0.213711218068845,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_2,-0.3161984267079046,-0.3161984267079046,-0.3161984267079046,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_2,-0.4950847565589207,-0.4950847565589207,-0.4950847565589207,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_3,-0.331391253174829,-0.331391253174829,-0.331391253174829,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_3,-0.42683980998505305,-0.42683980998505305,-0.42683980998505305,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_4,-0.2592535950659013,-0.2592535950659013,-0.2592535950659013,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_4,-0.45009791875726257,-0.45009791875726257,-0.45009791875726257,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_5,0.1524772615965857,0.1524772615965857,0.1524772615965857,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_5,-0.4084955682854777,-0.4084955682854777,-0.4084955682854777,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_6,-0.20047662182922096,-0.20047662182922096,-0.20047662182922096,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
RH_Vis_6,0.0337095136187812,0.0337095136187812,0.0337095136187812,100,RH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
LH_Vis_7,0.21724484475185626,0.21724484475185626,0.21724484475185626,100,LH,Vis,unknown_subregion,Vis,unknown,fs8_thickness_schaefer200_7,Vis,impaired_like
