roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.2789204799875743,0.0633687511548682,-4.401546107574611,1.642956032254123e-05,235,1.1943165132988918e-15,1.0,0.0004928868096762369,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.18467584909625495,0.06527363927001366,-2.829256207583541,0.005076010712501227,235,-1.8897413185109048e-16,1.0,0.013843665579548801,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.17334940623840028,0.06544712555084735,-2.6486939614134957,0.008637675561586216,235,-3.514918852430283e-16,1.0,0.017715742658960098,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.13963846474914324,0.06559531440491158,-2.128787185730564,0.03433049067711105,235,-1.3436060774612532e-15,0.9999999999999999,0.048668153126287694,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.3254315982173621,0.06310319164021291,-5.157133732202204,5.389189285304911e-07,235,-1.8141516657704684e-15,1.0,8.083783927957367e-05,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,-0.14674022537937098,0.06599287796097573,-2.2235766936266126,0.027145010958662737,235,1.409747023609135e-15,1.0,0.0407175164379941,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.18591983997262634,0.06551231986483744,-2.8379370530033006,0.004944577546247243,235,5.560563829718337e-16,0.9999999999999999,0.013843665579548801,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,-0.15175293514584506,0.06625684650591428,-2.29037364662834,0.022901779693707918,235,-2.7306762052482576e-16,1.0000000000000002,0.03616070477953882,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.2124382343625455,0.06513628606801264,-3.261442234221432,0.0012759705822567395,235,2.6456378459152668e-17,0.9999999999999999,0.005981112104328466,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,-0.16377705750728724,0.06605919596238796,-2.4792469106123662,0.013880945892900566,235,3.4015343733196285e-16,1.0,0.02421095213878006,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,-0.1291387016714456,0.06645645753776289,-1.9432077251193303,0.05320595765636893,235,-1.5911621901861818e-15,1.0,0.07255357862232127,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,-0.15072939445744793,0.06627381421503843,-2.274343136014124,0.023863402660050572,235,-1.1414037563805865e-15,0.9999999999999999,0.036525616316403935,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,-0.17504779348996058,0.06602320893155761,-2.6513069619415557,0.0085731235217105,235,-8.239272148707545e-16,1.0,0.017715742658960098,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,-0.11104490002931686,0.06632896559642974,-1.6741539541707253,0.09545373056975323,235,9.826654856256704e-17,0.9999999999999999,0.12025637255603443,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,-0.2159524541615525,0.06512120145776622,-3.3161620075699396,0.0010598050758730806,235,-1.2661266834023061e-15,1.0,0.00592268710782158,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,-0.1680524431861293,0.06599245741867452,-2.5465401617029935,0.011530201285066882,235,6.1605566983455495e-16,0.9999999999999999,0.021631414973559363,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,-0.19550790351960057,0.06579480711388205,-2.9714792412295155,0.003277008842327232,235,4.3747511523527446e-16,0.9999999999999998,0.010685898398893147,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,-0.1737697172146207,0.06538951821540072,-2.657455230702311,0.008422944693589729,235,7.181017010341438e-16,0.9999999999999999,0.017715742658960098,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,-0.14169599366264254,0.06658486908450659,-2.1280509462714154,0.03439216154257664,235,-2.8724068041365754e-16,0.9999999999999999,0.048668153126287694,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,-0.22892307747542956,0.06468422124553759,-3.539086860247582,0.00048535404018663545,235,9.410911766184306e-16,1.0,0.005143093761422552,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,-0.21859565994810592,0.0652060016642091,-3.352385583673823,0.0009360222682165475,235,-1.2717959073578388e-15,0.9999999999999999,0.00592268710782158,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,-0.22376730874105133,0.06516311285125748,-3.4339567118567023,0.0007049381721077341,235,-2.2109973426577585e-16,1.0,0.005287036290808006,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,-0.18002207414774107,0.06581416338131542,-2.7353090109909255,0.006715889025545119,235,-2.591662109505299e-15,1.0,0.016514481210356848,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,-0.18034585140369558,0.06565719069217298,-2.7467798957349343,0.006492735152460917,235,5.688121368717823e-16,1.0,0.016506953777443007,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P3_A,-0.15614934043102896,0.06616379602066617,-2.360042044477858,0.01910549299708879,235,4.3936485655378537e-16,0.9999999999999999,0.03149257087432219,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P4_A,-0.19537334609263918,0.06555914773369757,-2.98010808325711,0.003189451801094551,235,-1.2396703049431535e-15,1.0,0.010631506003648504,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_S_A,-0.1904820626238387,0.06574933362475978,-2.897094953249949,0.004128298153468436,235,5.782608434643369e-16,0.9999999999999999,0.012637647408576844,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_M1_A,-0.19107771493846293,0.06550489616147155,-2.9169989746636737,0.003882637632301224,235,-3.826726169984582e-17,0.9999999999999999,0.012133242600941325,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_M2_A,-0.2673095668528879,0.06432322640787826,-4.1557238618264964,4.568742378433825e-05,235,1.2283318570320882e-15,1.0,0.0009790162239501053,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_SF1_A,-0.20234916708724474,0.06574687138634557,-3.077700319733678,0.0023380677254898927,235,1.8519464921406866e-16,0.9999999999999999,0.008767753970587096,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF2_A,-0.22606330695906618,0.06519918216706347,-3.4672721258958688,0.0006268983660036092,235,-6.273941177456204e-16,0.9999999999999999,0.005278395141007494,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF3_A,-0.22645581521367444,0.06536749375313389,-3.4643490550349814,0.0006334074169208993,235,-1.0620346210031285e-15,0.9999999999999998,0.005278395141007494,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF4_A,-0.23661305303791727,0.06492723090285897,-3.6442806777317585,0.0003311822064297451,235,3.7605852238367005e-16,0.9999999999999998,0.004482010261947423,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF5_A,-0.21785747359393606,0.0654457993416093,-3.328822870002385,0.001014903822940239,235,5.310173105015643e-16,1.0,0.00592268710782158,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF6_A,-0.20534138491579781,0.06569592927074705,-3.125633310848558,0.0020016501038873325,235,5.121198973164552e-16,0.9999999999999999,0.008340208766197219,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF7_A,-0.15345063327807432,0.06616515562260761,-2.31920611134545,0.021257247497286347,235,-5.2487565121640375e-16,1.0,0.03428588306013927,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF8_A,-0.1923293377427819,0.06585370400571365,-2.920554593650418,0.0038401868391727614,235,-2.044700106628799e-15,1.0,0.012133242600941325,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF1_A,-0.1722158758998703,0.06543648800754585,-2.6318019371701475,0.009065634367399262,235,-4.091289954576109e-16,0.9999999999999998,0.018131268734798523,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF2_A,-0.17455817495888315,0.06572198872243822,-2.6560087172055864,0.00845806289797929,235,-1.7952542525853596e-17,1.0,0.017715742658960098,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF3_A,-0.2410828257751188,0.06501019806441455,-3.7083847296734103,0.0002612526135385688,235,-4.15743090072399e-17,1.0,0.004354210225642813,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF4_A,-0.20275987387541566,0.0652744370378641,-3.106267676545408,0.0021317885581675416,235,1.9653309712513408e-16,1.0000000000000002,0.008414954834871874,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF5_A,-0.21487841550084358,0.0650405248208606,-3.303762017491057,0.0011055682601266948,235,-5.697570075310378e-16,1.0,0.00592268710782158,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF6_A,-0.16876630032180448,0.06614590521108946,-2.5514247599035134,0.011374288444333502,235,-5.064506733609225e-16,1.0,0.021631414973559363,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF7_A,-0.16448618212287947,0.0658088730503813,-2.4994529536610326,0.013133911223899756,235,3.666098157911155e-16,0.9999999999999998,0.02317749039511722,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF8_A,-0.09501124283232966,0.06680392919255038,-1.4222403379668993,0.1563053548576294,235,1.130065308469521e-15,0.9999999999999999,0.19061628641174316,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_OP_A,-0.1663915733600913,0.06570259182456357,-2.532496340545947,0.011989157461472388,235,8.777848424483153e-16,1.0,0.02193138560025437,LH,opercular,opercular,,frontal,fs8_thickness_yale696,
lh_lh_L_TR1_A,-0.14135686215148308,0.06596974039699433,-2.1427530455754757,0.033178532835843925,235,2.6456378459152668e-17,1.0,0.04785365312862105,LH,triangular,triangular,,frontal,fs8_thickness_yale696,
lh_lh_L_TR2_A,-0.19969643177246116,0.06551639438952386,-3.04803757339236,0.002571599103930231,235,-1.1073884126473901e-15,0.9999999999999999,0.00918428251403654,LH,triangular,triangular,,frontal,fs8_thickness_yale696,
lh_lh_L_TR3_A,-0.20810853349561073,0.06549553557505525,-3.1774460910717606,0.0016886833122957204,235,5.177891212719879e-16,1.0,0.007237214195553088,LH,triangular,triangular,,frontal,fs8_thickness_yale696,
lh_lh_L_OR_A,-0.1627617591792781,0.06603438557843877,-2.4648031136133155,0.014437851825058952,235,3.3637395469494104e-16,0.9999999999999998,0.024892847974239574,LH,orbital,orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_FP1_A,-0.11693102034475203,0.06631353608009824,-1.7633054615503292,0.07917108134131744,235,1.6384057231489544e-15,0.9999999999999999,0.10417247544910188,LH,frontal_pole,frontal_pole,,frontal,fs8_thickness_yale696,
lh_lh_L_FP1_B,-0.09531138045062956,0.06652525773118341,-1.4327096760115638,0.15329271808416742,235,-3.4015343733196285e-16,1.0,0.19003229514566208,LH,frontal_pole,frontal_pole,,frontal,fs8_thickness_yale696,
lh_lh_L_FP2_A,-0.08940627077628768,0.06652653675307497,-1.343918910255841,0.18029308835876504,235,9.779411323293933e-17,0.9999999999999999,0.21635170603051804,LH,frontal_pole,frontal_pole,,frontal,fs8_thickness_yale696,
lh_lh_L_FP3_A,-0.15114208326070716,0.06622557987978514,-2.282231179176766,0.023385903612393757,235,6.718030387306266e-16,0.9999999999999999,0.03616376847277385,LH,frontal_pole,frontal_pole,,frontal,fs8_thickness_yale696,
lh_lh_L_FP4_A,-0.2196024569818323,0.06523483820674175,-3.366337114010613,0.0008920505363488472,235,1.3322676295501878e-16,1.0,0.00592268710782158,LH,frontal_pole,frontal_pole,,frontal,fs8_thickness_yale696,
lh_lh_L_FO1_A,-0.032299493251432596,0.06698601284118681,-0.4821826509962544,0.6301327545113999,235,-1.3303778882316769e-15,0.9999999999999999,0.6579045172788942,LH,fronto_orbital,fronto_orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_FO2_A,0.03222473290258865,0.06711649529814093,0.4801313411768872,0.6315883365877384,235,7.369991142192528e-16,0.9999999999999998,0.6579045172788942,LH,fronto_orbital,fronto_orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_FO3_A,0.03637095373330186,0.06712254537651749,0.541858976433067,0.5884379324497568,235,1.9804489017994283e-15,1.0,0.6259978004784646,LH,fronto_orbital,fronto_orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_FO4_A,-0.11174540197485203,0.06622125070737502,-1.6874553225918916,0.09286557728193111,235,-2.7684710316184753e-16,0.9999999999999998,0.1180494626465226,LH,fronto_orbital,fronto_orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_FO6_A,-0.06980193851851543,0.06652870411826811,-1.049200333053662,0.295182379831613,235,1.6907279359052252e-16,1.0,0.33799509141024386,LH,fronto_orbital,fronto_orbital,,frontal,fs8_thickness_yale696,
lh_lh_L_LOT_A,-0.16699643487618748,0.06621217242860175,-2.522141001433897,0.012337942528973208,235,-6.061345279123727e-16,1.0,0.022278427151708906,LH,lateral_occipitotemporal,lateral_occipitotemporal,,temporal,fs8_thickness_yale696,
lh_lh_L_MOT_A,-0.1793359879481056,0.0657087797169382,-2.729254579382745,0.0068364485173547495,235,-1.8897413185109048e-16,0.9999999999999999,0.016539794800051813,LH,medial_occipitotemporal,medial_occipitotemporal,,temporal,fs8_thickness_yale696,
lh_lh_L_PH_A,-0.3019964147588601,0.0632439147356223,-4.775106285265416,3.1902262181756136e-06,235,-1.1791985827508045e-15,0.9999999999999999,0.00020728029455923923,LH,parahippocampal,parahippocampal,,temporal,fs8_thickness_yale696,
lh_lh_L_L_A,-0.18671297190100677,0.06588432464566281,-2.833951367114729,0.005004533699430827,235,4.648763643536825e-16,1.0,0.013843665579548801,LH,lateral_region,lateral_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_CG_A,-0.16898890871942648,0.06584909897891272,-2.5663055583120866,0.010910850340474648,235,-4.535379164426171e-17,0.9999999999999999,0.02153457304041049,LH,cingulate,cingulate,,cingulate,fs8_thickness_yale696,
lh_lh_L_H_A,-0.030575161776125473,0.06647616208277565,-0.4599417417939004,0.6459906434432228,235,-2.418868887693958e-16,1.0,0.6682661828722993,LH,hippocampal_adjacent,hippocampal_adjacent,,temporal,fs8_thickness_yale696,
lh_lh_L_A_A,-0.26098526335515865,0.06392300190549555,-4.082806745230802,6.1343209184205e-05,235,1.1347896617657984e-15,1.0,0.0011501851722038438,LH,amygdala_adjacent_or_anterior_temporal,amygdala_adjacent_or_anterior_temporal,,temporal,fs8_thickness_yale696,
