roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,-0.5678347001860523,0.1313194089925289,-4.324072919170371,2.2826020967606714e-05,235,1.1943165132988918e-15,1.0,0.00045825581730184076,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,-0.3773569199135493,0.1384393844411594,-2.725791662804861,0.00690845375837633,235,-1.8897413185109048e-16,1.0,0.011514089597293883,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,-0.46678827968169245,0.13763190188926921,-3.3915703646763795,0.0008179374447408477,235,-3.514918852430283e-16,1.0,0.0030335172558745927,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,-0.49585039061098024,0.13751755436198448,-3.605724323061796,0.00038169557513390126,235,-1.3436060774612532e-15,0.9999999999999999,0.0022901734508034076,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,-0.4941228779553775,0.13201958950559467,-3.742799684545586,0.0002299364898037505,235,-1.8141516657704684e-15,1.0,0.0018152880773980302,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,-0.6007986383147029,0.1365782077806749,-4.398934852619385,1.6641979917926732e-05,235,1.409747023609135e-15,1.0,0.00045825581730184076,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,-0.5750796660260775,0.13598397475873675,-4.22902527335582,3.388884301731738e-05,235,5.560563829718337e-16,0.9999999999999999,0.0005648140502886231,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,-0.4720425588240995,0.13934237953812498,-3.3876453121352474,0.0008291613832723887,235,-2.7306762052482576e-16,1.0000000000000002,0.0030335172558745927,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,-0.6131723267727135,0.13441247145302684,-4.561870785829565,8.248326142280308e-06,235,2.6456378459152668e-17,0.9999999999999999,0.00045825581730184076,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,-0.3849923914839379,0.14006865615477487,-2.7485977380872706,0.00646008597243109,235,3.4015343733196285e-16,1.0,0.01088778534679397,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,-0.30788712781332356,0.14176022848777545,-2.171886509338364,0.030886713109510338,235,-1.5911621901861818e-15,1.0,0.03736295940666573,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,-0.2538852471915385,0.141828384776764,-1.7900877006471625,0.0747551656613029,235,-1.1414037563805865e-15,0.9999999999999999,0.08245055036173113,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,-0.17194801221165876,0.141820446738223,-1.2124345689662523,0.22658999555542056,235,-8.239272148707545e-16,1.0,0.23768181351967194,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O4_A,-0.1215628023099645,0.14270687103358304,-0.8518356644604538,0.3951913790484274,235,9.826654856256704e-17,0.9999999999999999,0.4060185401182473,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_AN1_A,-0.5233859282558403,0.13601938496203966,-3.8478774801246676,0.00015437287020679508,235,-1.2661266834023061e-15,1.0,0.0016022591587811729,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_AN2_A,-0.5198126964294417,0.13801424086732808,-3.7663700003909977,0.00021043472275572128,235,6.1605566983455495e-16,0.9999999999999999,0.0018152880773980302,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_SM1_A,-0.5306235719800124,0.13739578457634036,-3.862007656320674,0.00014622404417124097,235,4.3747511523527446e-16,0.9999999999999998,0.0016022591587811729,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_A,-0.25393802291238166,0.1399089960688637,-1.815022836611539,0.07082292732778361,235,7.181017010341438e-16,0.9999999999999999,0.07927939626244433,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM2_B,-0.13527156032817803,0.14320574322316784,-0.9445959169205567,0.34585643985179493,235,-2.8724068041365754e-16,0.9999999999999999,0.35778252398461546,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM3_A,-0.5562920991691295,0.13447456708252742,-4.136782971219617,4.9409818951933165e-05,235,9.410911766184306e-16,1.0,0.0006737702584354523,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM4_A,-0.5962482460472761,0.13489959515143207,-4.419940959629681,1.5218703477501924e-05,235,-1.2717959073578388e-15,0.9999999999999999,0.00045825581730184076,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_SM5_A,-0.5653253208654674,0.13538134113502984,-4.175799383621188,4.215864115927313e-05,235,-2.2109973426577585e-16,1.0,0.000632379617389097,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,
lh_lh_L_P1_A,-0.4731819660508044,0.13834784939891906,-3.420233622037796,0.0007401744404394982,235,-2.591662109505299e-15,1.0,0.0030007071909709383,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P2_A,-0.4091960304462497,0.13888762950218606,-2.9462381344755335,0.0035474038437246125,235,5.688121368717823e-16,1.0,0.00760157966512417,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P3_A,-0.4635842815447208,0.1392605092957821,-3.328899800015034,0.0010152855865129785,235,4.3936485655378537e-16,0.9999999999999999,0.003251217740198436,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_P4_A,-0.40725485351331114,0.13869724478374704,-2.936286543747079,0.0036589044054155698,235,-1.2396703049431535e-15,1.0,0.007730079729751204,LH,parietal,parietal,,parietal,fs8_thickness_yale696,
lh_lh_L_S_A,-0.34736639060629326,0.1398191019269119,-2.4843986681295753,0.013690096027752318,235,5.782608434643369e-16,0.9999999999999999,0.018500129767232865,LH,superior_region,superior_region,,other_yale,fs8_thickness_yale696,
lh_lh_L_M1_A,-0.4457446024520357,0.13806216464932172,-3.2285789780583856,0.0014256132171429957,235,-3.826726169984582e-17,0.9999999999999999,0.0038960294777552512,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_M2_A,-0.35725114098392746,0.13659330112209858,-2.615436760435172,0.009500906036369614,235,1.2283318570320882e-15,1.0,0.014058668172040323,LH,medial_region,medial_region,,medial,fs8_thickness_yale696,
lh_lh_L_SF1_A,-0.5870872826954121,0.1362862049937063,-4.307752811243983,2.4440310256098173e-05,235,1.8519464921406866e-16,0.9999999999999999,0.00045825581730184076,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF2_A,-0.4435835268834093,0.1374189566041834,-3.2279645970613156,0.0014285441418435921,235,-6.273941177456204e-16,0.9999999999999999,0.0038960294777552512,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF3_A,-0.39834295760653665,0.13838938323891942,-2.87842136646296,0.004373261908369544,235,-1.0620346210031285e-15,0.9999999999999998,0.00878822145781499,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF4_A,-0.3888735298376513,0.13754148184448045,-2.8273181633840077,0.0051076114673812255,235,3.7605852238367005e-16,0.9999999999999998,0.009200989651199473,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF5_A,-0.4315788447426595,0.13812769605297448,-3.1244917353659556,0.002010137996366062,235,5.310173105015643e-16,1.0,0.005025344990915156,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF6_A,-0.37288387512042853,0.13941619716003226,-2.674609426424139,0.008018734092731105,235,5.121198973164552e-16,0.9999999999999999,0.012400104267109958,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF7_A,-0.33731715098835857,0.14083326946799918,-2.3951524541223934,0.017414615860792782,235,-5.2487565121640375e-16,1.0,0.022326430590759977,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_SF8_A,-0.3711696606407987,0.13978125644191697,-2.655360740694373,0.008476269613997701,235,-2.044700106628799e-15,1.0,0.01297388206224138,LH,superior_frontal,superior_frontal,,frontal,fs8_thickness_yale696,
lh_lh_L_MF1_A,-0.44049928005608924,0.13798470293592377,-3.1923776381259072,0.0016081730823250544,235,-4.091289954576109e-16,0.9999999999999998,0.004255058627709935,LH,middle_frontal,middle_frontal,,frontal,fs8_thickness_yale696,
