roi,coef,se,t,p,n,mean_roi,std_roi,q,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like
lh_lh_L_TP1_A,0.25585212022051884,0.06435920143023302,3.9753774834802593,9.41104276244726e-05,235,1.1943165132988918e-15,1.0,0.0005881901726529537,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_1_A,0.1864764747152435,0.06742155001072886,2.765828947652039,0.006138979297460935,235,-1.8897413185109048e-16,1.0,0.009770956606934132,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP2_2_A,0.25494459662307833,0.06662777156012001,3.82640137368297,0.00016758650157468695,235,-3.514918852430283e-16,1.0,0.0008109024269742917,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_TP3_A,0.22711359970784198,0.06722349462366299,3.3784854682026144,0.000855916352413896,235,-1.3436060774612532e-15,0.9999999999999999,0.0022135767734842134,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,
lh_lh_L_T1_A,0.24381831373408092,0.06427461131226134,3.7933844912659773,0.00019000796362033949,235,-1.8141516657704684e-15,1.0,0.000863672561910634,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_1_A,0.290761949225966,0.06658345273583922,4.366880017164691,1.9062631504072178e-05,235,1.409747023609135e-15,1.0,0.00022099290918409928,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T2_2_A,0.34238992484206127,0.06497358707679883,5.269678653224981,3.1418256309732256e-07,235,5.560563829718337e-16,0.9999999999999999,2.3563692232299193e-05,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_1_A,0.30315565456836163,0.06663209712316207,4.549694031211593,8.698365153284283e-06,235,-2.7306762052482576e-16,1.0000000000000002,0.00014497275255473806,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_T3_2_A,0.3525671936711413,0.06431685473310983,5.481723183357758,1.104592314656837e-07,235,2.6456378459152668e-17,0.9999999999999999,1.6568884719852556e-05,LH,temporal,temporal,,temporal,fs8_thickness_yale696,
lh_lh_L_O1_A,0.19338510737592432,0.06817614833727428,2.836550789276459,0.0049671536264684745,235,3.4015343733196285e-16,1.0,0.008187615867805177,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_1_A,0.18967638819883004,0.06864544442104152,2.7631314765104724,0.0061882725177249505,235,-1.5911621901861818e-15,1.0,0.009770956606934132,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O2_2_A,0.14135826987680364,0.0689566252333394,2.049959222895079,0.04150260370275605,235,-1.1414037563805865e-15,0.9999999999999999,0.04825884151483261,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
lh_lh_L_O3_A,0.1281560961292323,0.06880361769567618,1.8626360127759094,0.06378850047870992,235,-8.239272148707545e-16,1.0,0.07152479944780614,LH,occipital,occipital,,occipital,fs8_thickness_yale696,
