roi,coef,t,mean_z,n,hemisphere,roi_group,anatomical_group,network,lobe,group_source,network_7_like,target_group
lh_lh_L_TP1_A,-0.879753655223473,-0.879753655223473,-0.879753655223473,100,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_TP2_1_A,-0.5632561711032004,-0.5632561711032004,-0.5632561711032004,100,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_TP2_2_A,-0.6318266239168103,-0.6318266239168103,-0.6318266239168103,100,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_TP3_A,-0.7385485346673968,-0.7385485346673968,-0.7385485346673968,100,LH,temporal_pole,temporal_pole,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_T1_A,-1.2000964084591774,-1.2000964084591774,-1.2000964084591774,100,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_T2_1_A,-1.4052288739469896,-1.4052288739469896,-1.4052288739469896,100,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_T2_2_A,-1.1257178454987422,-1.1257178454987422,-1.1257178454987422,100,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_T3_1_A,-0.8545302718143083,-0.8545302718143083,-0.8545302718143083,100,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_T3_2_A,-0.9964568335368125,-0.9964568335368125,-0.9964568335368125,100,LH,temporal,temporal,,temporal,fs8_thickness_yale696,,impaired_like
lh_lh_L_O1_A,-0.7811799697563885,-0.7811799697563885,-0.7811799697563885,100,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,impaired_like
lh_lh_L_O2_1_A,-0.6093493530753485,-0.6093493530753485,-0.6093493530753485,100,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,impaired_like
lh_lh_L_O2_2_A,-0.5262904697770874,-0.5262904697770874,-0.5262904697770874,100,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,impaired_like
lh_lh_L_O3_A,-0.3667785087815237,-0.3667785087815237,-0.3667785087815237,100,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,impaired_like
lh_lh_L_O4_A,-0.13635155481910444,-0.13635155481910444,-0.13635155481910444,100,LH,occipital,occipital,,occipital,fs8_thickness_yale696,,impaired_like
lh_lh_L_AN1_A,-0.9219036520073578,-0.9219036520073578,-0.9219036520073578,100,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,,impaired_like
lh_lh_L_AN2_A,-1.0257026222025225,-1.0257026222025225,-1.0257026222025225,100,LH,anterior_region,anterior_region,,other_yale,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM1_A,-1.1988449447800575,-1.1988449447800575,-1.1988449447800575,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM2_A,-0.24516124072205428,-0.24516124072205428,-0.24516124072205428,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM2_B,-0.16498293089400717,-0.16498293089400717,-0.16498293089400717,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM3_A,-1.2946948333774904,-1.2946948333774904,-1.2946948333774904,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM4_A,-1.1759917842731042,-1.1759917842731042,-1.1759917842731042,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_SM5_A,-1.200757248390299,-1.200757248390299,-1.200757248390299,100,LH,sensorimotor,sensorimotor,,sensorimotor,fs8_thickness_yale696,,impaired_like
lh_lh_L_P1_A,-1.0296461137269555,-1.0296461137269555,-1.0296461137269555,100,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,impaired_like
lh_lh_L_P2_A,-0.7840799255438695,-0.7840799255438695,-0.7840799255438695,100,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,impaired_like
lh_lh_L_P3_A,-0.8661178917154317,-0.8661178917154317,-0.8661178917154317,100,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,impaired_like
lh_lh_L_P4_A,-0.8834417085536395,-0.8834417085536395,-0.8834417085536395,100,LH,parietal,parietal,,parietal,fs8_thickness_yale696,,impaired_like
