pair_id,experiment_id,direction_retention_all,direction_retention_source_support,sign_flip_fraction_all,sign_flip_fraction_source_support
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_001_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1.0,1.0,0.0,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_002_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.8088235294117647,0.95,0.19117647058823528,0.050000000000000044
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_003_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1.0,1.0,0.0,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_004_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.9705882352941176,1.0,0.02941176470588236,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_005_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.921875,1.0,0.078125,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_006_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.515625,1.0,0.484375,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_007_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.765625,1.0,0.234375,0.0
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_008_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.703125,1.0,0.296875,0.0
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_009_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,1.0,1.0,0.0,0.0
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_010_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,1.0,1.0,0.0,0.0
