pair_id,experiment_id,experiment_type,source_dataset,source_feature_space,source_setting_id,source_claim_type,source_target,source_filter,target_dataset,target_feature_space,target_setting_id,target_claim_type,target_target,target_filter,roi_match_strategy,transfer_target,transfer_target_type,positive_label,negative_label,use_claim_level,use_weight_metric,top_k,standardize_target_features,notes
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_001_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,AIBL_baseline,fs8_cortical_volume,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,exact_roi,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_002_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,AIBL_baseline,fs8_cortical_volume,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,exact_roi,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_003_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,AIBL_baseline,fs8_cortical_volume,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_004_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,age_association,age,,AIBL_baseline,fs8_cortical_volume,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_005_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,AIBL_baseline,fs8_subcortical_volume,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,diagnosis_contrast,diagnosis_binary_ad_cn,,exact_roi,diagnosis_binary_ad_cn,binary,AD,CN,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_006_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,AIBL_baseline,fs8_subcortical_volume,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,diagnosis_contrast,diagnosis_binary_mci_cn,,exact_roi,diagnosis_binary_mci_cn,binary,MCI,CN,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_007_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,AIBL_baseline,fs8_subcortical_volume,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_008_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_subcortical_volume,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,age_association,age,,AIBL_baseline,fs8_subcortical_volume,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_009_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,OASIS1_baseline,fs8_cortical_volume,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,mmse_association,mmse,,exact_roi,mmse,continuous,,,composite,coefficient,20,True,[]
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_010_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_baseline,fs8_cortical_volume,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,age_association,age,,OASIS1_baseline,fs8_cortical_volume,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,age_association,age,,exact_roi,age,continuous,,,composite,coefficient,20,True,[]
