pair_id,experiment_id,experiment_type,source_claim_family_id,target_claim_family_id,source_setting_id,target_setting_id,source_dataset,target_dataset,source_feature_space,target_feature_space,source_claim_type,target_claim_type,source_target,target_target,roi_match_strategy,n_source_features,n_target_features,n_matched_features,n_source_support,n_target_support,evidence_metrics.evidence_spearman,evidence_metrics.evidence_pearson,evidence_metrics.rank_overlap_topk,evidence_metrics.weighted_jaccard_abs,evidence_metrics.n_matched,support_metrics.source_support_size,support_metrics.target_support_size,support_metrics.support_jaccard,support_metrics.support_overlap_count,support_metrics.support_overlap_fraction_source,support_metrics.support_overlap_fraction_target,direction_metrics.direction_retention_all,direction_metrics.direction_retention_source_support,direction_metrics.sign_flip_fraction_all,direction_metrics.sign_flip_fraction_source_support,magnitude_metrics.magnitude_drift_all,magnitude_metrics.magnitude_drift_source_support,transfer_metrics.n,transfer_metrics.n_positive,transfer_metrics.n_negative,transfer_metrics.auc_raw,transfer_metrics.auc_oriented,transfer_metrics.cohens_d,transfer_metrics.point_biserial_corr,stability_label,transfer_label,overall_label,warnings,status,transfer_metrics.spearman_corr,transfer_metrics.pearson_corr,transfer_metrics.slope_simple,group_metrics.group_evidence_spearman,group_metrics.group_evidence_pearson,group_metrics.group_support_jaccard,group_metrics.group_direction_retention,group_metrics.n_matched_groups,transfer_metrics.error
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_001_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,AIBL_baseline,fs8_cortical_volume,fs8_cortical_volume,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_ad_cn,diagnosis_binary_ad_cn,exact_roi,68,68,68,20,20,0.8747184792151772,0.8819623977647233,0.8181818181818182,0.7583190406407989,68,20.0,20.0,0.8181818181818182,18.0,0.9,0.9,1.0,1.0,0.0,0.0,0.3854370223111494,0.4517846749848646,1104.0,157.0,947.0,0.7794241284915825,0.7794241284915825,0.9012354494343274,0.30049515904972796,stable,strong,stable_and_transferable,,evaluated,,,,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_002_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_33363e6dbd,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI_e5a54b9ab2,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,AIBL_baseline,fs8_cortical_volume,fs8_cortical_volume,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_mci_cn,diagnosis_binary_mci_cn,exact_roi,68,68,68,20,20,0.6528228423101882,0.6928496624323119,0.48148148148148145,0.4825045778743987,68,20.0,20.0,0.48148148148148145,13.0,0.65,0.65,0.8088235294117647,0.95,0.19117647058823528,0.050000000000000044,0.6445787368329228,0.7247856197352338,1131.0,184.0,947.0,0.5643048987649787,0.5643048987649787,0.18915443109498062,0.06970509132539857,moderate,weak,insufficient,,evaluated,,,,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_003_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,ADNI_baseline,AIBL_baseline,fs8_cortical_volume,fs8_cortical_volume,mmse_association,mmse_association,mmse,mmse,exact_roi,68,68,68,20,20,0.9082337672252546,0.8986857265587169,0.6666666666666666,0.7775811182456828,68,20.0,20.0,0.6666666666666666,16.0,0.8,0.8,1.0,1.0,0.0,0.0,0.3543367305125742,0.48464979727849133,1291.0,,,,,,,stable,moderate,stable_and_transferable,,evaluated,0.2978303970666699,0.30836508994403755,0.21954464737887783,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_004_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE_a25c67b612,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE_afc8e85f81,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,ADNI_baseline,AIBL_baseline,fs8_cortical_volume,fs8_cortical_volume,age_association,age_association,age,age,exact_roi,68,68,68,20,20,0.4549375882734664,0.4879961208145823,0.3333333333333333,0.6232750607251868,68,20.0,20.0,0.3333333333333333,10.0,0.5,0.5,0.9705882352941176,1.0,0.02941176470588236,0.0,0.7664064261627419,1.2592160091961486,1298.0,,,,,,,moderate,moderate,transferable_but_drifted,,evaluated,0.21258633303767646,0.08227123770315997,0.09952492776938421,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_005_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,ADNI_baseline,AIBL_baseline,fs8_subcortical_volume,fs8_subcortical_volume,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_ad_cn,diagnosis_binary_ad_cn,exact_roi,64,64,64,20,20,0.9809940174873448,0.9916594435144591,0.9047619047619048,0.609151057750497,64,20.0,20.0,0.9047619047619048,19.0,0.95,0.95,0.921875,1.0,0.078125,0.0,0.09314679009063466,0.0439036591653562,1104.0,157.0,947.0,0.8837495544091634,0.8837495544091634,1.5063557243640822,0.46594012760911147,stable,strong,stable_and_transferable,,evaluated,,,,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_006_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_8a810a8b86,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,ADNI_baseline,AIBL_baseline,fs8_subcortical_volume,fs8_subcortical_volume,diagnosis_contrast,diagnosis_contrast,diagnosis_binary_mci_cn,diagnosis_binary_mci_cn,exact_roi,64,64,64,20,20,0.8654855039116431,0.9559361334625761,0.6,0.5714719149050824,64,20.0,20.0,0.6,15.0,0.75,0.75,0.515625,1.0,0.484375,0.0,0.24761945327002205,0.14741835136956027,1131.0,184.0,947.0,0.6571208851751527,0.6571208851751527,0.4916637707289187,0.17870073127101138,stable,moderate,stable_and_transferable,,evaluated,,,,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_007_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_6b265c44ab,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_f7441c7d7a,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,ADNI_baseline,AIBL_baseline,fs8_subcortical_volume,fs8_subcortical_volume,mmse_association,mmse_association,mmse,mmse,exact_roi,64,64,64,20,20,0.9679705476300048,0.9827311658723987,0.9047619047619048,0.673051876490451,64,20.0,20.0,0.9047619047619048,19.0,0.95,0.95,0.765625,1.0,0.234375,0.0,0.14852253619495348,0.06258790887141179,1291.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.4054304056271311,0.3824186942389629,0.393381894399518,,,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_008_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_fa1c14f686,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_227148901e,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,ADNI_baseline,AIBL_baseline,fs8_subcortical_volume,fs8_subcortical_volume,age_association,age_association,age,age,exact_roi,64,64,64,20,20,0.9496548550391167,0.9550281385439976,0.6,0.7522946004171569,64,20.0,20.0,0.6,15.0,0.75,0.75,0.703125,1.0,0.296875,0.0,0.2378729158857569,0.12012074796482912,1298.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.4400297081046349,0.29431445087101066,0.5434063234435663,,,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_009_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE_b901c0adbb,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,ADNI_BASELINE_FS8_CORTICAL_VOLUME_MMSE,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,ADNI_baseline,OASIS1_baseline,fs8_cortical_volume,fs8_cortical_volume,mmse_association,mmse_association,mmse,mmse,exact_roi,68,68,68,20,20,0.7649349162117799,0.8212613433720816,0.6666666666666666,0.3709687511252701,68,20.0,20.0,0.6666666666666666,16.0,0.8,0.8,1.0,1.0,0.0,0.0,0.47294783080120706,0.5367852901071387,235.0,,,,,,,stable,strong,stable_and_transferable,,evaluated,0.39256685492174803,0.41016231933364633,0.36260822183045177,,,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_010_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE_a25c67b612,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE_6d02af05ab,ADNI_BASELINE_FS8_CORTICAL_VOLUME_AGE,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,ADNI_baseline,OASIS1_baseline,fs8_cortical_volume,fs8_cortical_volume,age_association,age_association,age,age,exact_roi,68,68,68,20,20,0.6861854410810398,0.7133731660484055,0.42857142857142855,0.7159450163003335,68,20.0,20.0,0.42857142857142855,12.0,0.6,0.6,1.0,1.0,0.0,0.0,0.5766937228014941,0.9900190070093432,436.0,,,,,,,moderate,strong,transferable_but_drifted,,evaluated,0.7692865955465649,0.7703462074548169,3.1069505011137757,,,,,,
