experiment_id,experiment_type,status,overall_label,n_pairs
E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,evaluated,insufficient,1
E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,evaluated,stable_and_transferable,6
E1_ADNI_TO_AIBL_VOLUME_TRANSFER,cross_dataset_transfer,evaluated,transferable_but_drifted,1
E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,evaluated,stable_and_transferable,3
E2_ADNI_TO_OASIS_VOLUME_TRANSFER,cross_dataset_transfer,evaluated,transferable_but_drifted,1
E2_ADNI_TO_OASIS_VOLUME_TRANSFER,weak_label_transfer,evaluated,stable_and_transferable,2
E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,evaluated,insufficient,1
E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,evaluated,stable_and_transferable,2
E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,evaluated,stable_not_transferable,8
E3_FS8_VS_SPM_THICKNESS_DRIFT,pipeline_drift,evaluated,transferable_but_drifted,1
E4_FS8_VS_FASTSURFER_VOLUME_DRIFT,fastsurfer_drift,evaluated,fragile,8
E5_FS8_THICKNESS_ATLAS_SENSITIVITY,atlas_sensitivity,evaluated,fragile,10
E5_FS8_THICKNESS_ATLAS_SENSITIVITY,atlas_sensitivity,evaluated,insufficient,7
E5_FS8_THICKNESS_ATLAS_SENSITIVITY,atlas_sensitivity,evaluated,stable_not_transferable,16
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,feature_family_sensitivity,evaluated,fragile,6
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,feature_family_sensitivity,evaluated,insufficient,12
E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,feature_family_sensitivity,evaluated,stable_not_transferable,4
