pair_id,experiment_id,magnitude_drift_all,magnitude_drift_source_support
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_001_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.3854370223111494,0.4517846749848646
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_002_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.6445787368329228,0.7247856197352338
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_003_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.3543367305125742,0.48464979727849133
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_004_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.7664064261627419,1.2592160091961486
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_005_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.09314679009063466,0.0439036591653562
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_006_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.24761945327002205,0.14741835136956027
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_007_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.14852253619495348,0.06258790887141179
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_008_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,0.2378729158857569,0.12012074796482912
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_009_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.47294783080120706,0.5367852901071387
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_010_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.5766937228014941,0.9900190070093432
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_011_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.4256198882798201,0.6951808259780894
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_012_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.2862599936842865,0.1868564915173135
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_013_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.27270654305708336,0.2142709360815406
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_014_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,0.2854127578438636,0.12428387941403166
E3_FS8_VS_SPM_THICKNESS_DRIFT_015_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.4350092136402639,0.7327474134633601
E3_FS8_VS_SPM_THICKNESS_DRIFT_016_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.5146588034848614,0.9369063221926393
E3_FS8_VS_SPM_THICKNESS_DRIFT_017_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.40403440191067164,0.820471423121272
E3_FS8_VS_SPM_THICKNESS_DRIFT_018_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.7434342504419348,1.0315779788750306
E3_FS8_VS_SPM_THICKNESS_DRIFT_019_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.3302165330401799,0.3302165330401799
E3_FS8_VS_SPM_THICKNESS_DRIFT_020_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.3008326989609949,0.3008326989609949
E3_FS8_VS_SPM_THICKNESS_DRIFT_021_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.30354470550158447,0.30354470550158447
E3_FS8_VS_SPM_THICKNESS_DRIFT_022_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.5949798640267128,0.5949798640267128
E3_FS8_VS_SPM_THICKNESS_DRIFT_023_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.09602755656073636,0.09602755656073636
E3_FS8_VS_SPM_THICKNESS_DRIFT_024_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_DX_CN_MCI,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.06216301196770021,0.06216301196770021
E3_FS8_VS_SPM_THICKNESS_DRIFT_025_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_MMSE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.12467978199392289,0.12467978199392289
E3_FS8_VS_SPM_THICKNESS_DRIFT_026_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_17_AGE,E3_FS8_VS_SPM_THICKNESS_DRIFT,0.16435840449483013,0.16435840449483013
