pair_id,experiment_id,n,n_positive,n_negative,auc_raw,auc_oriented,cohens_d,point_biserial_corr,spearman_corr,pearson_corr,slope_simple,error
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_001_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1104.0,157.0,947.0,0.7794241284915825,0.7794241284915825,0.9012354494343274,0.30049515904972796,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_002_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1131.0,184.0,947.0,0.5643048987649787,0.5643048987649787,0.18915443109498062,0.06970509132539857,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_003_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1291.0,,,,,,,0.2978303970666699,0.30836508994403755,0.21954464737887783,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_004_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_CORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1298.0,,,,,,,0.21258633303767646,0.08227123770315997,0.09952492776938421,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_005_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1104.0,157.0,947.0,0.8837495544091634,0.8837495544091634,1.5063557243640822,0.46594012760911147,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_006_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1131.0,184.0,947.0,0.6571208851751527,0.6571208851751527,0.4916637707289187,0.17870073127101138,,,,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_007_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1291.0,,,,,,,0.4054304056271311,0.3824186942389629,0.393381894399518,
E1_ADNI_TO_AIBL_VOLUME_TRANSFER_008_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E1_ADNI_TO_AIBL_VOLUME_TRANSFER,1298.0,,,,,,,0.4400297081046349,0.29431445087101066,0.5434063234435663,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_009_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,235.0,,,,,,,0.39256685492174803,0.41016231933364633,0.36260822183045177,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_010_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,436.0,,,,,,,0.7692865955465649,0.7703462074548169,3.1069505011137757,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_011_ADNI_BASELINE_FS8_CORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_CORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,235.0,100.0,135.0,0.6854814814814815,0.6854814814814815,0.6946399663497146,0.3260663336776769,,,,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_012_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,235.0,,,,,,,0.4980881652530853,0.4860088775921353,0.5274337971896607,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_013_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,436.0,,,,,,,0.8120652147517923,0.8068128874727901,4.747850721552187,
E2_ADNI_TO_OASIS_VOLUME_TRANSFER_014_ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_TO_OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AD_TO_CDR,E2_ADNI_TO_OASIS_VOLUME_TRANSFER,235.0,100.0,135.0,0.7974074074074075,0.7974074074074075,1.1511132113387328,0.49623460283032417,,,,
E3_FS8_VS_SPM_THICKNESS_DRIFT_015_ADNI_SPM_MATCHED_FS8_THICKNESS_SCHAEFER200_7_TO_ADNI_SPM_MATCHED_SPM_THICKNESS_SCHAEFER200_7_DX_CN_AD,E3_FS8_VS_SPM_THICKNESS_DRIFT,1554.0,686.0,868.0,0.8132431379398369,0.8132431379398369,1.2363024124493873,0.523422354905963,,,,
