claim_level,claim_type,dataset,feature_space,target,overall_label,stability_label,transfer_label,n_claims,mean_plausibility,mean_faithfulness,accept_rate,reject_rate,high_disagreement_rate
atomic_roi,age_association,ADNI_baseline,fastsurfer_subcortical_volume,age,fragile,fragile,weak,5,,,0.0,0.0,0.0
atomic_roi,age_association,ADNI_baseline,fs8_subcortical_volume,age,stable_and_transferable,stable,strong,3,4.5,4.333333333333334,0.3333333333333333,0.0,0.3333333333333333
atomic_roi,age_association,AIBL_baseline,fs8_cortical_volume,age,transferable_but_drifted,moderate,moderate,1,,,0.0,0.0,0.0
atomic_roi,age_association,AIBL_baseline,fs8_thickness_schaefer200_7,age,fragile,moderate,insufficient,1,,,0.0,0.0,0.0
atomic_roi,cdr_impairment_contrast,OASIS1_baseline,fs8_cortical_volume,diagnosis_binary_impairment_cdr,stable_and_transferable,stable,moderate,2,4.333333333333333,3.3333333333333335,0.0,0.0,1.0
atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,5,4.666666666666667,4.666666666666667,0.4,0.0,0.0
atomic_roi,diagnosis_contrast,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,3,4.5,4.5,0.6666666666666666,0.0,0.0
atomic_roi,diagnosis_contrast,ADNI_baseline,fs8_cortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,4,,,0.0,0.0,0.0
atomic_roi,diagnosis_contrast,ADNI_baseline,fs8_cortical_volume,diagnosis_binary_mci_cn,fragile,fragile,weak,5,,,0.0,0.0,0.0
atomic_roi,diagnosis_contrast,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,3,,,0.0,0.0,0.0
atomic_roi,diagnosis_contrast,ADNI_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,4,4.333333333333333,4.333333333333333,0.25,0.0,0.0
atomic_roi,diagnosis_contrast,AIBL_baseline,fs8_cortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,3,4.333333333333333,4.0,0.6666666666666666,0.0,0.0
atomic_roi,diagnosis_contrast,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_ad_cn,stable_and_transferable,stable,strong,2,4.333333333333334,4.0,0.5,0.0,0.0
atomic_roi,diagnosis_contrast,AIBL_baseline,fs8_subcortical_volume,diagnosis_binary_mci_cn,stable_and_transferable,stable,moderate,1,3.6666666666666665,3.0,0.0,0.0,0.0
atomic_roi,mmse_association,ADNI_SPM_MATCHED,fs8_thickness_schaefer200_7,mmse,stable_and_transferable,stable,strong,5,4.666666666666667,4.666666666666667,0.2,0.0,0.0
atomic_roi,mmse_association,ADNI_SPM_MATCHED,spm_thickness_schaefer200_7,mmse,stable_and_transferable,stable,strong,4,,,0.0,0.0,0.0
atomic_roi,mmse_association,ADNI_baseline,fastsurfer_subcortical_volume,mmse,fragile,fragile,weak,2,4.666666666666667,4.666666666666667,0.5,0.0,0.0
atomic_roi,mmse_association,ADNI_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,5,,,0.0,0.0,0.0
atomic_roi,mmse_association,ADNI_baseline,fs8_subcortical_volume,mmse,stable_and_transferable,stable,strong,1,,,0.0,0.0,0.0
atomic_roi,mmse_association,OASIS1_baseline,fs8_cortical_volume,mmse,stable_and_transferable,stable,strong,2,4.5,4.333333333333334,1.0,0.0,0.0
atomic_roi,mmse_association,OASIS1_baseline,fs8_subcortical_volume,mmse,stable_and_transferable,stable,strong,1,4.333333333333333,4.0,1.0,0.0,0.0
composite,age_association,ADNI_baseline,fastsurfer_subcortical_volume,age,fragile,fragile,weak,1,,,0.0,0.0,0.0
composite,age_association,ADNI_baseline,fs8_subcortical_volume,age,stable_and_transferable,stable,strong,1,2.3333333333333335,2.3333333333333335,0.0,0.0,1.0
composite,age_association,AIBL_baseline,fs8_cortical_volume,age,transferable_but_drifted,moderate,moderate,1,4.333333333333333,4.0,1.0,0.0,0.0
composite,age_association,AIBL_baseline,fs8_thickness_schaefer200_7,age,fragile,moderate,insufficient,1,4.333333333333333,4.0,1.0,0.0,0.0
composite,age_association,OASIS1_baseline,fs8_cortical_volume,age,transferable_but_drifted,moderate,strong,1,,,0.0,0.0,0.0
composite,age_association,OASIS1_baseline,fs8_subcortical_volume,age,stable_and_transferable,stable,strong,1,3.0,2.3333333333333335,0.0,1.0,0.0
composite,age_association,OASIS1_baseline,fs8_thickness_kong200_17,age,stable_not_transferable,stable,insufficient,1,,,0.0,0.0,0.0
composite,cdr_impairment_contrast,OASIS1_baseline,fs8_subcortical_volume,diagnosis_binary_impairment_cdr,stable_and_transferable,stable,strong,1,4.0,2.6666666666666665,0.0,0.0,0.0
