claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status,n_evaluation_pairs,best_overall_label,worst_overall_label,any_stable_and_transferable,any_fragile,max_evidence_spearman,median_evidence_spearman,min_support_jaccard,median_support_jaccard,best_transfer_label,max_auc_oriented,max_abs_transfer_corr,related_experiment_ids,high_concordance_fragile_support,stability_label,transfer_label,overall_label,evidence_spearman,support_jaccard,direction_retention_source_support,transfer_auc_oriented,transfer_spearman_corr,target_type,evaluation_category,feature_family_group,dataset_group,dedup_key,selection_score,selection_reason,review_priority,review_set
AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_266a22fefe,composite,diagnosis_contrast,AIBL_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex,1104,68,,,,,,,,lower,mean_abs_t,10.546128951545162,,,,,"AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.","AD is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CN, after adjustment for age, sex.",True,supported,2,stable_and_transferable,stable_not_transferable,True,False,0.8747184792151772,0.7873592396075886,0.8181818181818182,0.9090909090909092,strong,0.7794241284915825,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.8747184792151772,0.8181818181818182,1.0,0.7794241284915825,,diagnosis_or_cdr,stable_and_transferable,volume,AIBL_baseline,composite|diagnosis contrast|diagnosis binary ad cn|volume|nan|lower|ad is associated with lower cortical regional volume in temporal parietal and cingulate regions compared with cn after adjustment for age sex,8,claim_level:composite,1,main_expert
AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd_composite_main,AIBL_BASELINE_FS8_THICKNESS_SCHAEFER200_7_AGE_ddfc39d5dd,composite,age_association,AIBL_baseline,pooled,fs8_thickness_schaefer200_7,thickness,freesurfer8,schaefer200_7network,age,sex,1298,202,,,,,,,,altered,mean_abs_t,4.7609346912471375,,,,,"Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.","Older age is associated with altered Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for sex.",True,supported,4,fragile,insufficient,False,True,0.8999999999999998,0.7,1.0,1.0,insufficient,,,E5_FS8_THICKNESS_ATLAS_SENSITIVITY; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,True,moderate,insufficient,fragile,0.8999999999999998,1.0,0.6,,,age,high_concordance_fragile_support,thickness,AIBL_baseline,composite|age association|age|thickness|nan|altered|older age is associated with altered schaefer 200 7 network cortical thickness in default limbic and cont network parcels after adjustment for sex,8,claim_level:composite,2,main_expert
ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad_composite_main,ADNI_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_fb416146ad,composite,diagnosis_contrast,ADNI_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_ad_cn,age; sex; education; icv,660,64,,,,,,,,lower,mean_abs_t,8.286137751181068,,,,,"AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower subcortical volume in Left-Hippocampus, Right-Hippocampus, Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala compared with CN, after adjustment for age, sex, education, icv.",True,supported,4,stable_and_transferable,insufficient,True,True,0.9809940174873448,0.925732127240644,0.1428571428571428,0.8181818181818182,strong,0.8837495544091634,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,True,stable,strong,stable_and_transferable,0.9809940174873448,0.1428571428571428,1.0,0.8837495544091634,,diagnosis_or_cdr,high_concordance_fragile_support,volume,ADNI_baseline,composite|diagnosis contrast|diagnosis binary ad cn|volume|nan|lower|ad is associated with lower subcortical volume in left hippocampus right hippocampus left inf lat vent right inf lat vent right amygdala compared with cn after,8,claim_level:composite,3,main_expert
ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_DX_CN_AD_e23c09f7c3,composite,diagnosis_contrast,ADNI_SPM_MATCHED,pooled,fs8_thickness_schaefer200_7,thickness,freesurfer8,schaefer200_7network,diagnosis_binary_ad_cn,age; sex; education,1554,202,,,,,,,,lower,mean_abs_t,14.293053887392452,,,,,"AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.","AD is associated with lower Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels compared with CN, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,stable_not_transferable,True,False,0.8928571428571429,0.8565815086397986,0.6,0.8,strong,0.8132431379398369,,E3_FS8_VS_SPM_THICKNESS_DRIFT,False,stable,strong,stable_and_transferable,0.8928571428571429,0.6,1.0,0.8132431379398369,,diagnosis_or_cdr,stable_and_transferable,thickness,ADNI_SPM_MATCHED,composite|diagnosis contrast|diagnosis binary ad cn|thickness|nan|lower|ad is associated with lower schaefer 200 7 network cortical thickness in default limbic and cont network parcels compared with cn after adjustment for age sex e,8,claim_level:composite,4,main_expert
ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6_composite_main,ADNI_BASELINE_FS8_CORTICAL_VOLUME_DX_CN_AD_0f6485a0b6,composite,diagnosis_contrast,ADNI_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_ad_cn,age; sex; education; icv,660,68,,,,,,,,lower,mean_abs_t,11.867281428402489,,,,,"AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.","AD is associated with lower cortical regional volume in temporal and parietal regions compared with CN, after adjustment for age, sex, education, icv.",True,supported,4,stable_and_transferable,fragile,True,True,0.8775150462088591,0.8340267969614841,0.0526315789473684,0.7786561264822134,strong,0.7794241284915825,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E4_FS8_VS_FASTSURFER_VOLUME_DRIFT; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,True,stable,strong,stable_and_transferable,0.8775150462088591,0.0526315789473684,0.84375,0.7794241284915825,,diagnosis_or_cdr,high_concordance_fragile_support,volume,ADNI_baseline,composite|diagnosis contrast|diagnosis binary ad cn|volume|nan|lower|ad is associated with lower cortical regional volume in temporal and parietal regions compared with cn after adjustment for age sex education icv,8,claim_level:composite,5,main_expert
AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0_composite_main,AIBL_BASELINE_FS8_CORTICAL_VOLUME_MMSE_4d9e944bc0,composite,mmse_association,AIBL_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,mmse,age; sex,1291,68,,,,,,,,higher,mean_abs_t,11.337641059855477,,,,,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and occipital regions, after adjustment for age, sex.",True,supported,2,stable_and_transferable,stable_not_transferable,True,False,0.9082337672252546,0.8041168836126273,0.6666666666666666,0.8333333333333333,moderate,,0.2978303970666699,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,moderate,stable_and_transferable,0.9082337672252546,0.6666666666666666,1.0,,0.2978303970666699,mmse,stable_and_transferable,volume,AIBL_baseline,composite|mmse association|mmse|volume|nan|higher|higher mmse is associated with higher cortical regional volume in temporal parietal and occipital regions after adjustment for age sex,8,claim_level:composite,6,main_expert
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_CDR_IMPAIRMENT_38946d7d18,composite,cdr_impairment_contrast,OASIS1_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_impairment_cdr,age; sex; education,235,64,,,,,,,,lower,mean_abs_t,4.287116403488893,,,,,"CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower subcortical volume in Right-Hippocampus, Right-Amygdala, Right-Inf-Lat-Vent, Left-Hippocampus, Left-Inf-Lat-Vent compared with CDR 0, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,insufficient,True,False,0.8906627963231737,0.8906627963231737,0.8181818181818182,0.8181818181818182,strong,0.7974074074074075,,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.8906627963231737,0.8181818181818182,1.0,0.7974074074074075,,diagnosis_or_cdr,stable_and_transferable,volume,OASIS1_baseline,composite|cdr impairment contrast|diagnosis binary impairment cdr|volume|nan|lower|cdr defined cognitive impairment is associated with lower subcortical volume in right hippocampus right amygdala right inf lat vent left hippocampus left inf la,8,claim_level:composite,7,main_expert
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,composite,diagnosis_contrast,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_mci_cn,age; sex,1131,64,,,,,,,,altered,mean_abs_t,4.817938317582505,,,,,"MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.","MCI is associated with altered subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Amygdala, Left-Amygdala, Right-Lateral-Ventricle compared with CN, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.8654855039116431,0.8654855039116431,0.6,0.6,moderate,0.6571208851751527,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,moderate,stable_and_transferable,0.8654855039116431,0.6,1.0,0.6571208851751527,,diagnosis_or_cdr,stable_and_transferable,volume,AIBL_baseline,composite|diagnosis contrast|diagnosis binary mci cn|volume|nan|altered|mci is associated with altered subcortical volume in left inf lat vent right inf lat vent right amygdala left amygdala right lateral ventricle compared with cn,8,claim_level:composite,8,main_expert
ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def_composite_main,ADNI_SPM_MATCHED_FS8_SCHAEFER7_MMSE_198f984def,composite,mmse_association,ADNI_SPM_MATCHED,pooled,fs8_thickness_schaefer200_7,thickness,freesurfer8,schaefer200_7network,mmse,age; sex; education,2892,202,,,,,,,,higher,mean_abs_t,16.06565628808095,,,,,"Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.","Higher MMSE is associated with higher Schaefer 200 7-network cortical thickness in Default, Limbic, and Cont network parcels, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,stable_not_transferable,True,False,0.9642857142857144,0.9098905984635667,0.5384615384615384,0.7692307692307692,strong,,0.4319838449947505,E3_FS8_VS_SPM_THICKNESS_DRIFT,False,stable,strong,stable_and_transferable,0.9642857142857144,0.5384615384615384,1.0,,0.4319838449947505,mmse,stable_and_transferable,thickness,ADNI_SPM_MATCHED,composite|mmse association|mmse|thickness|nan|higher|higher mmse is associated with higher schaefer 200 7 network cortical thickness in default limbic and cont network parcels after adjustment for age sex educatio,8,claim_level:composite,9,main_expert
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb_composite_main,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_MMSE_5e704a8ccb,composite,mmse_association,OASIS1_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,mmse,age; sex; education,235,68,,,,,,,,higher,mean_abs_t,4.87963670686375,,,,,"Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.","Higher MMSE is associated with higher cortical regional volume in temporal, parietal, and frontal regions, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,stable_not_transferable,True,False,0.7649349162117799,0.7324674581058899,0.6666666666666666,0.8333333333333333,strong,,0.392566854921748,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.7649349162117799,0.6666666666666666,1.0,,0.392566854921748,mmse,stable_and_transferable,volume,OASIS1_baseline,composite|mmse association|mmse|volume|nan|higher|higher mmse is associated with higher cortical regional volume in temporal parietal and frontal regions after adjustment for age sex education,8,claim_level:composite,10,main_expert
