claim_id,claim_family_id,claim_level,claim_type,dataset,cohort,feature_space,feature_family,pipeline,atlas,target,covariates,n_samples,n_features,roi,hemisphere,roi_group,anatomical_group,network,network_7_like,lobe,direction,evidence_metric,evidence_value,coefficient,t_value,p_value,q_value,claim_text,short_claim_text,criteria_passed,status,n_evaluation_pairs,best_overall_label,worst_overall_label,any_stable_and_transferable,any_fragile,max_evidence_spearman,median_evidence_spearman,min_support_jaccard,median_support_jaccard,best_transfer_label,max_auc_oriented,max_abs_transfer_corr,related_experiment_ids,high_concordance_fragile_support,stability_label,transfer_label,overall_label,evidence_spearman,support_jaccard,direction_retention_source_support,transfer_auc_oriented,transfer_spearman_corr,target_type,evaluation_category,feature_family_group,dataset_group,dedup_key,selection_score,selection_reason,review_priority,review_set,overlaps_llm_extended
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_f7441c7d7a_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_f7441c7d7a,composite,mmse_association,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,mmse,age; sex,1291,64,,,,,,,,higher,mean_abs_t,11.423936927837143,,,,,"Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Hippocampus, Right-Hippocampus, Left-Amygdala, after adjustment for age, sex.","Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Hippocampus, Right-Hippocampus, Left-Amygdala, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.9679705476300048,0.9679705476300048,0.9047619047619048,0.9047619047619048,strong,,0.4054304056271311,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.9679705476300048,0.9047619047619048,1.0,,0.4054304056271311,mmse,stable_and_transferable,volume,AIBL_baseline,composite|mmse association|mmse|volume|nan|higher|higher mmse is associated with higher subcortical volume in left inf lat vent right inf lat vent left hippocampus right hippocampus left amygdala after adjustme,8,reserve_nonoverlap,1,reserve,False
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,composite,diagnosis_contrast,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_ad_cn,age; sex,1104,64,,,,,,,,lower,mean_abs_t,12.61248147754911,,,,,"AD is associated with lower subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Hippocampus, Right-Hippocampus, Right-Amygdala compared with CN, after adjustment for age, sex.","AD is associated with lower subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Left-Hippocampus, Right-Hippocampus, Right-Amygdala compared with CN, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.9809940174873448,0.9809940174873448,0.9047619047619048,0.9047619047619048,strong,0.8837495544091634,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.9809940174873448,0.9047619047619048,1.0,0.8837495544091634,,diagnosis_or_cdr,stable_and_transferable,volume,AIBL_baseline,composite|diagnosis contrast|diagnosis binary ad cn|volume|nan|lower|ad is associated with lower subcortical volume in left inf lat vent right inf lat vent left hippocampus right hippocampus right amygdala compared with cn after,8,reserve_nonoverlap,2,reserve,False
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06_composite_main,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,composite,cdr_impairment_contrast,OASIS1_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_impairment_cdr,age; sex; education,235,68,,,,,,,,lower,mean_abs_t,3.924509132743746,,,,,"CDR-defined cognitive impairment is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower cortical regional volume in temporal, parietal, and cingulate regions compared with CDR 0, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,insufficient,True,False,0.793335114707791,0.6466675573538954,0.7391304347826086,0.8695652173913043,moderate,0.6854814814814815,,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,moderate,stable_and_transferable,0.793335114707791,0.7391304347826086,1.0,0.6854814814814815,,diagnosis_or_cdr,stable_and_transferable,volume,OASIS1_baseline,composite|cdr impairment contrast|diagnosis binary impairment cdr|volume|nan|lower|cdr defined cognitive impairment is associated with lower cortical regional volume in temporal parietal and cingulate regions compared with cdr 0 after adjustme,8,reserve_nonoverlap,3,reserve,False
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb_composite_main,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_543c6804cb,composite,mmse_association,OASIS1_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,mmse,age; sex; education,235,64,,,,,,,,higher,mean_abs_t,4.688371031504737,,,,,"Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Hippocampus, lhCortexVol, Left-Hippocampus, after adjustment for age, sex, education.","Higher MMSE is associated with higher subcortical volume in Left-Inf-Lat-Vent, Right-Inf-Lat-Vent, Right-Hippocampus, lhCortexVol, Left-Hippocampus, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,insufficient,True,False,0.912030317690695,0.912030317690695,0.8181818181818182,0.8181818181818182,strong,,0.4980881652530853,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.912030317690695,0.8181818181818182,1.0,,0.4980881652530853,mmse,stable_and_transferable,volume,OASIS1_baseline,composite|mmse association|mmse|volume|nan|higher|higher mmse is associated with higher subcortical volume in left inf lat vent right inf lat vent right hippocampus lhcortexvol left hippocampus after adjustment,8,reserve_nonoverlap,4,reserve,False
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_227148901e_composite_main,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_227148901e,composite,age_association,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,age,sex,1298,64,,,,,,,,altered,mean_abs_t,10.059561932978736,,,,,"Older age is associated with altered subcortical volume in Left-Inf-Lat-Vent, 3rd-Ventricle, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, after adjustment for sex.","Older age is associated with altered subcortical volume in Left-Inf-Lat-Vent, 3rd-Ventricle, Left-Hippocampus, Right-Inf-Lat-Vent, Right-Hippocampus, after adjustment for sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.9496548550391168,0.9496548550391168,0.6,0.6,strong,,0.4400297081046349,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.9496548550391168,0.6,1.0,,0.4400297081046349,age,stable_and_transferable,volume,AIBL_baseline,composite|age association|age|volume|nan|altered|older age is associated with altered subcortical volume in left inf lat vent 3rd ventricle left hippocampus right inf lat vent right hippocampus after adjustmen,8,reserve_nonoverlap,5,reserve,False
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_f7441c7d7a_atomic_roi_SubCortGrayVol,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_MMSE_f7441c7d7a,atomic_roi,mmse_association,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,mmse,age; sex,1291,64,SubCortGrayVol,,global_brain_volume,global_brain_volume,,,,higher,t,7.591940741251117,0.190068193549496,7.591940741251117,6.030167729440376e-14,2.144059637134356e-13,"Higher MMSE is associated with higher SubCortGrayVol subcortical volume, after adjustment for age, sex.","Higher MMSE is associated with higher SubCortGrayVol subcortical volume, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.9679705476300048,0.9679705476300048,0.9047619047619048,0.9047619047619048,strong,,0.4054304056271311,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.9679705476300048,0.9047619047619048,1.0,,0.4054304056271311,mmse,stable_and_transferable,volume,AIBL_baseline,atomic roi|mmse association|mmse|volume|subcortgrayvol|higher|higher mmse is associated with higher subcortgrayvol subcortical volume after adjustment for age sex,7,reserve_nonoverlap,6,reserve,False
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166_atomic_roi_Left-Accumbens-area,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_AD_c7233d1166,atomic_roi,diagnosis_contrast,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_ad_cn,age; sex,1104,64,Left-Accumbens-area,LH,basal_ganglia,basal_ganglia,,,,lower,t,-9.870045058583075,-0.7851178509130962,-9.870045058583075,4.500103715831015e-22,2.880066378131849e-21,"AD is associated with lower Left-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.","AD is associated with lower Left-Accumbens-area subcortical volume compared with CN, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.9809940174873448,0.9809940174873448,0.9047619047619048,0.9047619047619048,strong,0.8837495544091634,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.9809940174873448,0.9047619047619048,1.0,0.8837495544091634,,diagnosis_or_cdr,stable_and_transferable,volume,AIBL_baseline,atomic roi|diagnosis contrast|diagnosis binary ad cn|volume|left accumbens area|lower|ad is associated with lower left accumbens area subcortical volume compared with cn after adjustment for age sex,7,reserve_nonoverlap,7,reserve,False
AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881_atomic_roi_CSF,AIBL_BASELINE_FS8_SUBCORTICAL_VOLUME_DX_CN_MCI_2efad00881,atomic_roi,diagnosis_contrast,AIBL_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,diagnosis_binary_mci_cn,age; sex,1131,64,CSF,,ventricle_csf,ventricle_csf,,,,higher,t,3.897786300572719,0.242356502696606,3.897786300572719,0.0001028059587721,0.0006579581361414,"MCI is associated with higher CSF subcortical volume compared with CN, after adjustment for age, sex.","MCI is associated with higher CSF subcortical volume compared with CN, after adjustment for age, sex.",True,supported,2,stable_and_transferable,insufficient,True,False,0.8654855039116431,0.8654855039116431,0.6,0.6,moderate,0.6571208851751527,,E1_ADNI_TO_AIBL_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,moderate,stable_and_transferable,0.8654855039116431,0.6,1.0,0.6571208851751527,,diagnosis_or_cdr,stable_and_transferable,volume,AIBL_baseline,atomic roi|diagnosis contrast|diagnosis binary mci cn|volume|csf|higher|mci is associated with higher csf subcortical volume compared with cn after adjustment for age sex,7,reserve_nonoverlap,8,reserve,False
OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06_atomic_roi_lh_parsorbitalis,OASIS1_BASELINE_FS8_CORTICAL_VOLUME_CDR_IMPAIRMENT_9a4bc2fb06,atomic_roi,cdr_impairment_contrast,OASIS1_baseline,pooled,fs8_cortical_volume,volume,freesurfer8,cortical_regions,diagnosis_binary_impairment_cdr,age; sex; education,235,68,lh_parsorbitalis,LH,frontal,frontal,,,frontal,lower,t,-2.452023027456834,-0.3119921300643332,-2.452023027456834,0.0149503087360094,0.0350558963465048,"CDR-defined cognitive impairment is associated with lower lh_parsorbitalis cortical regional volume compared with CDR 0, after adjustment for age, sex, education.","CDR-defined cognitive impairment is associated with lower lh_parsorbitalis cortical regional volume compared with CDR 0, after adjustment for age, sex, education.",True,supported,2,stable_and_transferable,insufficient,True,False,0.793335114707791,0.6466675573538954,0.7391304347826086,0.8695652173913043,moderate,0.6854814814814815,,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,moderate,stable_and_transferable,0.793335114707791,0.7391304347826086,1.0,0.6854814814814815,,diagnosis_or_cdr,stable_and_transferable,volume,OASIS1_baseline,atomic roi|cdr impairment contrast|diagnosis binary impairment cdr|volume|lh parsorbitalis|lower|cdr defined cognitive impairment is associated with lower lh parsorbitalis cortical regional volume compared with cdr 0 after adjustment for age sex education,7,reserve_nonoverlap,9,reserve,False
OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c_atomic_roi_lhCortexVol,OASIS1_BASELINE_FS8_SUBCORTICAL_VOLUME_AGE_4afe8f975c,atomic_roi,age_association,OASIS1_baseline,pooled,fs8_subcortical_volume,volume,freesurfer8,subcortical,age,sex; education,235,64,lhCortexVol,,global_brain_volume,global_brain_volume,,,,lower,t,-7.492456367529887,-0.4010664859451438,-7.492456367529887,1.4276668977581652e-12,3.982439241114882e-12,"Older age is associated with lower lhCortexVol subcortical volume, after adjustment for sex, education.","Older age is associated with lower lhCortexVol subcortical volume, after adjustment for sex, education.",True,supported,2,stable_and_transferable,insufficient,True,False,0.905418480890179,0.905418480890179,0.6666666666666666,0.6666666666666666,strong,,0.8120652147517923,E2_ADNI_TO_OASIS_VOLUME_TRANSFER; E6_FS8_VOLUME_VS_THICKNESS_SENSITIVITY,False,stable,strong,stable_and_transferable,0.905418480890179,0.6666666666666666,1.0,,0.8120652147517923,age,stable_and_transferable,volume,OASIS1_baseline,atomic roi|age association|age|volume|lhcortexvol|lower|older age is associated with lower lhcortexvol subcortical volume after adjustment for sex education,7,reserve_nonoverlap,10,reserve,False
